# Fermi's energy bins from fig. 1 of arXiv:1309.4091.
# Columns are: lower bin edge (MeV), upper bin edge (MeV)
153.2191922762135,276.50366067779606
276.50366067779606,437.14185395306714
437.14185395306714,688.7639398782285
688.7639398782285,1085.2215604308426
1085.2215604308426,1709.8831211055747
1709.8831211055747,2703.2606938037993
2703.2606938037993,4244.850983863408
4244.850983863408,6642.9881148662125
6642.9881148662125,10538.00675192093
10538.00675192093,16660.191034044365
16660.191034044365,26161.00935596582
26161.00935596582,41500.13344345507
41500.13344345507,65610.14500965874
65610.14500965874,94968.96255955588
