# Background model from arXiv:1703.02546 for the diffuse gamma ray spectrum
# from the inner 10deg x 10deg (|b| < 5deg, |l| < 5deg) region of the Milky
# Way.
# Columns: E (MeV), E^2 d^2Phi / dE dOmega (MeV cm^-2 s^-1 sr^-1)
2.017168542313730328e-01,2.899213723814400567e-01
4.248554087420071679e-01,7.638326335941868217e-02
1.016709968597614200e+00,1.597696341507149481e-02
1.938933218644627088e+00,5.050688895771078199e-03
3.300908913191331617e+00,1.922990688139023917e-03
5.309537461806753456e+00,8.002152785838107050e-04
7.306326955451562633e+00,4.331257434973733930e-04
9.135846464236824005e+00,2.725126257886284183e-04
1.134272855936412228e+01,1.724873099977036989e-04
1.373735075741961786e+01,1.101220512201868786e-04
1.646140960893157157e+01,6.949895628605241090e-05
1.917375994940334394e+01,4.604323375595885024e-05
2.305747738677785463e+01,2.746659950142195237e-05
2.733722403353484154e+01,1.685651309187332955e-05
3.229658188891146864e+01,1.103467375587014273e-05
3.856382684951636719e+01,7.676237026943012512e-06
4.670523615262305839e+01,5.918850991966985498e-06
5.923483005494587417e+01,4.480744083502218614e-06
7.566057958483962409e+01,3.484343507289086622e-06
1.001306172648910575e+02,2.673193078693204742e-06
1.397562348756117672e+02,1.905379703774347740e-06
2.049944429063695850e+02,1.189990696014503494e-06
2.933119015766268944e+02,6.573978775214078318e-07
4.271885848649437776e+02,3.309484497085647862e-07
5.857625219867874193e+02,1.774681661832801997e-07
8.653133819948359360e+02,7.869747601120248658e-08
1.278277836075397090e+03,3.268053708643042263e-08
1.855131676961806079e+03,1.295335680202876120e-08
2.561873173031717670e+03,5.670334337738192591e-09
3.678626495642196460e+03,2.185549599092297121e-09
4.920444504617491475e+03,1.011466475413895263e-09
