,photon_energies,1e15.0,1e15.05,1e15.1,1e15.15,1e15.2,1e15.25,1e15.3,1e15.35,1e15.4,1e15.45,1e15.5,1e15.55,1e15.6,1e15.65,1e15.7,1e15.75,1e15.8,1e15.85,1e15.9,1e15.95,1e16.0,1e16.05,1e16.1,1e16.15,1e16.2,1e16.25,1e16.3,1e16.35,1e16.4,1e16.45,1e16.5,1e16.55,1e16.6,1e16.65,1e16.7,1e16.75,1e16.8,1e16.85,1e16.9,1e16.95,1e17.0,1e17.05,1e17.1,1e17.15,1e17.2,1e17.25,1e17.3,1e17.35,1e17.4,1e17.45,1e17.5,1e17.55,1e17.6,1e17.65,1e17.7,1e17.75,1e17.8,1e17.85,1e17.9,1e17.95,1e18.0
0,5e-07,4867020.0,6816270.0,9546190.0,13369500.0,18723900.0,26222900.0,36725200.0,51433700.0,72033000.0,100882000.0,141286000.0,197871000.0,277118000.0,388105000.0,543541000.0,761230000.0,1066100000.0,1493080000.0,2091060000.0,2928530000.0,4101410000.0,5744030000.0,8044520000.0,11266400000.0,15778600000.0,22097900000.0,30948100000.0,43342900000.0,60701800000.0,85012900000.0,119061000000.0,166745000000.0,233526000000.0,327053000000.0,458039000000.0,641484000000.0,898399000000.0,1258210000000.0,1762120000000.0,2467860000000.0,3456240000000.0,4840460000000.0,6779070000000.0,9494100000000.0,13296500000000.0,18621800000000.0,26079800000000.0,36524800000000.0,51153000000000.0,71639900000000.0,100332000000000.0,140515000000000.0,196791000000000.0,275606000000000.0,385987000000000.0,540575000000000.0,757076000000000.0,1060290000000000.0,1484930000000000.0,2079650000000000.0,2912550000000000.0
1,5.07315e-07,5078280.0,7112130.0,9960550.0,13949800.0,19536700.0,27361100.0,38319300.0,53666200.0,75159600.0,105261000.0,147418000.0,206460000.0,289147000.0,404951000.0,567134000.0,794271000.0,1112380000.0,1557890000.0,2181820000.0,3055650000.0,4279440000.0,5993350000.0,8393700000.0,11755400000.0,16463400000.0,23057100000.0,32291400000.0,45224200000.0,63336600000.0,88702900000.0,124229000000.0,173982000000.0,243662000000.0,341249000000.0,477920000000.0,669328000000.0,937395000000.0,1312820000000.0,1838610000000.0,2574970000000.0,3606260000000.0,5050560000000.0,7073320000000.0,9906200000000.0,13873600000000.0,19430100000000.0,27211800000000.0,38110200000000.0,53373300000000.0,74749400000000.0,104687000000000.0,146614000000000.0,205333000000000.0,287569000000000.0,402741000000000.0,564039000000000.0,789937000000000.0,1106310000000000.0,1549390000000000.0,2169920000000000.0,3038970000000000.0
2,5.14736e-07,5298700.0,7420840.0,10392900.0,14555300.0,20384700.0,28548800.0,39982600.0,55995600.0,78422000.0,109830000.0,153817000.0,215421000.0,301697000.0,422528000.0,591751000.0,828747000.0,1160660000.0,1625510000.0,2276530000.0,3188280000.0,4465190000.0,6253500000.0,8758030000.0,12265600000.0,17178000000.0,24057900000.0,33693100000.0,47187200000.0,66085700000.0,92553100000.0,129621000000.0,181534000000.0,254239000000.0,356062000000.0,498665000000.0,698381000000.0,978083000000.0,1369810000000.0,1918420000000.0,2686740000000.0,3762790000000.0,5269790000000.0,7380340000000.0,10336200000000.0,14475800000000.0,20273400000000.0,28393000000000.0,39764400000000.0,55690100000000.0,77994000000000.0,109231000000000.0,152978000000000.0,214245000000000.0,300051000000000.0,420222000000000.0,588521000000000.0,824225000000000.0,1154330000000000.0,1616640000000000.0,2264100000000000.0,3170880000000000.0
3,5.22266e-07,5528700.0,7742950.0,10844000.0,15187000.0,21269500.0,29787900.0,41718000.0,58426200.0,81825900.0,114597000.0,160494000.0,224772000.0,314793000.0,440868000.0,617436000.0,864720000.0,1211040000.0,1696060000.0,2375340000.0,3326670000.0,4659000000.0,6524940000.0,9138180000.0,12798000000.0,17923700000.0,25102100000.0,35155500000.0,49235400000.0,68954200000.0,96570500000.0,135247000000.0,189414000000.0,265274000000.0,371517000000.0,520310000000.0,728694000000.0,1020540000000.0,1429260000000.0,2001690000000.0,2803360000000.0,3926110000000.0,5498530000000.0,7700690000000.0,10784800000000.0,15104200000000.0,21153400000000.0,29625400000000.0,41490400000000.0,58107300000000.0,81379400000000.0,113972000000000.0,159618000000000.0,223545000000000.0,313075000000000.0,438462000000000.0,614066000000000.0,860001000000000.0,1204430000000000.0,1686810000000000.0,2362380000000000.0,3308510000000000.0
4,5.29907e-07,5768670.0,8079040.0,11314700.0,15846300.0,22192700.0,31080900.0,43528800.0,60962200.0,85377600.0,119571000.0,167460000.0,234528000.0,328457000.0,460004000.0,644236000.0,902253000.0,1263610000.0,1769680000.0,2478440000.0,3471060000.0,4861230000.0,6808160000.0,9534830000.0,13353500000.0,18701700000.0,26191700000.0,36681500000.0,51372500000.0,71947200000.0,100762000000.0,141118000000.0,197635000000.0,276788000000.0,387643000000.0,542894000000.0,760324000000.0,1064830000000.0,1491300000000.0,2088570000000.0,2925040000000.0,4096530000000.0,5737190000000.0,8034950000000.0,11253000000000.0,15759800000000.0,22071600000000.0,30911300000000.0,43291300000000.0,60629500000000.0,84911700000000.0,118919000000000.0,166546000000000.0,233248000000000.0,326664000000000.0,457494000000000.0,640720000000000.0,897330000000000.0,1256710000000000.0,1760030000000000.0,2464920000000000.0,3452120000000000.0
5,5.37659e-07,6019070.0,8429710.0,11805800.0,16534100.0,23156000.0,32430000.0,45418200.0,63608300.0,89083500.0,124762000.0,174729000.0,244708000.0,342713000.0,479971000.0,672200000.0,941416000.0,1318450000.0,1846500000.0,2586020000.0,3621730000.0,5072230000.0,7103670000.0,9948700000.0,13933200000.0,19513400000.0,27328600000.0,38273700000.0,53602300000.0,75070100000.0,105136000000.0,147243000000.0,206214000000.0,288803000000.0,404469000000.0,566459000000.0,793326000000.0,1111050000000.0,1556030000000.0,2179230000000.0,3052010000000.0,4274340000000.0,5986220000000.0,8383710000000.0,11741400000000.0,16443800000000.0,23029600000000.0,32253000000000.0,45170400000000.0,63261200000000.0,88597300000000.0,124081000000000.0,173775000000000.0,243372000000000.0,340843000000000.0,477351000000000.0,668531000000000.0,936279000000000.0,1311260000000000.0,1836420000000000.0,2571910000000000.0,3601960000000000.0
6,5.45524e-07,6280330.0,8795610.0,12318300.0,17251700.0,24161100.0,33837600.0,47389600.0,66369200.0,92950200.0,130177000.0,182313000.0,255329000.0,357589000.0,500804000.0,701377000.0,982279000.0,1375680000.0,1926650000.0,2698270000.0,3778930000.0,5292400000.0,7412010000.0,10380500000.0,14537900000.0,20360400000.0,28514800000.0,39935000000.0,55929000000.0,78328600000.0,109699000000.0,153634000000.0,215165000000.0,301338000000.0,422025000000.0,591046000000.0,827761000000.0,1159280000000.0,1623570000000.0,2273820000000.0,3184480000000.0,4459870000000.0,6246060000000.0,8747610000000.0,12251000000000.0,17157600000000.0,24029200000000.0,33653000000000.0,47131000000000.0,66007100000000.0,92443000000000.0,129466000000000.0,181318000000000.0,253936000000000.0,355638000000000.0,498071000000000.0,697549000000000.0,976919000000000.0,1368180000000000.0,1916130000000000.0,2683550000000000.0,3758310000000000.0
7,5.53505e-07,6552930.0,9177390.0,12852900.0,18000600.0,25209800.0,35306400.0,49446600.0,69250000.0,96984800.0,135827000.0,190226000.0,266412000.0,373111000.0,522542000.0,731821000.0,1024920000.0,1435400000.0,2010270000.0,2815390000.0,3942960000.0,5522120000.0,7733730000.0,10831100000.0,15169000000.0,21244200000.0,29752500000.0,41668400000.0,58356600000.0,81728500000.0,114461000000.0,160303000000.0,224504000000.0,314418000000.0,440343000000.0,616701000000.0,863690000000.0,1209600000000.0,1694050000000.0,2372510000000.0,3322710000000.0,4653460000000.0,6517170000000.0,9127310000000.0,12782800000000.0,17902300000000.0,25072200000000.0,35113700000000.0,49176800000000.0,68872100000000.0,96455500000000.0,135086000000000.0,189188000000000.0,264958000000000.0,371074000000000.0,519690000000000.0,727827000000000.0,1019320000000000.0,1427560000000000.0,1999300000000000.0,2800030000000000.0,3921440000000000.0
8,5.61602e-07,6837370.0,9575740.0,13410800.0,18781900.0,26304100.0,36838900.0,51592900.0,72255900.0,101194000.0,141723000.0,198483000.0,277976000.0,389306000.0,545223000.0,763586000.0,1069400000.0,1497700000.0,2097530000.0,2937590000.0,4114100000.0,5761810000.0,8069420000.0,11301200000.0,15827400000.0,22166300000.0,31043900000.0,43477000000.0,60889600000.0,85276000000.0,119429000000.0,167261000000.0,234249000000.0,328066000000.0,459456000000.0,643469000000.0,901179000000.0,1262100000000.0,1767580000000.0,2475490000000.0,3466930000000.0,4855440000000.0,6800050000000.0,9523480000000.0,13337600000000.0,18679400000000.0,26160500000000.0,36637800000000.0,51311300000000.0,71861600000000.0,100642000000000.0,140950000000000.0,197400000000000.0,276459000000000.0,387181000000000.0,542248000000000.0,759419000000000.0,1063570000000000.0,1489530000000000.0,2086080000000000.0,2921560000000000.0,4091650000000000.0
9,5.69818e-07,7134150.0,9991380.0,13992900.0,19597100.0,27445800.0,38437900.0,53832300.0,75392200.0,105587000.0,147875000.0,207099000.0,290042000.0,406204000.0,568889000.0,796730000.0,1115820000.0,1562710000.0,2188580000.0,3065100000.0,4292680000.0,6011900000.0,8419680000.0,11791800000.0,16514400000.0,23128400000.0,32391400000.0,45364200000.0,63532600000.0,88977500000.0,124613000000.0,174521000000.0,244416000000.0,342306000000.0,479399000000.0,671399000000.0,940296000000.0,1316890000000.0,1844300000000.0,2582940000000.0,3617420000000.0,5066200000000.0,7095210000000.0,9936860000000.0,13916600000000.0,19490200000000.0,27296000000000.0,38228100000000.0,53538500000000.0,74980800000000.0,105011000000000.0,147068000000000.0,205968000000000.0,288459000000000.0,403987000000000.0,565784000000000.0,792382000000000.0,1109730000000000.0,1554180000000000.0,2176630000000000.0,3048380000000000.0,4269250000000000.0
