T (GeV)      ,gstar  ,heff   ,geff
0.0000199526,2.14115,3.93872,3.38387
0.0000223872,2.14115,3.93872,3.38387
0.0000251189,2.14116,3.93872,3.38388
0.0000281838,2.14121,3.93873,3.38389
0.0000316228,2.14129,3.9388 ,3.38397
0.0000354814,2.14211,3.93903,3.38427
0.0000398107,2.14313,3.94002,3.38549
0.0000446684,2.14788,3.94193,3.3881
0.0000501187,2.16075,3.94971,3.39738
0.0000562341,2.18016,3.96568,3.41647
0.0000630958,2.21693,3.99719,3.45361
0.0000707946,2.27367,4.05392,3.51934
0.0000794328,2.35457,4.14742,3.62573
0.0000891251,2.46145,4.29041,3.78527
0.0001      ,2.59387,4.49612,4.0102
0.000112202 ,2.74915,4.77665,4.3118
0.000125892 ,2.91932,5.14242,4.69996
0.000141254 ,3.08264,5.59394,5.17649
0.000158489 ,3.21977,6.11588,5.72974
0.000177828 ,3.32439,6.68405,6.33782
0.000199526 ,3.38107,7.26618,6.96665
0.000223872 ,3.39252,7.81519,7.56535
0.000251189 ,3.39207,8.31058,8.11056
0.000281838 ,3.38331,8.74618,8.59272
0.000316228 ,3.37016,9.11984,9.00495
0.000354813 ,3.356  ,9.4338 ,9.34736
0.000398107 ,3.34556,9.69405,9.6294
0.000446684 ,3.33867,9.91217,9.86545
0.000501187 ,3.32907,10.0914,10.0587
0.000562341 ,3.32115,10.2369,10.2142
0.000630957 ,3.31505,10.354 ,10.3381
0.000707946 ,3.31139,10.4496,10.4387
0.000794328 ,3.30715,10.5269,10.5198
0.000891251 ,3.30316,10.5884,10.5838
0.001       ,3.2995 ,10.6366,10.6332
0.00112202  ,3.29685,10.6741,10.6713
0.00125892  ,3.29651,10.704 ,10.7017
0.00141254  ,3.29747,10.7302,10.7286
0.00158489  ,3.29683,10.7524,10.7517
0.00177828  ,3.29568,10.7702,10.7704
0.00199526  ,3.29388,10.7838,10.7844
0.00223872  ,3.29202,10.7933,10.7937
0.00251189  ,3.29111,10.7997,10.7998
0.00281838  ,3.29104,10.8047,10.8043
0.00316228  ,3.29166,10.809 ,10.8083
0.00354813  ,3.29271,10.8136,10.8132
0.00398107  ,3.29303,10.8183,10.8184
0.00446684  ,3.29304,10.8225,10.8231
0.00501187  ,3.29275,10.8259,10.827
0.00562341  ,3.29186,10.8283,10.8296
0.00630957  ,3.29076,10.8292,10.8304
0.00707946  ,3.29008,10.8289,10.8296
0.00794328  ,3.29054,10.8284,10.8287
0.00891251  ,3.29449,10.8299,10.8303
0.01        ,3.3003 ,10.8374,10.8395
0.0112202   ,3.30766,10.8496,10.8543
0.0125892   ,3.32432,10.8735,10.883
0.0141254   ,3.34921,10.9162,10.9338
0.0158489   ,3.39026,10.9878,11.0194
0.0177828   ,3.45708,11.1083,11.1678
0.0199526   ,3.54372,11.3007,11.4085
0.0223872   ,3.63446,11.5685,11.7266
0.0251189   ,3.7203 ,11.9012,12.0945
0.0281838   ,3.7938 ,12.2773,12.5001
0.0316228   ,3.8616 ,12.6822,12.9312
0.0354813   ,3.92322,13.1056,13.3759
0.0398107   ,3.97843,13.5375,13.8235
0.0421697   ,4.00396,13.754 ,14.0456
0.0446684   ,4.02831,13.9696,14.2655
0.0473151   ,4.05174,14.1839,14.4826
0.0501187   ,4.07455,14.3963,14.6968
0.0530884   ,4.0971 ,14.6066,14.908
0.0562341   ,4.11986,14.8152,15.1166
0.0595662   ,4.14345,15.0223,15.3235
0.0630957   ,4.16854,15.2291,15.5298
0.0668344   ,4.19655,15.4369,15.7377
0.0707946   ,4.23093,15.6488,15.9508
0.0749894   ,4.27596,15.8705,16.1761
0.0794328   ,4.33495,16.1102,16.4233
0.0841395   ,4.40527,16.3763,16.7028
0.0891251   ,4.48248,16.6736,17.02
0.0944061   ,4.56881,17.0063,17.3796
0.1         ,4.67508,17.3825,17.7909
0.105925    ,4.7968 ,17.8167,18.2706
0.112202    ,5.00266,18.3309,18.8863
0.11885     ,5.41135,19.0466,19.8105
0.125892    ,5.9174 ,20.0941,21.0143
0.133352    ,6.47829,21.4912,22.6405
0.141254    ,7.17981,23.3641,24.8377
0.149624    ,7.85646,25.7839,27.678
0.158489    ,8.35094,28.688 ,31.0595
0.167881    ,8.56448,31.8594,34.6881
0.177828    ,8.5431 ,35.0171,38.2034
0.188365    ,8.41707,37.9544,41.3583
0.199526    ,8.29839,40.5998,44.0896
0.211349    ,8.23215,42.9805,46.46
0.223872    ,8.21437,45.1544,48.5645
0.237138    ,8.22517,47.1692,50.4771
0.251189    ,8.24774,49.053 ,52.2407
0.266072    ,8.27302,50.8196,53.877
0.281838    ,8.29796,52.4762,55.3974
0.298538    ,8.32271,54.0287,56.8108
0.316228    ,8.34848,55.4844,58.1272
0.334966    ,8.37642,56.8521,59.3581
0.354814    ,8.40712,58.1415,60.5156
0.375837    ,8.44062,59.3625,61.6115
0.398107    ,8.47644,60.5243,62.6563
0.421696    ,8.51387,61.6347,63.6585
0.446684    ,8.55201,62.7001,64.6247
0.473152    ,8.58977,63.7252,65.5589
0.501187    ,8.62648,64.7128,66.4632
0.530885    ,8.66162,65.6649,67.3386
0.562341    ,8.6949 ,66.5825,68.1849
0.595662    ,8.72643,67.4663,69.0022
0.630958    ,8.75649,68.3173,69.7905
0.668344    ,8.78579,69.1369,70.551
0.707946    ,8.81487,69.9273,71.2857
0.749894    ,8.84423,70.6913,71.9976
0.794328    ,8.87419,71.432 ,72.69
