# energy,mu_vm,pi_pi0,pi_pi_pi,pi0_e_ve,pi0_mu_vm,pi_pi0_pi0
2.468382355356611e-02,7.690514418293701e-08,1.891185158419628e-08,1.015000975495514e-08,0.000000000000000e+00,2.621578337101581e-09,1.101552191347388e-09
2.514365826174708e-02,7.979499251133205e-08,1.962263481694445e-08,1.053157435540196e-08,0.000000000000000e+00,2.720116337459188e-09,1.142961675761552e-09
2.561205922622092e-02,8.279339003042248e-08,2.036012444597873e-08,1.092748048561383e-08,0.000000000000000e+00,2.822357213536321e-09,1.185927544370171e-09
2.608918602769255e-02,8.590441169682958e-08,2.112532347792964e-08,1.133826704834231e-08,0.000000000000000e+00,2.928440061300186e-09,1.230508278329057e-09
2.657520121969428e-02,8.913228530530251e-08,2.191927256418420e-08,1.176449318840126e-08,0.000000000000000e+00,3.038509198841846e-09,1.276764555320046e-09
2.707027038396657e-02,9.248139721338583e-08,2.274305141234278e-08,1.220673905253841e-08,0.000000000000000e+00,3.152714362265644e-09,1.324759332000027e-09
2.757456218687054e-02,9.595629828006418e-08,2.359778025051628e-08,1.266560657780629e-08,0.000000000000000e+00,3.271210908917209e-09,1.374557929541822e-09
2.808824843685128e-02,9.956171002635682e-08,2.448462134643688e-08,1.314172030949959e-08,0.000000000000000e+00,3.394160028224483e-09,1.426228122382745e-09
2.861150414297174e-02,1.033025310261311e-07,2.540478058342951e-08,1.363572824976648e-08,0.000000000000000e+00,3.521728960436324e-09,1.479840230300916e-09
2.914450757453700e-02,1.071838435357080e-07,2.635950909536709e-08,1.414830273804237e-08,0.000000000000000e+00,3.654091223553934e-09,1.535467213943925e-09
2.968744032182927e-02,1.112109203711544e-07,2.735010496281166e-08,1.468014136449795e-08,0.000000000000000e+00,3.791426848761332e-09,1.593184773939104e-09
3.024048735797437e-02,1.153892320424815e-07,2.837791497262548e-08,1.523196791773728e-08,0.000000000000000e+00,3.933922624672504e-09,1.653071453719471e-09
3.080383710196066e-02,1.197244541543156e-07,2.944433644342078e-08,1.580453336802857e-08,0.000000000000000e+00,4.081772350724666e-09,1.715208746204424e-09
3.137768148283203e-02,1.242224750829566e-07,3.055081911930570e-08,1.639861688739761e-08,0.000000000000000e+00,4.235177100059438e-09,1.779681204479489e-09
3.196221600507661e-02,1.288894039401090e-07,3.169886713447400e-08,1.701502690796372e-08,0.000000000000000e+00,4.394345492246263e-09,1.846576556624713e-09
3.255763981523378e-02,1.337315788339530e-07,3.289004105128224e-08,1.765460221994974e-08,0.000000000000000e+00,4.559493976215905e-09,1.915985824847045e-09
3.316415576974183e-02,1.387555754386121e-07,3.412595997455533e-08,1.831821311085080e-08,0.000000000000000e+00,4.730847123785159e-09,1.988003449077664e-09
3.378197050404964e-02,1.439682158834880e-07,3.540830374496336e-08,1.900676254730212e-08,0.000000000000000e+00,4.908637934168489e-09,2.062727415201343e-09
3.441129450301591e-02,1.493765779743543e-07,3.673881521441863e-08,1.972118740124376e-08,0.000000000000000e+00,5.093108149886728e-09,2.140259388091144e-09
3.505234217261966e-02,1.549880047585428e-07,3.811930260655077e-08,2.046245972203943e-08,0.000000000000000e+00,5.284508584498370e-09,2.220704849628164e-09
3.570533191300684e-02,1.608101144470069e-07,3.955164196543132e-08,2.123158805626888e-08,0.000000000000000e+00,5.483099462594825e-09,2.304173241892818e-09
3.637048619289757e-02,1.668508107065261e-07,4.103777969583747e-08,2.202961881697720e-08,0.000000000000000e+00,5.689150772517362e-09,2.390778115721030e-09
3.704803162537961e-02,1.731182933357971e-07,4.257973519846587e-08,2.285763770423076e-08,0.000000000000000e+00,5.902942632270492e-09,2.480637284826021e-09
3.773819904511368e-02,1.796210693396706e-07,4.417960360363428e-08,2.371677117889895e-08,0.000000000000000e+00,6.124765669124202e-09,2.573872985693702e-09
3.844122358697718e-02,1.863679644163164e-07,4.583955860714039e-08,2.460818799165213e-08,0.000000000000000e+00,6.354921413415779e-09,2.670612043467626e-09
3.915734476617283e-02,1.933681348726435e-07,4.756185541208227e-08,2.553310076924048e-08,0.000000000000000e+00,6.593722707080920e-09,2.770986044047348e-09
3.988680655982973e-02,2.006310799838685e-07,4.934883378058672e-08,2.649276766019544e-08,0.000000000000000e+00,6.841494127463382e-09,2.875131512632465e-09
4.062985749012454e-02,2.081666548137107e-07,5.120292119953752e-08,2.748849404217525e-08,0.000000000000000e+00,7.098572426973064e-09,2.983190098953218e-09
4.138675070895111e-02,2.159850835123003e-07,5.312663616454727e-08,2.852163429325905e-08,0.000000000000000e+00,7.365306989183342e-09,3.095308769437583e-09
