# energy,mu_vm,pi_pi0,pi_pi_pi,pi0_e_ve,pi0_mu_vm,pi_pi0_pi0
2.468382355356611e-02,3.847219320739123e-08,9.459573052431011e-09,5.076216261887710e-09,0.000000000000000e+00,1.311220838689318e-09,5.509132142365539e-10
2.514365826174708e-02,3.991821708050288e-08,9.815168044085793e-09,5.267065235749486e-09,0.000000000000000e+00,1.360513822637114e-09,5.716255140425156e-10
2.561205922622092e-02,4.141857750567376e-08,1.018412765202029e-08,5.465088684186787e-09,0.000000000000000e+00,1.411659587643397e-09,5.931164268636054e-10
2.608918602769255e-02,4.297531546407138e-08,1.056695402358397e-08,5.670556266538263e-09,0.000000000000000e+00,1.464727757327355e-09,6.154152168901199e-10
2.657520121969428e-02,4.459054855443475e-08,1.096416816494475e-08,5.883747774891879e-09,0.000000000000000e+00,1.519790570644837e-09,6.385522479064777e-10
2.707027038396657e-02,4.626647386667553e-08,1.137631064888359e-08,6.104953514683307e-09,0.000000000000000e+00,1.576922980075263e-09,6.625590245910197e-10
2.757456218687054e-02,4.800537096310749e-08,1.180394234912648e-08,6.334474699581472e-09,0.000000000000000e+00,1.636202753491557e-09,6.874682353660075e-10
2.808824843685128e-02,4.980960497132792e-08,1.224764520220736e-08,6.572623861197098e-09,0.000000000000000e+00,1.697710579851137e-09,7.133137968559680e-10
2.861150414297174e-02,5.168162979292292e-08,1.270802299789224e-08,6.819725274170062e-09,0.000000000000000e+00,1.761530178851018e-09,7.401309000146802e-10
2.914450757453700e-02,5.362399143232530e-08,1.318570219923377e-08,7.076115397212388e-09,0.000000000000000e+00,1.827748414695567e-09,7.679560579833747e-10
2.968744032182927e-02,5.563933145031348e-08,1.368133279336516e-08,7.342143330705101e-09,0.000000000000000e+00,1.896455414130931e-09,7.968271557450661e-10
3.024048735797437e-02,5.773039054680865e-08,1.419558917418357e-08,7.618171291469716e-09,0.000000000000000e+00,1.967744688905899e-09,8.267835016423349e-10
3.080383710196066e-02,5.990001227779924e-08,1.472917105811650e-08,7.904575105358252e-09,0.000000000000000e+00,2.041713262824994e-09,8.578658808284364e-10
3.137768148283203e-02,6.215114691140279e-08,1.528280443420879e-08,8.201744718329944e-09,0.000000000000000e+00,2.118461803565741e-09,8.901166107242173e-10
3.196221600507661e-02,6.448685542826007e-08,1.585724254981428e-08,8.510084726707553e-09,0.000000000000000e+00,2.198094759438448e-09,9.235795985559938e-10
3.255763981523378e-02,6.691031367165257e-08,1.645326693322400e-08,8.830014927332450e-09,0.000000000000000e+00,2.280720501273629e-09,9.583004010524335e-10
3.316415576974183e-02,6.942481665293103e-08,1.707168845461252e-08,9.161970888364327e-09,0.000000000000000e+00,2.366451469628926e-09,9.943262863813330e-10
3.378197050404964e-02,7.203378301805406e-08,1.771334842673543e-08,9.506404541499339e-09,0.000000000000000e+00,2.455404327514729e-09,1.031706298410245e-09
3.441129450301591e-02,7.474075968124959e-08,1.837911974686463e-08,9.863784796409559e-09,0.000000000000000e+00,2.547700118844997e-09,1.070491323378051e-09
3.505234217261966e-02,7.754942663203576e-08,1.906990808150347e-08,1.023459817823649e-08,0.000000000000000e+00,2.643464432827613e-09,1.110734159067807e-09
3.570533191300684e-02,8.046360192206987e-08,1.978665309548087e-08,1.061934948900272e-08,0.000000000000000e+00,2.742827574516452e-09,1.152489586574609e-09
