# energy,pi_pi
5.109989461000004e-01,1.181264458469876e-04
5.177997474297205e-01,1.212297810215171e-04
5.246910595111344e-01,1.244137674114578e-04
5.316740869370211e-01,1.276804648173626e-04
5.387500503318877e-01,1.310319841358334e-04
5.459201865653328e-01,1.344704885629099e-04
5.531857489682500e-01,1.379981948229960e-04
5.605480075519090e-01,1.416173744237396e-04
5.680082492299514e-01,1.453303549372776e-04
5.755677780433416e-01,1.491395213082597e-04
5.832279153883121e-01,1.530473171890617e-04
5.909900002473413e-01,1.570562463026004e-04
5.988553894232063e-01,1.611688738331587e-04
6.068254577761502e-01,1.653878278456245e-04
6.149015984642063e-01,1.697158007335526e-04
6.230852231867199e-01,1.741555506964416e-04
6.313777624311118e-01,1.787099032466279e-04
6.397806657229257e-01,1.833817527461826e-04
6.482954018792038e-01,1.881740639741977e-04
6.569234592652334e-01,1.930898737248378e-04
6.656663460547122e-01,1.981322924365288e-04
6.745255904933746e-01,2.033045058526444e-04
6.835027411661272e-01,2.086097767140419e-04
6.925993672677400e-01,2.140514464837905e-04
7.018170588771390e-01,2.196329371044210e-04
7.111574272353504e-01,2.253577527880149e-04
7.206221050271436e-01,2.312294818394364e-04
7.302127466664224e-01,2.372517985129954e-04
7.399310285854144e-01,2.434284649028131e-04
7.497786495277088e-01,2.497633328671452e-04
7.597573308451960e-01,2.562603459868954e-04
7.698688167989565e-01,2.629235415585345e-04
7.801148748641560e-01,2.697570526216127e-04
7.904972960389978e-01,2.767651100210353e-04
8.010178951577874e-01,2.839520445042377e-04
8.116785112081629e-01,2.913222888533739e-04
8.224810076525477e-01,2.988803800525982e-04
8.334272727538817e-01,3.066309614904892e-04
8.445192199056873e-01,3.145787851976307e-04
8.557587879665278e-01,3.227287141193239e-04
8.671479415989179e-01,3.310857244233727e-04
8.786886716127443e-01,3.396549078428298e-04
8.903829953132563e-01,3.484414740535599e-04
9.022329568536888e-01,3.574507530864195e-04
9.142406275925772e-01,3.666881977737999e-04
9.264081064558289e-01,3.761593862302364e-04
9.387375203036126e-01,3.858700243667170e-04
9.512310243021307e-01,3.958259484382696e-04
9.638908023003399e-01,4.060331276243414e-04
9.767190672116851e-01,4.164976666414113e-04
9.897180614009142e-01,4.272258083872077e-04
1.002890057076040e+00,4.382239366158245e-04
1.016237356685521e+00,4.494985786429460e-04
1.029762293320725e+00,4.610564080803068e-04
1.043467231123748e+00,4.729042475984178e-04
1.057354565700671e+00,4.850490717164997e-04
1.071426724540301e+00,4.974980096184501e-04
1.085686167438497e+00,5.102583479935820e-04
1.100135386928138e+00,5.233375339007344e-04
1.114776908714817e+00,5.367431776542591e-04
1.129613292118326e+00,5.504830557302403e-04
1.144647130520029e+00,5.645651136911829e-04
1.159881051816175e+00,5.789974691272640e-04
1.175317718877255e+00,5.937884146120854e-04
1.190959830013468e+00,6.089464206707148e-04
1.206810119446381e+00,6.244801387576438e-04
1.222871357786870e+00,6.403984042421007e-04
1.239146352519414e+00,6.567102393979961e-04
1.255637948492848e+00,6.734248563955681e-04
1.272349028417632e+00,6.905516602916045e-04
1.289282513369746e+00,7.081002520148979e-04
1.306441363301295e+00,7.260804313433818e-04
1.323828577557901e+00,7.445021998691363e-04
1.341447195402987e+00,7.633757639472339e-04
1.359300296549032e+00,7.827115376241163e-04
1.377391001695908e+00,8.025201455409310e-04
1.395722473076369e+00,8.228124258069696e-04
1.414297915008808e+00,8.435994328380474e-04
1.433120574457365e+00,8.648924401543522e-04
1.452193741599497e+00,8.867029431319620e-04
1.471520750401093e+00,9.090426617018755e-04
1.491104979199248e+00,9.319235429900519e-04
1.510949851292792e+00,9.553577638915543e-04
1.531058835540680e+00,9.793577335715205e-04
1.551435446968342e+00,1.003936095885226e-03
1.572083247382108e+00,1.029105731709105e-03
1.593005845991801e+00,1.054879761174116e-03
1.614206900041632e+00,1.081271545792343e-03
1.635690115449474e+00,1.108294690467245e-03
1.657459247454654e+00,1.135963045377415e-03
1.679518101274365e+00,1.164290707723170e-03
1.701870532768813e+00,1.193292023324691e-03
1.724520449115217e+00,1.222981588059857e-03
