# energy,pi_pi
5.109989461000004e-01,5.981885958357668e-05
5.177997474297205e-01,6.140108081074460e-05
5.246910595111344e-01,6.302486332804109e-05
5.316740869370211e-01,6.469128701767842e-05
5.387500503318877e-01,6.640145933179783e-05
5.459201865653328e-01,6.815651597595985e-05
5.531857489682500e-01,6.995762160871384e-05
5.605480075519090e-01,7.180597055758685e-05
5.680082492299514e-01,7.370278755183734e-05
5.755677780433416e-01,7.564932847232588e-05
5.832279153883121e-01,7.764688111885906e-05
5.909900002473413e-01,7.969676599536863e-05
5.988553894232063e-01,8.180033711329436e-05
6.068254577761502e-01,8.395898281354254e-05
6.149015984642063e-01,8.617412660739965e-05
6.230852231867199e-01,8.844722803678363e-05
6.313777624311118e-01,9.077978355422294e-05
6.397806657229257e-01,9.317332742295642e-05
6.482954018792038e-01,9.562943263755454e-05
6.569234592652334e-01,9.814971186546444e-05
6.656663460547122e-01,1.007358184098900e-04
6.745255904933746e-01,1.033894471944198e-04
6.835027411661272e-01,1.061123357698218e-04
6.925993672677400e-01,1.089062653434293e-04
7.018170588771390e-01,1.117730618315434e-04
7.111574272353504e-01,1.147145969352877e-04
7.206221050271436e-01,1.177327892403486e-04
7.302127466664224e-01,1.208296053410418e-04
7.399310285854144e-01,1.240070609891502e-04
7.497786495277088e-01,1.272672222679789e-04
7.597573308451960e-01,1.306122067920793e-04
7.698688167989565e-01,1.340441849330944e-04
7.801148748641560e-01,1.375653810721819e-04
7.904972960389978e-01,1.411780748794751e-04
8.010178951577874e-01,1.448846026210395e-04
8.116785112081629e-01,1.486873584937895e-04
8.224810076525477e-01,1.525887959888282e-04
8.334272727538817e-01,1.565914292836734e-04
8.445192199056873e-01,1.606978346638371e-04
8.557587879665278e-01,1.649106519742198e-04
8.671479415989179e-01,1.692325861007881e-04
8.786886716127443e-01,1.736664084829940e-04
8.903829953132563e-01,1.782149586574005e-04
9.022329568536888e-01,1.828811458329719e-04
9.142406275925772e-01,1.876679504984840e-04
9.264081064558289e-01,1.925784260625070e-04
9.387375203036126e-01,1.976157005264106e-04
9.512310243021307e-01,2.027829781908312e-04
9.638908023003399e-01,2.080835413960415e-04
9.767190672116851e-01,2.135207522966499e-04
9.897180614009142e-01,2.190980546710528e-04
1.002890057076040e+00,2.248189757660534e-04
1.016237356685521e+00,2.306871281770496e-04
1.029762293320725e+00,2.367062117641847e-04
1.043467231123748e+00,2.428800156048396e-04
1.057354565700671e+00,2.492124199828343e-04
1.071426724540301e+00,2.557073984146914e-04
1.085686167438497e+00,2.623690197132962e-04
1.100135386928138e+00,2.692014500892725e-04
1.114776908714817e+00,2.762089552903735e-04
1.129613292118326e+00,2.833959027791675e-04
1.144647130520029e+00,2.907667639492712e-04
1.159881051816175e+00,2.983261163803655e-04
1.175317718877255e+00,3.060786461321998e-04
1.190959830013468e+00,3.140291500777571e-04
1.206810119446381e+00,3.221825382757345e-04
1.222871357786870e+00,3.305438363824468e-04
1.239146352519414e+00,3.391181881032368e-04
1.255637948492848e+00,3.479108576834321e-04
1.272349028417632e+00,3.569272324388534e-04
1.289282513369746e+00,3.661728253258287e-04
1.306441363301295e+00,3.756532775506349e-04
1.323828577557901e+00,3.853743612182224e-04
1.341447195402987e+00,3.953419820200452e-04
1.359300296549032e+00,4.055621819607484e-04
1.377391001695908e+00,4.160411421234146e-04
1.395722473076369e+00,4.267851854730095e-04
1.414297915008808e+00,4.378007796975909e-04
1.433120574457365e+00,4.490945400867896e-04
1.452193741599497e+00,4.606732324469825e-04
1.471520750401093e+00,4.725437760525073e-04
1.491104979199248e+00,4.847132466321853e-04
1.510949851292792e+00,4.971888793903204e-04
1.531058835540680e+00,5.099780720612629e-04
1.551435446968342e+00,5.230883879965151e-04
1.572083247382108e+00,5.365275592832582e-04
1.593005845991801e+00,5.503034898930656e-04
1.614206900041632e+00,5.644242588594550e-04
1.635690115449474e+00,5.788981234827994e-04
1.657459247454654e+00,5.937335225609973e-04
1.679518101274365e+00,6.089390796441604e-04
1.701870532768813e+00,6.245236063114253e-04
1.724520449115217e+00,6.404961054678580e-04
1.747471809490776e+00,6.568657746592391e-04
1.770728625764733e+00,6.736420094023713e-04
1.794294963199639e+00,6.908344065283448e-04
1.818174941161962e+00,7.084527675360350e-04
1.842372733842141e+00,7.265071019528855e-04
1.866892570984235e+00,7.450076306998386e-04
1.891738738625272e+00,7.639647894570457e-04
1.916915579844447e+00,7.833892320267578e-04
1.942427495522285e+00,8.032918336895685e-04
1.968278945109908e+00,8.236836945499016e-04
1.994474447408545e+00,8.445761428663981e-04
2.021018581359408e+00,8.659807383625457e-04
2.047915986844093e+00,8.879092755126179e-04
2.075171365495615e+00,9.103737867976773e-04
2.102789481520257e+00,9.333865459260548e-04
2.130775162530341e+00,9.569600710124009e-04
2.159133300388095e+00,9.811071277090195e-04
2.187868852060737e+00,1.005840732282835e-03
2.216986840486952e+00,1.031174154630935e-03
2.246492355454893e+00,1.057120921227235e-03
2.276390554491870e+00,1.083694817992344e-03
2.306686663765882e+00,1.110909893078292e-03
2.337385978999140e+00,1.138780459559265e-03
2.368493866393755e+00,1.167321098019014e-03
2.400015763569748e+00,1.196546659025078e-03
2.431957180515527e+00,1.226472265479392e-03
2.464323700551041e+00,1.257113314834291e-03
2.497120981303727e+00,1.288485481162308e-03
2.530354755697458e+00,1.320604717067526e-03
2.564030832954658e+00,1.353487255425593e-03
2.598155099611733e+00,1.387149610938798e-03
2.632733520548046e+00,1.421608581491877e-03
2.667772140028560e+00,1.456881249293477e-03
2.703277082760371e+00,1.492984981787390e-03
2.739254554963299e+00,1.529937432316804e-03
2.775710845454729e+00,1.567756540524037e-03
2.812652326748886e+00,1.606460532467164e-03
2.850085456170743e+00,1.646067920434134e-03
2.888016776984756e+00,1.686597502433866e-03
2.926452919538616e+00,1.728068361342799e-03
2.965400602422225e+00,1.770499863684307e-03
3.004866633642099e+00,1.813911658017170e-03
3.044857911811400e+00,1.858323672908174e-03
3.085381427355800e+00,1.903756114462573e-03
3.126444263735405e+00,1.950229463384928e-03
3.168053598682930e+00,1.997764471541358e-03
3.210216705458361e+00,2.046382157992905e-03
3.252940954120311e+00,2.096103804468137e-03
3.296233812814295e+00,2.146950950241600e-03
3.340102849078156e+00,2.198945386383049e-03
3.384555731164858e+00,2.252109149340696e-03
3.429600229382890e+00,2.306464513819930e-03
3.475244217454503e+00,2.362033984917069e-03
3.521495673892030e+00,2.418840289465768e-03
3.568362683392519e+00,2.476906366551656e-03
3.615853438250924e+00,2.536255357148649e-03
3.663976239792119e+00,2.596910592828137e-03
3.712739499821943e+00,2.658895583489936e-03
3.762151742097590e+00,2.722234004061470e-03
3.812221603817538e+00,2.786949680109038e-03
3.862957837131326e+00,2.853066572302510e-03
3.914369310669422e+00,2.920608759671825e-03
3.966465011093442e+00,2.989600421590985e-03
4.019254044667013e+00,3.060065818422036e-03
4.072745638847532e+00,3.132029270748474e-03
4.126949143899116e+00,3.205515137124214e-03
4.181874034527019e+00,3.280547790260747e-03
4.237529911533794e+00,3.357151591571629e-03
4.293926503497504e+00,3.435350863989576e-03
4.351073668472265e+00,3.515169862967649e-03
4.408981395711423e+00,3.596632745571838e-03
4.467659807413660e+00,3.679763537568092e-03
4.527119160492345e+00,3.764586098402484e-03
4.587369848368424e+00,3.851124083968449e-03
4.648422402787189e+00,3.939400907050231e-03
4.710287495659198e+00,4.029439695326638e-03
4.772975940925726e+00,4.121263246813910e-03
4.836498696449016e+00,4.214893982620942e-03
4.900866865927711e+00,4.310353896884501e-03
4.966091700837762e+00,4.407664503745921e-03
5.032184602399166e+00,4.506846781224591e-03
5.099157123568898e+00,4.607921111837054e-03
5.167020971060342e+00,4.710907219803627e-03
5.235788007389615e+00,4.815824104677469e-03
5.305470252949116e+00,4.922689971223533e-03
5.376079888108687e+00,5.031522155367136e-03
5.447629255344713e+00,5.142337046023838e-03
5.520130861397575e+00,5.255150002613916e-03
5.593597379457817e+00,1.832303166339078e-02
5.668041651381405e+00,1.843988227235956e-02
5.743476689934459e+00,1.855876995458455e-02
5.819915681067875e+00,1.867970503295427e-02
5.897371986222209e+00,1.880269631618247e-02
5.975859144663244e+00,1.892775098578072e-02
6.055390875848640e+00,1.905487447707070e-02
6.135981081826065e+00,1.918407035395799e-02
6.217643849663268e+00,1.931534017717665e-02
6.300393453910474e+00,1.944868336570114e-02
6.384244359095568e+00,1.958409705100874e-02
6.469211222252461e+00,1.972157592386159e-02
6.555308895483131e+00,1.986111207326296e-02
6.642552428553752e+00,2.000269481722664e-02
6.730957071525366e+00,2.014631052498198e-02
6.820538277419596e+00,2.029194243021942e-02
6.911311704919786e+00,2.043957043495999e-02
7.003293221108139e+00,2.058917090360590e-02
7.096498904239253e+00,2.074071644668270e-02
7.190945046550597e+00,2.089417569366418e-02
7.286648157110350e+00,2.104951305375484e-02
7.383624964703179e+00,2.120668845887488e-02
7.481892420754412e+00,2.136540979219327e-02
7.581467702293113e+00,2.152236164719762e-02
7.682368214954630e+00,2.167647787819714e-02
7.784611596023049e+00,2.182770705258962e-02
7.888215717514186e+00,2.197599724411087e-02
7.993198689299590e+00,2.212129647648111e-02
8.099578862272134e+00,2.226355233420578e-02
8.207374831553709e+00,2.240271126288040e-02
8.316605439745645e+00,2.253872159333844e-02
8.427289780222369e+00,2.267152875375758e-02
8.539447200468897e+00,2.280108067866544e-02
8.653097305462770e+00,2.292731599112626e-02
8.768259961100952e+00,2.305020217484332e-02
8.884955297672384e+00,2.316966477173998e-02
9.003203713376728e+00,2.328565724065018e-02
9.123025877889937e+00,2.339812628371256e-02
9.244442735977316e+00,2.350701822852680e-02
9.367475511154611e+00,2.361228037242631e-02
9.492145709397864e+00,2.371385941255154e-02
9.618475122902632e+00,2.381163935539445e-02
9.746485833893246e+00,2.390576224307079e-02
9.876200218482735e+00,2.399598222786755e-02
1.000764095058416e+01,2.408231264767792e-02
1.014083100587397e+01,2.416470462806699e-02
1.027579366580813e+01,2.424310914026764e-02
1.041255252169172e+01,2.431747771754835e-02
1.055113147880261e+01,2.438776347652852e-02
1.069155476057010e+01,2.445392121110690e-02
1.083384691280916e+01,2.451590508656105e-02
1.097803280801099e+01,2.457367353512417e-02
1.112413764969068e+01,2.462718465204187e-02
1.127218697679282e+01,2.467639944725293e-02
1.142220666815559e+01,2.472127990553310e-02
1.157422294703442e+01,2.476179077403260e-02
1.172826238568576e+01,2.479789912947388e-02
1.188435191001184e+01,2.482957396346439e-02
1.204251880426734e+01,2.485678784348306e-02
1.220279071582860e+01,2.487951569411051e-02
1.236519566002640e+01,2.489773584919184e-02
1.252976202504293e+01,2.491142987696610e-02
1.269651857687408e+01,2.492058306604366e-02
1.286549446435766e+01,2.492518466891187e-02
1.303671922426858e+01,2.492534025684984e-02
1.321022278648188e+01,2.492409326928181e-02
1.338603547920439e+01,2.492281315503800e-02
1.356418803427607e+01,2.492149966268297e-02
1.374471159254193e+01,2.492015155171597e-02
1.392763770929538e+01,2.491876808016139e-02
1.411299835979406e+01,2.491734804914166e-02
1.430082594484909e+01,2.491589009119542e-02
1.449115329648866e+01,2.491439514194267e-02
1.468401368369706e+01,2.491286022687571e-02
1.487944081823007e+01,2.491128503275761e-02
1.507746886050769e+01,2.490966839325933e-02
1.527813242558536e+01,2.490800932455613e-02
1.548146658920460e+01,2.490630663863632e-02
1.568750689392428e+01,2.490455804186153e-02
1.589628935533334e+01,2.490276616441035e-02
1.610785046834630e+01,2.490092600992756e-02
1.632222721358253e+01,2.489903744700655e-02
1.653945706383039e+01,2.489709995089993e-02
1.675957799059750e+01,2.489511069874421e-02
1.698262847074799e+01,2.489306976192584e-02
1.720864749322833e+01,2.489097542725142e-02
1.743767456588247e+01,2.488882596931153e-02
1.766974972235779e+01,2.488662080345909e-02
1.790491352910293e+01,2.488436067102601e-02
1.814320709245877e+01,2.488203527723980e-02
1.838467206584373e+01,2.487965224586805e-02
1.862935065703476e+01,2.487720684378648e-02
1.887728563554524e+01,2.487469760842005e-02
1.912852034010097e+01,2.487212272187389e-02
1.938309868621575e+01,2.486948069187125e-02
1.964106517386779e+01,2.486676963665065e-02
1.990246489527821e+01,2.486398786101073e-02
2.016734354279313e+01,2.486113361094537e-02
2.043574741687061e+01,2.485820427756780e-02
2.070772343417394e+01,2.485519980206495e-02
2.098331913577260e+01,2.485211643840991e-02
2.126258269545236e+01,2.484895329337517e-02
2.154556292813609e+01,2.484570669403176e-02
2.183230929841639e+01,2.484237609680803e-02
2.212287192920208e+01,2.483895926794741e-02
2.241730161047954e+01,2.483545006312011e-02
2.271564980819080e+01,2.483185602164512e-02
2.301796867322965e+01,2.482816553606987e-02
2.332431105055760e+01,2.482437918657011e-02
2.363473048844113e+01,2.482049457190217e-02
2.394928124781178e+01,2.481651295925697e-02
2.426801831175101e+01,2.481242045499078e-02
2.459099739510108e+01,2.480822571716382e-02
2.491827495420394e+01,2.480392236086827e-02
2.524990819676981e+01,2.479950760883130e-02
2.558595509187690e+01,2.479497853703264e-02
2.592647438010444e+01,2.479033239111705e-02
2.627152558380039e+01,2.478556609767363e-02
2.662116901748591e+01,2.478067660409192e-02
2.697546579839821e+01,2.477566366209708e-02
2.733447785717389e+01,2.477051553871851e-02
2.769826794867418e+01,2.476523751770668e-02
2.806689966295452e+01,2.475982297780507e-02
2.844043743637996e+01,2.475426787946124e-02
2.881894656288861e+01,2.474857352773350e-02
2.920249320540491e+01,2.474273031555652e-02
2.959114440740484e+01,2.473673669681772e-02
2.998496810463500e+01,2.473058910843499e-02
3.038403313698771e+01,2.472428358700143e-02
3.078840926053425e+01,2.471781629494745e-02
3.119816715971793e+01,2.471118255486914e-02
3.161337845970976e+01,2.470437902607767e-02
3.203411573892846e+01,2.469740097041579e-02
3.246045254172703e+01,2.469024396660301e-02
3.289246339124822e+01,2.468290442301294e-02
3.333022380245109e+01,2.467537683771119e-02
3.377381029531094e+01,2.466765683476227e-02
3.422330040819485e+01,2.465972680537938e-02
3.467877271141543e+01,2.465161977990120e-02
3.514030682096466e+01,2.464329387691400e-02
3.560798341243070e+01,2.463475535996706e-02
3.608188423509995e+01,2.462599932840312e-02
3.656209212624666e+01,2.461702047281032e-02
3.704869102561282e+01,2.460781398111243e-02
3.754176599008069e+01,2.459837207410318e-02
3.804140320854066e+01,2.458869134728598e-02
3.854769001695692e+01,2.457876492108282e-02
3.906071491363382e+01,2.456858696192747e-02
3.958056757468505e+01,2.455815119602561e-02
4.010733886970904e+01,2.454745145137874e-02
4.064112087767285e+01,2.453648108619606e-02
4.118200690300744e+01,2.452523364317075e-02
4.173009149191716e+01,2.451370252435698e-02
4.228547044890630e+01,2.450188041994248e-02
4.284824085352565e+01,2.448976063173392e-02
4.341850107734180e+01,2.447733601514846e-02
4.399635080113253e+01,2.446459864168556e-02
4.458189103231066e+01,2.445154387471053e-02
4.517522412258016e+01,2.443815685360232e-02
4.577645378582711e+01,2.442443667274054e-02
4.638568511624867e+01,2.441036990521150e-02
4.700302460672353e+01,2.439591282192918e-02
4.762858016742661e+01,2.438118164559916e-02
4.826246114469173e+01,2.436603643310167e-02
4.890477834012515e+01,2.435051419708577e-02
4.955564402997351e+01,2.433460632544729e-02
5.021517198474982e+01,2.431830223598759e-02
5.088347748912003e+01,2.430159252797500e-02
5.156067736205493e+01,2.428446833845615e-02
5.224688997724986e+01,2.426691975990099e-02
5.294223528381627e+01,2.424893786286608e-02
5.364683482724874e+01,2.423050920699747e-02
5.436081177067085e+01,2.421162658036769e-02
5.508429091636422e+01,2.419227847412365e-02
5.581739872758344e+01,2.417245398783732e-02
5.656026335066189e+01,2.415214132167160e-02
5.731301463741156e+01,2.413132973069824e-02
5.807578416782092e+01,2.411000874833551e-02
5.884870527305498e+01,2.408816538395301e-02
5.963191305876141e+01,2.406578732624397e-02
6.042554442868680e+01,2.404286323970239e-02
6.122973810860727e+01,2.401938010984660e-02
6.204463467057775e+01,2.399532546712822e-02
6.287037655750346e+01,2.397069093029470e-02
6.370710810803898e+01,2.394544906677137e-02
6.455497558181844e+01,2.391960077546960e-02
6.541412718502147e+01,2.389312731311076e-02
6.628471309627953e+01,2.386601471054644e-02
6.716688549292685e+01,2.383824872058135e-02
6.806079857760092e+01,2.380981491409670e-02
6.896660860519684e+01,2.378069835294296e-02
6.988447391018070e+01,2.375088374293307e-02
7.081455493426590e+01,2.372037385748802e-02
7.175701425445840e+01,2.368909921535086e-02
7.271201661147492e+01,2.365709825377887e-02
7.367972893853944e+01,2.362433612152789e-02
7.466032039056286e+01,2.359079636052733e-02
7.565396237371111e+01,2.355646244270700e-02
7.666082857536672e+01,2.352131708533533e-02
7.768109499448909e+01,2.348534322011183e-02
7.871493997237923e+01,2.344852307431787e-02
7.976254422385303e+01,2.341083876561363e-02
8.082409086883041e+01,2.337227201454862e-02
8.189976546434434e+01,2.333280451909507e-02
8.298975603697592e+01,2.329243384313743e-02
8.409425311572129e+01,2.325109139493867e-02
8.521344976529578e+01,2.320880683529726e-02
8.634754161988141e+01,2.316554588470731e-02
8.749672691732347e+01,2.312128652100742e-02
8.866120653378248e+01,2.307600950978281e-02
8.984118401884668e+01,2.302969419690439e-02
9.103686563111253e+01,2.298231994547039e-02
9.224846037423841e+01,2.293386559513490e-02
9.347618003347813e+01,2.288430997960172e-02
9.472023921270083e+01,2.283363161330049e-02
9.598085537190339e+01,2.278180848318200e-02
9.725824886522220e+01,2.272881880176583e-02
9.855264297945068e+01,2.267464016885922e-02
9.986426397306994e+01,2.261925013579363e-02
1.011933411157979e+02,2.256262578360033e-02
1.025401067286656e+02,2.250474435216052e-02
1.039047962246269e+02,2.244558261168347e-02
1.052876481497079e+02,2.238511724393403e-02
1.066889042247047e+02,2.232332457525700e-02
1.081088093874363e+02,2.226018101561301e-02
1.095476118355584e+02,2.219566273495390e-02
1.110055630699492e+02,2.212974558831153e-02
1.124829179386708e+02,2.206240563102727e-02
1.139799346815163e+02,2.199361881154123e-02
1.154968749751500e+02,2.192335973919209e-02
1.170340039788482e+02,2.185160519628793e-02
1.185915903808484e+02,2.177833037046916e-02
1.201699064453161e+02,2.170351103152855e-02
1.217692280599359e+02,2.162712209085142e-02
1.233898347841363e+02,2.154913927182482e-02
1.250320098979566e+02,2.146953917185114e-02
1.266960404515641e+02,2.138829656949774e-02
1.283822173154292e+02,2.130538726555114e-02
1.300908352311701e+02,2.122078789125203e-02
1.318221928630729e+02,2.113447383874211e-02
1.335765928502979e+02,2.104642231608710e-02
1.353543418597802e+02,2.095660951240026e-02
1.371557506398351e+02,2.086501221775291e-02
1.389811340744765e+02,2.077160909172128e-02
1.408308112384579e+02,2.067637654512413e-02
1.427051054530463e+02,2.057929477019566e-02
1.446043443425390e+02,2.048033832711757e-02
