# energy,pi_pi_pi0,pi_pi_a,mu_mu
2.633263662475576e-02,3.573587040589546e-08,7.450197545633977e-09,1.694662483409144e-12
2.682318705555524e-02,3.707914059776821e-08,7.730220353354729e-09,1.758335864185222e-12
2.732287594554460e-02,3.847289158807719e-08,8.020765338549339e-09,1.824400584448200e-12
2.783187353499096e-02,3.991901983488901e-08,8.322227727551376e-09,1.892946394112009e-12
2.835035323556569e-02,4.141949300595470e-08,8.635017582978209e-09,1.964066408091490e-12
2.887849168942449e-02,4.297635265047862e-08,8.959560360157464e-09,2.037857232271343e-12
2.941646882938806e-02,4.459171697101380e-08,9.296297484392979e-09,2.114419094179561e-12
2.996446794024389e-02,4.626778369922878e-08,9.645686949849036e-09,2.193855978540428e-12
3.052267572118994e-02,4.800683307943172e-08,1.000820394086074e-08,2.276275767888609e-12
3.109128234944175e-02,4.981123096388158e-08,1.038434147650848e-08,2.361790388432582e-12
3.167048154502433e-02,5.168343202406723e-08,1.077461107932556e-08,2.450515961362638e-12
3.226047063677114e-02,5.362598308229063e-08,1.117954346904063e-08,2.542572959805846e-12
3.286145062955256e-02,5.564152656805237e-08,1.159968928228971e-08,2.638086371637940e-12
3.347362627275678e-02,5.773280410390526e-08,1.203561981926800e-08,2.737185868369748e-12
3.409720613004628e-02,5.990266022561535e-08,1.248792781832708e-08,2.840005980333885e-12
3.473240265041402e-02,6.215404624165079e-08,1.295722825956105e-08,2.946686278405741e-12
3.537943224056314e-02,6.449002423720537e-08,1.344415919846376e-08,3.057371562501452e-12
3.603851533863518e-02,6.691377122815764e-08,1.394938263077954e-08,3.172212057104423e-12
3.670987648931163e-02,6.942858347056770e-08,1.447358538971137e-08,3.291363614081384e-12
3.739374442031470e-02,7.203788093152284e-08,1.501748007669436e-08,3.414987923058418e-12
3.809035212033308e-02,7.474521192735843e-08,1.558180602698616e-08,3.543252729637493e-12
3.879993691839948e-02,7.755425793550596e-08,1.616733031137377e-08,3.676332061744316e-12
3.952274056474684e-02,8.046883858645243e-08,1.677484877534334e-08,3.814406464409004e-12
4.025900931317082e-02,8.349291684253582e-08,1.740518711711018e-08,3.957663243292201e-12
4.100899400492666e-02,8.663060437055278e-08,1.805920200595798e-08,4.106296717280807e-12
4.177295015418889e-02,8.988616711541327e-08,1.873778224238987e-08,4.260508480489252e-12
4.255113803510310e-02,9.326403108234600e-08,1.944184996164980e-08,4.420507674014844e-12
4.334382277045939e-02,9.676878833543805e-08,2.017236188223061e-08,4.586511267808242e-12
4.415127442201774e-02,1.004052032205804e-07,2.093031060104506e-08,4.758744353033604e-12
4.497376808251603e-02,1.041782188211925e-07,2.171672593699804e-08,4.937440445306551e-12
4.581158396939206e-02,1.080929636554075e-07,2.253267632476308e-08,5.122841799212399e-12
4.666500752025155e-02,1.121547586237266e-07,2.337927026063252e-08,5.315199734521861e-12
4.753432949011459e-02,1.163691242164798e-07,2.425765780238061e-08,5.514774974536663e-12
4.841984605047370e-02,1.207417879907824e-07,2.516903212514988e-08,5.721837997013467e-12
4.932185889019725e-02,1.252786923270323e-07,2.611463113544638e-08,5.936669398130727e-12
5.024067531831258e-02,1.299860024753692e-07,2.709573914540574e-08,6.159560269980365e-12
5.117660836870394e-02,1.348701149028990e-07,2.811368860957300e-08,6.390812592083496e-12
5.212997690676072e-02,1.399376659528927e-07,2.916986192652087e-08,6.630739637447898e-12
5.310110573801256e-02,1.451955408275808e-07,3.026569330771833e-08,6.879666393703699e-12
5.409032571878811e-02,1.506508829065960e-07,3.140267071614989e-08,7.137929999873451e-12
5.509797386893538e-02,1.563111034135645e-07,3.258233787727822e-08,7.405880199352917e-12
5.612439348664183e-02,1.621838914438086e-07,3.380629636503915e-08,7.683879809700089e-12
5.716993426539346e-02,1.682772243666024e-07,3.507620776565668e-08,7.972305209851505e-12
5.823495241311290e-02,1.745993786159245e-07,3.639379592216949e-08,8.271546845407781e-12
5.931981077351663e-02,1.811589408841581e-07,3.776084926266569e-08,8.582009752653259e-12
6.042487894973318e-02,1.879648197337377e-07,3.917922321533495e-08,8.904114101999243e-12
6.155053343022418e-02,1.950262576422829e-07,4.065084271356017e-08,9.238295761565105e-12
6.269715771705114e-02,2.023528434973422e-07,4.217770479439068e-08,9.585006881637522e-12
6.386514245653173e-02,2.099545255574643e-07,4.376188129386156e-08,9.944716500775116e-12
6.505488557233004e-02,2.178416248969311e-07,4.540552164275152e-08,1.031791117435336e-11
6.626679240102623e-02,2.260248493521277e-07,4.711085576650416e-08,1.070509562637373e-11
6.750127583021169e-02,2.345153079881883e-07,4.888019709317419e-08,1.110679342539058e-11
6.875875643915666e-02,2.433245261052454e-07,5.071594567340238e-08,1.152354768544045e-11
7.003966264209856e-02,2.524644608043231e-07,5.262059141657072e-08,1.195592179289024e-11
7.134443083419942e-02,2.619475171336521e-07,5.459671744744088e-08,1.240450016015393e-11
7.267350554022250e-02,2.717865648369569e-07,5.664700358773829e-08,1.286988900726180e-11
7.402733956597855e-02,2.819949557260491e-07,5.877422996730703e-08,1.335271717230155e-11
7.540639415259334e-02,2.925865417008971e-07,6.098128076963124e-08,1.385363695178760e-11
7.681113913364906e-02,3.035756934411826e-07,6.327114811669438e-08,1.437332497205263e-11
7.824205309525316e-02,3.149773197942507e-07,6.564693609832984e-08,1.491248309279507e-11
7.969962353908895e-02,3.268068878852642e-07,6.811186495140574e-08,1.547183934395684e-11
8.118434704850386e-02,3.390804439763374e-07,7.066927539438197e-08,1.605214889714781e-11
8.269672945769177e-02,3.518146351023945e-07,7.332263312298113e-08,1.665419507287726e-11
8.423728602402668e-02,3.650267315125240e-07,7.607553347292336e-08,1.727879038489744e-11
8.580654160360722e-02,3.787346499466638e-07,7.893170625589532e-08,1.792677762301149e-11
8.740503083007120e-02,3.929569777785342e-07,8.189502077514735e-08,1.859903097574622e-11
8.903329829674120e-02,4.077129980568817e-07,8.496949102734570e-08,1.929645719433984e-11
9.069189874216355e-02,4.230227154782663e-07,8.815928109755168e-08,2.001999679954746e-11
9.238139723910350e-02,4.389068833258491e-07,9.146871075444721e-08,2.077062533281962e-11
9.410236938706137e-02,4.553870314098936e-07,9.490226125318740e-08,2.154935465346546e-11
9.585540150837492e-02,4.724854950470089e-07,9.846458135353018e-08,2.235723428346895e-11
9.764109084797504e-02,4.902254451165140e-07,1.021604935611706e-07,2.319535280168601e-11
9.946004577686263e-02,5.086309192337072e-07,1.059950006004969e-07,2.406483928921167e-11
1.013128859993760e-01,5.277268540812844e-07,1.099732921272828e-07,2.496686482776992e-11
1.032002427643195e-01,5.475391189416517e-07,1.141007516901437e-07,2.590264405304441e-11
1.051227590800254e-01,5.680945504744429e-07,1.183829639499004e-07,2.687343676493600e-11
1.070810899334218e-01,5.894209887851679e-07,1.228257221663282e-07,2.788054959680305e-11
1.090759025131820e-01,6.115473148325999e-07,1.274350359621150e-07,2.892533774581356e-11
1.111078764370306e-01,6.345034892242355e-07,1.322171393742048e-07,3.000920676661224e-11
1.131777039832840e-01,6.583205924509698e-07,1.371784992030732e-07,3.113361443058391e-11
1.152860903267047e-01,6.830308666139839e-07,1.423258236708630e-07,3.230007265307404e-11
1.174337537787491e-01,7.086677586987798e-07,1.476660713997045e-07,3.351014949101085e-11
1.196214260322904e-01,7.352659654532815e-07,1.532064607219515e-07,3.476547121345791e-11
1.218498524109016e-01,7.628614799290116e-07,1.589544793344917e-07,3.606772444771557e-11
1.241197921227808e-01,7.914916397464733e-07,1.649178943097241e-07,3.741865840368000e-11
1.264320185194088e-01,8.211951771481068e-07,1.711047624762549e-07,3.882008717926409e-11
1.287873193590230e-01,8.520122709044694e-07,1.775234411828285e-07,4.027389214978058e-11
1.311864970750017e-01,8.839846001416906e-07,1.841825994595026e-07,4.178202444428971e-11
1.336303690492466e-01,9.171554001606912e-07,1.910912295905735e-07,4.334650751201724e-11
1.361197678906590e-01,9.515695203212349e-07,1.982586591142830e-07,4.496943978205585e-11
1.386555417188033e-01,9.872734840665033e-07,2.056945632648794e-07,4.665299741967445e-11
1.412385544528547e-01,1.024315551166622e-06,2.134089778731546e-07,4.839943718267377e-11
1.438696861059307e-01,1.062745782262418e-06,2.214123127421718e-07,5.021109938134586e-11
1.465498330849044e-01,1.102616105793593e-06,2.297153655154770e-07,5.209041094571598e-11
1.492799084958036e-01,1.143980387398542e-06,2.383293360557257e-07,5.403988860387232e-11
1.520608424548998e-01,1.186894501876212e-06,2.472658413522810e-07,5.606214217531863e-11
1.548935824055910e-01,1.231416407803594e-06,2.565369309770069e-07,5.815987798341937e-11
1.577790934411895e-01,1.277606224905878e-06,2.661551031081708e-07,6.033590239114448e-11
1.607183586337211e-01,1.325526314279711e-06,2.761333211430650e-07,6.259312546446494e-11
1.637123793688509e-01,1.375241361573667e-06,2.864850309207033e-07,6.493456476789712e-11
1.667621756870478e-01,1.426818463233726e-06,2.972241785766975e-07,6.736334929684523e-11
1.698687866311046e-01,1.480327215925439e-06,3.083652290532066e-07,6.988272355154888e-11
1.730332706001324e-01,1.535839809248453e-06,3.199231852876617e-07,7.249605175760341e-11
1.762567057101486e-01,1.593431121863188e-06,3.319136081048058e-07,7.520682223818793e-11
1.795401901613838e-01,1.653178821153764e-06,3.443526368374582e-07,7.801865194330663e-11
1.828848426124295e-01,1.715163466555658e-06,3.572570107023067e-07,8.093529114152702e-11
1.862918025613577e-01,1.779468616681195e-06,3.706440909579567e-07,8.396062827987903e-11
1.897622307339385e-01,1.846180940380685e-06,3.845318838734275e-07,8.709869501776995e-11
1.932973094790912e-01,1.915390331881909e-06,3.989390645362721e-07,9.035367144095835e-11
1.968982431717015e-01,1.987190030155759e-06,4.138850015305241e-07,9.372989146183464e-11
2.005662586229432e-01,2.061676742661035e-06,4.293897825157305e-07,9.723184841245737e-11
2.043026054982435e-01,2.138950773626837e-06,4.454742407394187e-07,1.008642008370053e-10
2.081085567430345e-01,2.219116157036610e-06,4.621599825164870e-07,1.046317784905246e-10
2.119854090164365e-01,2.302280794483665e-06,4.794694157101577e-07,1.085395885510718e-10
2.159344831330198e-01,2.388556598074007e-06,4.974257792503553e-07,1.125928220525830e-10
2.199571245127965e-01,2.478059638558478e-06,5.160531737266006e-07,1.167968605460367e-10
2.240547036395949e-01,2.570910298882654e-06,5.353765930938120e-07,1.211572829967202e-10
2.282286165279732e-01,2.667233433349509e-06,5.554219575307232e-07,1.256798729256593e-10
2.324802851988314e-01,2.767158532596743e-06,5.762161474920061e-07,1.303706258035256e-10
2.368111581638826e-01,2.870819894597699e-06,5.977870389965957e-07,1.352357567056031e-10
2.412227109191507e-01,2.978356801902132e-06,6.201635401961864e-07,1.402817082366614e-10
2.457164464476607e-01,3.089913705340615e-06,6.433756292693683e-07,1.455151587348650e-10
2.502938957314934e-01,3.205640414424179e-06,6.674543936884371e-07,1.509430307641293e-10
2.549566182733802e-01,3.325692294678841e-06,6.924320709075194e-07,1.565724999046307e-10
2.597062026280135e-01,3.450230472162973e-06,7.183420905223056e-07,1.624110038514725e-10
2.645442669432556e-01,3.579422045424096e-06,7.452191179534112e-07,1.684662518318221e-10
2.694724595114296e-01,3.713440305160543e-06,7.730990997071375e-07,1.747462343511456e-10
2.744924593308800e-01,3.852464961862575e-06,8.020193102692318e-07,1.812592332794894e-10
