# energy,pi_pi_eta,pi_rho
4.628193151550052e-02,2.086024487030177e-07,1.681307610634157e-10
4.714411716620809e-02,2.164408270496280e-07,1.744490447361437e-10
4.802236446499179e-02,2.245736192804548e-07,1.810046840867187e-10
4.891697262413695e-02,2.330118769943996e-07,1.878065910162752e-10
4.982824642995164e-02,2.417670662563187e-07,1.948640117688344e-10
5.075649634660510e-02,2.508510831187074e-07,2.021865394593364e-10
5.170203862190052e-02,2.602762697234177e-07,2.097841270702288e-10
5.266519539501836e-02,2.700554310050083e-07,2.176671009340876e-10
5.364629480626672e-02,2.802018520181362e-07,2.258461747203957e-10
5.464567110887630e-02,2.907293159122204e-07,2.343324639452717e-10
5.566366478287796e-02,3.016521225774737e-07,2.431375010236453e-10
5.670062265110175e-02,3.129851079872900e-07,2.522732508840953e-10
5.775689799733683e-02,3.247436642628961e-07,2.617521271673162e-10
5.883285068669264e-02,3.369437604871403e-07,2.715870090299589e-10
5.992884728820216e-02,3.496019642952817e-07,2.817912585763951e-10
6.104526119970945e-02,3.627354642716750e-07,2.923787389417936e-10
6.218247277508324e-02,3.763620931823098e-07,3.033638330507565e-10
6.334086945380081e-02,3.905003520742791e-07,3.147614630766726e-10
6.452084589294570e-02,4.051694352743920e-07,3.265871106278654e-10
6.572280410166437e-02,4.203892563203374e-07,3.388568376875881e-10
6.694715357812779e-02,4.361804748590405e-07,3.515873083359088e-10
6.819431144904432e-02,4.525645245481279e-07,3.647958112825811e-10
6.946470261177176e-02,4.695636419977503e-07,3.785002832410549e-10
7.075875987907657e-02,4.872008967913724e-07,3.927193331749085e-10
7.207692412659007e-02,5.055002226255781e-07,4.074722674491379e-10
7.341964444301141e-02,5.244864496103992e-07,4.227791159199325e-10
7.478737828310869e-02,5.441853377732181e-07,4.386606589978121e-10
7.618059162357048e-02,5.646236118108702e-07,4.551384557202933e-10
7.759975912176051e-02,5.858289971362207e-07,4.722348728715716e-10
7.904536427742988e-02,6.078302572671844e-07,4.899731151881102e-10
8.051789959744189e-02,6.306572326079346e-07,5.083772566904462e-10
8.201786676356537e-02,6.543408806738576e-07,5.274722731830146e-10
8.354577680339391e-02,6.789133178137171e-07,5.472840759653320e-10
8.510215026444919e-02,7.044078624844562e-07,5.678395467994822e-10
8.668751739152754e-02,7.308590801360814e-07,5.891665741804914e-10
8.830241830735049e-02,7.583028297662092e-07,6.112940909579072e-10
8.994740319658039e-02,7.867763122060079e-07,6.342521133586627e-10
9.162303249326446e-02,8.163181202015645e-07,6.580717814631607e-10
9.332987707177018e-02,8.469682903570099e-07,6.827854011884035e-10
9.506851844127807e-02,8.787683570082119e-07,7.084264878340013e-10
9.683954894389754e-02,9.117614080983231e-07,7.350298112489096e-10
9.864357195647334e-02,9.459921431290995e-07,7.626314426788939e-10
1.004812020961516e-01,9.815069332645971e-07,7.912688033569138e-10
1.023530654297753e-01,1.018353883666663e-06,8.209807149008963e-10
1.042597996871805e-01,1.056582898144523e-06,8.518074515857361e-10
1.062020544784660e-01,1.096245746203787e-06,8.837907945588134e-10
1.081804915153111e-01,1.137396132583278e-06,9.169740880708431e-10
1.101957848364154e-01,1.180089769371355e-06,9.514022977965171e-10
1.122486210371386e-01,1.224384450796688e-06,9.871220713221102e-10
1.143396995034191e-01,1.270340130791942e-06,1.024181800880047e-09
1.164697326500488e-01,1.318019003432383e-06,1.062631688413362e-09
1.186394461633880e-01,1.367485586355130e-06,1.102523813055980e-09
1.208495792486008e-01,1.418806807268635e-06,1.143912201117931e-09
1.231008848814976e-01,1.472052093665924e-06,1.186852898667821e-09
1.253941300650674e-01,1.527293465859262e-06,1.231404046808261e-09
1.277300960907907e-01,1.584605633458180e-06,1.277625959743459e-09
1.301095788048190e-01,1.644066095417204e-06,1.325581205741754e-09
1.325333888791144e-01,1.705755243784196e-06,1.375334691099669e-09
1.350023520876388e-01,1.769756471284962e-06,1.426953747217859e-09
1.375173095876893e-01,1.836156282884682e-06,1.480508220903424e-09
1.400791182064740e-01,1.905044411471780e-06,1.536070568017146e-09
1.426886507330268e-01,1.976513937815113e-06,1.593715950588550e-09
1.453467962155600e-01,2.050661414950805e-06,1.653522337526133e-09
1.480544602643563e-01,2.127586997160659e-06,1.715570609054715e-09
1.508125653603034e-01,2.207394573709913e-06,1.779944665016666e-09
1.536220511691768e-01,2.290191907518167e-06,1.846731537178669e-09
1.564838748617763e-01,2.376090778943498e-06,1.916021505690850e-09
1.593990114400272e-01,2.465207134866265e-06,1.987908219850379e-09
1.623684540691563e-01,2.557661243265816e-06,2.062488823327126e-09
1.653932144160556e-01,2.653577853490161e-06,2.139864084014680e-09
1.684743229939499e-01,2.753086362425913e-06,2.220138528675891e-09
1.716128295134844e-01,2.856320986783119e-06,2.303420582558175e-09
1.748098032403544e-01,2.963420941717349e-06,2.389822714160184e-09
1.780663333595947e-01,3.074530626019264e-06,2.479461585337867e-09
