# energy,pi_pi_pi0,pi_e_ve,pi_mu_vm,pi_pi
2.487993956432261e-02,7.874405526022794e-09,1.661049364527770e-08,2.146085768809666e-08,1.834176800215748e-10
2.534342771575479e-02,8.170453512688059e-09,1.723491401946731e-08,2.226763688634493e-08,1.903125086883632e-10
2.581555018343853e-02,8.477630450510756e-09,1.788280334705249e-08,2.310474041267449e-08,1.974664696748947e-10
2.629646781596704e-02,8.796354619640668e-09,1.855504347323452e-08,2.397330778168091e-08,2.048892992394836e-10
2.678634445838043e-02,9.127060016891687e-09,1.925254936486754e-08,2.487452131203856e-08,2.125910992933732e-10
2.728534700798645e-02,9.470196946040265e-09,1.997627035371279e-08,2.580960773345065e-08,2.205823511238348e-10
2.779364547122114e-02,9.826232630280661e-09,2.072719142631539e-08,2.677983985387513e-08,2.288739296317709e-10
2.831141302156882e-02,1.019565184766785e-08,2.150633456224938e-08,2.778653828928425e-08,2.374771181030825e-10
2.883882605856095e-02,1.057895759040998e-08,2.231476012254200e-08,2.883107325830012e-08,2.464036235337764e-10
2.937606426787412e-02,1.097667174890477e-08,2.315356829015610e-08,2.991486644413632e-08,2.556655925295416e-10
2.992331068254766e-02,1.138933582144730e-08,2.402390056447942e-08,3.103939292636598e-08,2.652756278012893e-10
3.048075174534159e-02,1.181751165057194e-08,2.492694131184262e-08,3.220618318513162e-08,2.752468052789599e-10
3.104857737225631e-02,1.226178218702663e-08,2.586391937416295e-08,3.341682518050893e-08,2.855926918667281e-10
3.162698101723550e-02,1.272275228241548e-08,2.683610973788930e-08,3.467296650983902e-08,2.963273638636052e-10
3.221615973807448e-02,1.320104951158418e-08,2.784483526550529e-08,3.597631664594765e-08,3.074654260743273e-10
3.281631426355636e-02,1.369732502586325e-08,2.889146849193129e-08,3.732864925928028e-08,3.190220316363551e-10
3.342764906183875e-02,1.421225443832532e-08,2.997743348825368e-08,3.873180462709325e-08,3.310129025897601e-10
3.405037241011458e-02,1.474653874225657e-08,3.110420779530045e-08,4.018769213296067e-08,3.434543512177919e-10
3.468469646557059e-02,1.530090526408675e-08,3.227332442967592e-08,4.169829285997660e-08,3.563633021869324e-10
3.533083733766765e-02,1.587610865206924e-08,3.348637396496507e-08,4.326566228115894e-08,3.697573155163409e-10
3.598901516176770e-02,1.647293190205046e-08,3.474500669091910e-08,4.489193305069272e-08,3.836546104076895e-10
3.665945417413219e-02,1.709218742171847e-08,3.605093485353850e-08,4.657931789978568e-08,3.980740899675582e-10
3.734238278831767e-02,1.773471813477225e-08,3.740593497907862e-08,4.833011264104963e-08,4.130353668557440e-10
3.803803367299462e-02,1.840139862650711e-08,3.881185028511622e-08,5.014669928546829e-08,4.285587898940973e-10
3.874664383121593e-02,1.909313633236786e-08,4.027059318193127e-08,5.203154927616224e-08,4.446654716717724e-10
3.946845468116204e-02,1.981087277107890e-08,4.178414786758077e-08,5.398722684332001e-08,4.613773171841272e-10
4.020371213839030e-02,2.055558482402088e-08,4.335457302016614e-08,5.601639248482621e-08,4.787170535438834e-10
4.095266669961660e-02,2.132828606258609e-08,4.498400459092734e-08,5.812180657728760e-08,4.967082608046113e-10
4.171557352805770e-02,2.213002812530902e-08,4.667465870193103e-08,6.030633312233226e-08,5.153754039380748e-10
4.249269254036343e-02,2.296190214663599e-08,4.842883465226134e-08,6.257294363323960e-08,5.347438660085368e-10
4.328428849516837e-02,2.382504023926742e-08,5.024891803676674e-08,6.492472116714683e-08,5.548399825887149e-10
4.409063108329310e-02,2.472061703207837e-08,5.213738398156804e-08,6.736486450827349e-08,5.756910774637494e-10
4.491199501962588e-02,2.564985126569793e-08,5.409680050068840e-08,6.989669250780789e-08,5.973254996712644e-10
4.574866013671595e-02,2.661400744790580e-08,5.612983197832899e-08,7.252364858631027e-08,6.197726619273916e-10
4.660091148011036e-02,2.761439757108504e-08,5.823924278148242e-08,7.524930540470441e-08,6.430630804904852e-10
4.746903940546688e-02,2.865238289405341e-08,6.042790100774968e-08,7.807736971015714e-08,6.672284165161711e-10
4.835333967747599e-02,2.972937579068255e-08,6.269878237340898e-08,8.101168736337796e-08,6.923015189593736e-10
4.925411357062575e-02,3.084684166780433e-08,6.505497424697090e-08,8.405624855411593e-08,7.183164690810324e-10
5.017166797184367e-02,3.200630095499627e-08,6.749967983364952e-08,8.721519321188103e-08,7.453086266193448e-10
5.110631548505085e-02,3.320933116893593e-08,7.003622251638201e-08,9.049281661918162e-08,7.733146776876362e-10
5.205837453766378e-02,3.445756905511316e-08,7.266805035923670e-08,9.389357523483782e-08,8.023726844632114e-10
5.302816948908021e-02,3.575271280979415e-08,7.539874077926812e-08,9.742209273521402e-08,8.325221367339708e-10
5.401603074118592e-02,3.709652438523844e-08,7.823200539310160e-08,1.010831662815043e-07,8.638040053720304e-10
5.502229485092022e-02,3.849083188128282e-08,8.117169504476408e-08,1.048817730215075e-07,8.962607978061733e-10
5.604730464493833e-02,3.993753202652104e-08,8.422180502151929e-08,1.088230768346420e-07,9.299366155675948e-10
5.709140933640992e-02,4.143859275242986e-08,8.738648046471623e-08,1.129124353292754e-07,9.648772139861981e-10
5.815496464399336e-02,4.299605586391579e-08,9.067002198292060e-08,1.171554071017818e-07,1.001130064117538e-09
5.923833291302646e-02,4.461203980988715e-08,9.407689147486778e-08,1.215577592670881e-07,1.038744416983483e-09
6.034188323897479e-02,4.628874255758989e-08,9.761171817005606e-08,1.261254752708363e-07,1.077771370212757e-09
6.146599159317973e-02,4.802844457458522e-08,1.012793048950890e-07,1.308647629936584e-07,1.118263937170694e-09
6.261104095094912e-02,4.983351192239141e-08,1.050846345741753e-07,1.357820631584589e-07,1.160277118670855e-09
