# energy,pi_pi0
5.109989461000004e-01,2.990942979178834e-05
5.177997474297205e-01,3.070054040537230e-05
5.246910595111344e-01,3.151243166402055e-05
5.316740869370211e-01,3.234564350883921e-05
5.387500503318877e-01,3.320072966589892e-05
5.459201865653328e-01,3.407825798797993e-05
5.531857489682500e-01,3.497881080435692e-05
5.605480075519090e-01,3.590298527879342e-05
5.680082492299514e-01,3.685139377591867e-05
5.755677780433416e-01,3.782466423616294e-05
5.832279153883121e-01,3.882344055942953e-05
5.909900002473413e-01,3.984838299768432e-05
5.988553894232063e-01,4.090016855664718e-05
6.068254577761502e-01,4.197949140677127e-05
6.149015984642063e-01,4.308706330369982e-05
6.230852231867199e-01,4.422361401839182e-05
6.313777624311118e-01,4.538989177711147e-05
6.397806657229257e-01,4.658666371147821e-05
6.482954018792038e-01,4.781471631877727e-05
6.569234592652334e-01,4.907485593273222e-05
6.656663460547122e-01,5.036790920494499e-05
6.745255904933746e-01,5.169472359720988e-05
6.835027411661272e-01,5.305616788491092e-05
6.925993672677400e-01,5.445313267171463e-05
7.018170588771390e-01,5.588653091577169e-05
7.111574272353504e-01,5.735729846764384e-05
7.206221050271436e-01,5.886639462017429e-05
7.302127466664224e-01,6.041480267052091e-05
7.399310285854144e-01,6.200353049457508e-05
7.497786495277088e-01,6.363361113398943e-05
7.597573308451960e-01,6.530610339603964e-05
7.698688167989565e-01,6.702209246654718e-05
7.801148748641560e-01,6.878269053609095e-05
7.904972960389978e-01,7.058903743973755e-05
8.010178951577874e-01,7.244230131051974e-05
8.116785112081629e-01,7.434367924689476e-05
8.224810076525477e-01,7.629439799441412e-05
8.334272727538817e-01,7.829571464183671e-05
8.445192199056873e-01,8.034891733191854e-05
8.557587879665278e-01,8.245532598710991e-05
8.671479415989179e-01,8.461629305039407e-05
8.786886716127443e-01,8.683320424149702e-05
8.903829953132563e-01,8.910747932870024e-05
9.022329568536888e-01,9.144057291648597e-05
9.142406275925772e-01,9.383397524924198e-05
9.264081064558289e-01,9.628921303125351e-05
9.387375203036126e-01,9.880785026320529e-05
9.512310243021307e-01,1.013914890954156e-04
9.638908023003399e-01,1.040417706980208e-04
9.767190672116851e-01,1.067603761483249e-04
9.897180614009142e-01,1.095490273355264e-04
1.002890057076040e+00,1.124094878830267e-04
1.016237356685521e+00,1.153435640885248e-04
1.029762293320725e+00,1.183531058820924e-04
1.043467231123748e+00,1.214400078024198e-04
1.057354565700671e+00,1.246062099914172e-04
1.071426724540301e+00,1.278536992073457e-04
1.085686167438497e+00,1.311845098566481e-04
1.100135386928138e+00,1.346007250446362e-04
1.114776908714817e+00,1.381044776451868e-04
1.129613292118326e+00,1.416979513895838e-04
1.144647130520029e+00,1.453833819746356e-04
1.159881051816175e+00,1.491630581901827e-04
1.175317718877255e+00,1.530393230660999e-04
1.190959830013468e+00,1.570145750388785e-04
1.206810119446381e+00,1.610912691378673e-04
1.222871357786870e+00,1.652719181912234e-04
1.239146352519414e+00,1.695590940516184e-04
1.255637948492848e+00,1.739554288417160e-04
1.272349028417632e+00,1.784636162194267e-04
1.289282513369746e+00,1.830864126629144e-04
1.306441363301295e+00,1.878266387753174e-04
1.323828577557901e+00,1.926871806091112e-04
1.341447195402987e+00,1.976709910100226e-04
1.359300296549032e+00,2.027810909803742e-04
1.377391001695908e+00,2.080205710617073e-04
1.395722473076369e+00,2.133925927365048e-04
1.414297915008808e+00,2.189003898487954e-04
1.433120574457365e+00,2.245472700433948e-04
1.452193741599497e+00,2.303366162234913e-04
1.471520750401093e+00,2.362718880262536e-04
1.491104979199248e+00,2.423566233160927e-04
1.510949851292792e+00,2.485944396951602e-04
1.531058835540680e+00,2.549890360306314e-04
1.551435446968342e+00,2.615441939982576e-04
1.572083247382108e+00,2.682637796416291e-04
1.593005845991801e+00,2.751517449465328e-04
1.614206900041632e+00,2.822121294297275e-04
1.635690115449474e+00,2.894490617413997e-04
1.657459247454654e+00,2.968667612804987e-04
1.679518101274365e+00,3.044695398220802e-04
1.701870532768813e+00,3.122618031557127e-04
1.724520449115217e+00,3.202480527339290e-04
1.747471809490776e+00,3.284328873296195e-04
1.770728625764733e+00,3.368210047011856e-04
1.794294963199639e+00,3.454172032641724e-04
1.818174941161962e+00,3.542263837680175e-04
1.842372733842141e+00,3.632535509764428e-04
1.866892570984235e+00,3.725038153499193e-04
1.891738738625272e+00,3.819823947285229e-04
1.916915579844447e+00,3.916946160133789e-04
1.942427495522285e+00,4.016459168447842e-04
1.968278945109908e+00,4.118418472749508e-04
1.994474447408545e+00,4.222880714331990e-04
2.021018581359408e+00,4.329903691812729e-04
2.047915986844093e+00,4.439546377563090e-04
2.075171365495615e+00,4.551868933988386e-04
2.102789481520257e+00,4.666932729630274e-04
2.130775162530341e+00,4.784800355062005e-04
2.159133300388095e+00,4.905535638545098e-04
2.187868852060737e+00,5.029203661414177e-04
2.216986840486952e+00,5.155870773154675e-04
2.246492355454893e+00,5.285604606136173e-04
2.276390554491870e+00,5.418474089961722e-04
2.306686663765882e+00,5.554549465391461e-04
2.337385978999140e+00,5.693902297796327e-04
2.368493866393755e+00,5.836605490095069e-04
2.400015763569748e+00,5.982733295125390e-04
2.431957180515527e+00,6.132361327396958e-04
2.464323700551041e+00,6.285566574171453e-04
2.497120981303727e+00,6.442427405811538e-04
2.530354755697458e+00,6.603023585337628e-04
2.564030832954658e+00,6.767436277127967e-04
2.598155099611733e+00,6.935748054693989e-04
2.632733520548046e+00,7.108042907459383e-04
2.667772140028560e+00,7.284406246467386e-04
2.703277082760371e+00,7.464924908936948e-04
2.739254554963299e+00,7.649687161584022e-04
2.775710845454729e+00,7.838782702620185e-04
2.812652326748886e+00,8.032302662335819e-04
2.850085456170743e+00,8.230339602170671e-04
2.888016776984756e+00,8.432987512169332e-04
2.926452919538616e+00,8.640341806713997e-04
2.965400602422225e+00,8.852499318421537e-04
3.004866633642099e+00,9.069558290085852e-04
3.044857911811400e+00,9.291618364540872e-04
3.085381427355800e+00,9.518780572312864e-04
3.126444263735405e+00,9.751147316924641e-04
3.168053598682930e+00,9.988822357706790e-04
3.210216705458361e+00,1.023191078996452e-03
3.252940954120311e+00,1.048051902234068e-03
3.296233812814295e+00,1.073475475120800e-03
3.340102849078156e+00,1.099472693191525e-03
3.384555731164858e+00,1.126054574670348e-03
3.429600229382890e+00,1.153232256909965e-03
3.475244217454503e+00,1.181016992458535e-03
3.521495673892030e+00,1.209420144732884e-03
