# energy,pi_pi_pi0,pi_pi,mu_mu
3.784533544472523e-02,3.985730498926880e-07,1.036274677453238e-08,6.368467723765793e-11
3.855035582953194e-02,4.135474994749672e-07,1.075188363231731e-08,6.607525020214189e-11
3.926851003220953e-02,4.290842722626135e-07,1.115562242256524e-08,6.855547642784532e-11
4.000004272252298e-02,4.452044693804368e-07,1.157451045399537e-08,7.112871341932106e-11
4.074520312818794e-02,4.619299828965358e-07,1.200911551455700e-08,7.379844414829534e-11
4.150424511978076e-02,4.792835254197031e-07,1.246002663572569e-08,7.656828172677930e-11
4.227742729723028e-02,4.972886608015265e-07,1.292785488520883e-08,7.944197425334660e-11
4.306501307792087e-02,5.159698359842565e-07,1.341323418911057e-08,8.242340983894202e-11
4.386727078643680e-02,5.353524140370252e-07,1.391682218464358e-08,8.551662181881875e-11
4.468447374597840e-02,5.554627084245756e-07,1.443930110451554e-08,8.872579415743956e-11
4.551690037148123e-02,5.763280185542922e-07,1.498137869415902e-08,9.205526705342658e-11
4.636483426446997e-02,5.979766666490112e-07,1.554378916301627e-08,9.550954275189917e-11
4.722856430967931e-02,6.204380359948423e-07,1.612729417113476e-08,9.909329157180700e-11
4.810838477347492e-02,6.437426106150529e-07,1.673268385237494e-08,1.028113581561391e-10
4.900459540410766e-02,6.679220164229349e-07,1.736077787557910e-08,1.066687679531741e-10
4.991750153383564e-02,6.930090639085468e-07,1.801242654509962e-08,1.106707339372333e-10
5.084741418294864e-02,7.190377924162245e-07,1.868851194213548e-08,1.148226635777026e-10
5.179465016573038e-02,7.460435160718583e-07,1.938994910837902e-08,1.191301660654044e-10
5.275953219839477e-02,7.740628714211123e-07,2.011768727352886e-08,1.235990598057287e-10
5.374238900903295e-02,8.031338668419969e-07,2.087271112828238e-08,1.282353801882716e-10
5.474355544960843e-02,8.332959337975532e-07,2.165604214447884e-08,1.330453876430778e-10
5.576337261003869e-02,8.645899799968172e-07,2.246873994412543e-08,1.380355759939487e-10
5.680218793440198e-02,8.970584445347373e-07,2.331190371910111e-08,1.432126811196509e-10
5.786035533930886e-02,9.307453550843168e-07,2.418667370339822e-08,1.485836899342506e-10
5.893823533447900e-02,9.656963872169404e-07,2.509423269982902e-08,1.541558496981986e-10
6.003619514556411e-02,1.001958925929639e-06,2.603580766319426e-08,1.599366776722086e-10
6.115460883925898e-02,1.039582129460915e-06,2.701267134198296e-08,1.659339711264010e-10
6.229385745074321e-02,1.078616995479772e-06,2.802614398074725e-08,1.721558177176298e-10
6.345432911349706e-02,1.119116429735675e-06,2.907759508537351e-08,1.786106062483693e-10
6.463641919153559e-02,1.161135317260376e-06,3.016844525355131e-08,1.853070378210182e-10
6.584053041410624e-02,1.204730596215880e-06,3.130016807282439e-08,1.922541374019641e-10
6.706707301289569e-02,1.249961334486282e-06,3.247429208869351e-08,1.994612658102697e-10
6.831646486179267e-02,1.296888809114757e-06,3.369240284533071e-08,2.069381321463621e-10
6.958913161925455e-02,1.345576588690695e-06,3.495614500155499e-08,2.146948066766575e-10
7.088550687332591e-02,1.396090618795821e-06,3.626722452481624e-08,2.227417341906115e-10
7.220603228935883e-02,1.448499310622101e-06,3.762741096603126e-08,2.310897478472768e-10
7.355115776048489e-02,1.502873632878338e-06,3.903853981821879e-08,2.397500835290424e-10
7.492134156089043e-02,1.559287207106649e-06,4.050251496198470e-08,2.487343947208619e-10
7.631705050194718e-02,1.617816406534417e-06,4.202131120101896e-08,2.580547679339172e-10
7.773876009125127e-02,1.678540458591876e-06,4.359697689087773e-08,2.677237386933291e-10
7.918695469462529e-02,1.741541551230243e-06,4.523163666444135e-08,2.777543081102227e-10
8.066212770113798e-02,1.806904943180198e-06,4.692749425755948e-08,2.881599600591549e-10
8.216478169119819e-02,1.874719078295602e-06,4.868683543851991e-08,2.989546789826606e-10
8.369542860778040e-02,1.945075704132616e-06,5.051203104510688e-08,3.101529683454223e-10
8.525458993083967e-02,2.018069994919797e-06,5.240554013314760e-08,3.217698697613614e-10
8.684279685497613e-02,2.093800679080431e-06,5.436991324058561e-08,3.338209828177574e-10
8.846059047040886e-02,2.172370171474189e-06,5.640779577126091e-08,3.463224856213378e-10
9.010852194732140e-02,2.253884710531217e-06,5.852193150272585e-08,3.592911560921562e-10
9.178715272364127e-02,2.338454500458093e-06,6.071516622257819e-08,3.727443940319549e-10
9.349705469631762e-02,2.426193858701492e-06,6.299045149795068e-08,3.867002439946479e-10
9.523881041616235e-02,2.517221368862192e-06,6.535084858296097e-08,4.011774189875070e-10
9.701301328632068e-02,2.611660039258948e-06,6.779953246909315e-08,4.161953250326140e-10
9.882026776443929e-02,2.709637467348989e-06,7.033979608365834e-08,4.317740866191695e-10
1.006611895686004e-01,2.811286010219321e-06,7.297505464166119e-08,4.479345730782895e-10
1.025364058870925e-01,2.916742961370750e-06,7.570885015658657e-08,4.646984259130056e-10
1.044465555920885e-01,3.026150734024506e-06,7.854485611581295e-08,4.820880871173115e-10
1.063922894573047e-01,3.139657051189596e-06,8.148688232655882e-08,5.001268285192352e-10
1.083742703797148e-01,3.257415142737622e-06,8.453887993847391e-08,5.188387821841241e-10
1.103931736053937e-01,3.379583949740553e-06,8.770494664919958e-08,5.382489719155513e-10
1.124496869595687e-01,3.506328336336188e-06,9.098933209944329e-08,5.583833458925075e-10
1.145445110809566e-01,3.637819309395459e-06,9.439644346433830e-08,5.792688104828716e-10
