# energy,pi_pi_pi0,pi_pi,mu_mu
3.784533544472523e-02,1.994110271814683e-07,5.186275506040654e-09,3.188008105569899e-11
3.855035582953194e-02,2.069052501878596e-07,5.381120685791270e-09,3.307750194000362e-11
3.926851003220953e-02,2.146810298428188e-07,5.583282500122526e-09,3.431987043287692e-11
4.000004272252298e-02,2.227489390728665e-07,5.793035492142546e-09,3.560887215399174e-11
4.074520312818794e-02,2.311199475446583e-07,6.010664495050110e-09,3.694625584683155e-11
4.150424511978076e-02,2.398054365357280e-07,6.236465017151782e-09,3.833383573743441e-11
4.227742729723028e-02,2.488172143616736e-07,6.470743641247035e-09,3.977349398098243e-11
4.306501307792087e-02,2.581675323805537e-07,6.713818438915407e-09,4.126718319949060e-11
4.386727078643680e-02,2.678691015960346e-07,6.966019400259442e-09,4.281692911396991e-11
4.468447374597840e-02,2.779351098816238e-07,7.227688879677531e-09,4.442483327456247e-11
4.551690037148123e-02,2.883792398491669e-07,7.499182058262149e-09,4.609307589227610e-11
4.636483426446997e-02,2.992156873856307e-07,7.780867423440659e-09,4.782391877607745e-11
4.722856430967931e-02,3.104591808830996e-07,8.073127266498960e-09,4.961970837924184e-11
4.810838477347492e-02,3.221250011878347e-07,8.376358198651606e-09,5.148287895900075e-11
4.900459540410766e-02,3.342290022951986e-07,8.690971686346501e-09,5.341595585367512e-11
4.991750153383564e-02,3.467876328182532e-07,9.017394606517805e-09,5.542155888163681e-11
5.084741418294864e-02,3.598179582588633e-07,9.356069822526797e-09,5.750240586660022e-11
5.179465016573038e-02,3.733376841112080e-07,9.707456781557656e-09,5.966131629390858e-11
5.275953219839477e-02,3.873651798287152e-07,1.007203213426347e-08,6.190121510265263e-11
5.374238900903295e-02,4.019195036865802e-07,1.045029037748695e-08,6.422513661863405e-11
5.474355544960843e-02,4.170204285732210e-07,1.084274452091059e-08,6.663622863337090e-11
5.576337261003869e-02,4.326884687452653e-07,1.124992677852256e-08,6.913775663453048e-11
5.680218793440198e-02,4.489449075819349e-07,1.167238928581699e-08,7.173310819337264e-11
5.786035533930886e-02,4.658118263760318e-07,1.211070484368116e-08,7.442579751498998e-11
5.893823533447900e-02,4.833121342000996e-07,1.256546768995711e-08,7.721947015734125e-11
6.003619514556411e-02,5.014695988877673e-07,1.303729429970113e-08,8.011790792529455e-11
6.115460883925898e-02,5.203088791717588e-07,1.352682421520238e-08,8.312503394612110e-11
6.229385745074321e-02,5.398555580215866e-07,1.403472090686085e-08,8.624491793311617e-11
6.345432911349706e-02,5.601361772255398e-07,1.456167266606459e-08,8.948178164426554e-11
6.463641919153559e-02,5.811782732632251e-07,1.510839353124868e-08,9.284000454312789e-11
6.584053041410624e-02,6.030104145166267e-07,1.567562424836094e-08,9.632412966936272e-11
6.706707301289569e-02,6.256622398694245e-07,1.626413326700472e-08,9.993886972660427e-11
6.831646486179267e-02,6.491644987461484e-07,1.687471777357496e-08,1.036891133956596e-10
6.958913161925455e-02,6.735490926446446e-07,1.750820476275251e-08,1.075799318812994e-10
7.088550687332591e-02,6.988491182173080e-07,1.816545214877064e-08,1.116165857012071e-10
7.220603228935883e-02,7.250989119585792e-07,1.884734991792012e-08,1.158045317259656e-10
7.355115776048489e-02,7.523340965583213e-07,1.955482132381195e-08,1.201494304792757e-10
7.492134156089043e-02,7.805916289828934e-07,2.028882412697277e-08,1.246571537079389e-10
7.631705050194718e-02,8.099098503480114e-07,2.105035188040486e-08,1.293337922314770e-10
7.773876009125127e-02,8.403285376498471e-07,2.184043526280219e-08,1.341856640816155e-10
7.918695469462529e-02,8.718889574232666e-07,2.266014346117578e-08,1.392193229422328e-10
8.066212770113798e-02,9.046339213986411e-07,2.351058560470459e-08,1.444415669007498e-10
8.216478169119819e-02,9.386078442312836e-07,2.439291225169493e-08,1.498594475223346e-10
8.369542860778040e-02,9.738568033803083e-07,2.530831693159925e-08,1.554802792587070e-10
8.525458993083967e-02,1.010428601216500e-06,2.625803774411573e-08,1.613116492037420e-10
8.684279685497613e-02,1.048372829441737e-06,2.724335901746390e-08,1.673614272085197e-10
8.846059047040886e-02,1.087740935905517e-06,2.826561302800698e-08,1.736377763689121e-10
9.010852194732140e-02,1.128586293907289e-06,2.932618178347004e-08,1.801491638992739e-10
9.178715272364127e-02,1.170964274076536e-06,3.042649887208472e-08,1.869043724062809e-10
9.349705469631762e-02,1.214932318925935e-06,3.156805138007520e-08,1.939125115774674e-10
9.523881041616235e-02,1.260550020176405e-06,3.275238187998730e-08,2.011830302995314e-10
9.701301328632068e-02,1.307879198956490e-06,3.398109049245291e-08,2.087257292220090e-10
9.882026776443929e-02,1.356983988982226e-06,3.525583702407503e-08,2.165507737824807e-10
1.006611895686004e-01,1.407930922827605e-06,3.657834318421581e-08,2.246687077100422e-10
1.025364058870925e-01,1.460789021399686e-06,3.795039488356941e-08,2.330904670243655e-10
1.044465555920885e-01,1.515629886736640e-06,3.937384461750585e-08,2.418273945482963e-10
1.063922894573047e-01,1.572527798251292e-06,4.085061393727823e-08,2.508912549525593e-10
1.083742703797148e-01,1.631559812547227e-06,4.238269601229779e-08,2.602942503518107e-10
1.103931736053937e-01,1.692805866939137e-06,4.397215828679445e-08,2.700490364719458e-10
1.124496869595687e-01,1.756348886813905e-06,4.562114523430103e-08,2.801687394092792e-10
1.145445110809566e-01,1.822274896973887e-06,4.733188121352095e-08,2.906669730029384e-10
1.166783596604662e-01,1.890673137108994e-06,4.910667342926660e-08,3.015578568425603e-10
1.188519596843472e-01,1.961636181549545e-06,5.094791500228753e-08,3.128560349341584e-10
1.210660516818689e-01,2.035260063457334e-06,5.285808815194329e-08,3.245766950478297e-10
1.233213899776133e-01,2.111644403618129e-06,5.483976749581663e-08,3.367355887717941e-10
1.256187429484676e-01,2.190892544004707e-06,5.689562347050840e-08,3.493490522981253e-10
1.279588932854045e-01,2.273111686285693e-06,5.902842587800586e-08,3.624340279664049e-10
1.303426382601393e-01,2.358413035461814e-06,6.124104756217255e-08,3.760080865924526e-10
1.327707899967543e-01,2.446911948817748e-06,6.353646822006788e-08,3.900894506102292e-10
1.352441757483832e-01,2.538728090384593e-06,6.591777835297201e-08,4.046970180559818e-10
1.377636381790507e-01,2.633985591115003e-06,6.838818336216380e-08,4.198503874247095e-10
1.403300356507609e-01,2.732813214980361e-06,7.095100779467719e-08,4.355698834300641e-10
1.429442425159355e-01,2.835344531206923e-06,7.360969974444551e-08,4.518765836998860e-10
1.456071494152991e-01,2.941718092875673e-06,7.636783541443454e-08,4.687923464406703e-10
1.483196635813135e-01,3.052077622118776e-06,7.922912384556013e-08,4.863398391054091e-10
1.510827091472651e-01,3.166572202153849e-06,8.219741181839163e-08,5.045425681004449e-10
1.538972274621105e-01,3.285356476406027e-06,8.527668893385034e-08,5.234249095681788e-10
1.567641774111866e-01,3.408590854976698e-06,8.847109287933136e-08,5.430121412837412e-10
1.596845357428961e-01,3.536441728727181e-06,9.178491488690030e-08,5.633304757050360e-10
1.626592974014779e-01,3.669081691255178e-06,9.522260539044864e-08,5.844070942169015e-10
1.656894758659778e-01,3.806689769051829e-06,9.878877988893120e-08,6.062701826115216e-10
1.687761034955325e-01,3.949451660137503e-06,1.024882250230567e-07,6.289489678486435e-10
1.719202318810872e-01,4.097559981485126e-06,1.063259048730573e-07,6.524737561406276e-10
1.751229322036643e-01,4.251214525550906e-06,1.103069674854277e-07,6.768759724088786e-10
1.783852955993074e-01,4.410622526243693e-06,1.144367516367979e-07,7.021882011597609e-10
1.817084335308226e-01,4.575998934676105e-06,1.187207938433820e-07,7.284442288297268e-10
1.850934781664458e-01,4.747566705052684e-06,1.231648356247396e-07,7.556790876510252e-10
1.885415827655638e-01,4.925557091063086e-06,1.277748310308852e-07,7.839291010911040e-10
1.920539220716214e-01,5.110209953161335e-06,1.325569544420900e-07,8.132319309205485e-10
1.956316927123476e-01,5.301774077125734e-06,1.375176086510400e-07,8.436266259662342e-10
1.992761136074377e-01,5.500507504307953e-06,1.426634332373455e-07,8.751536726082469e-10
2.029884263838299e-01,5.706677873994442e-06,1.480013132447371e-07,9.078550470810324e-10
2.067698957987187e-01,5.920562778318083e-06,1.535383881716325e-07,9.417742696412422e-10
2.106218101704481e-01,6.142450130173650e-06,1.592820612861234e-07,9.769564606667645e-10
2.145454818174318e-01,6.372638544606526e-06,1.652400092768033e-07,1.013448398753543e-09
2.185422475052506e-01,6.611437734160749e-06,1.714201922512423e-07,1.051298580878953e-09
2.226134689020779e-01,6.859168918689516e-06,1.778308640943148e-07,1.090557284702697e-09
2.267605330425908e-01,7.116165250149000e-06,1.844805831989912e-07,1.131276633078517e-09
2.309848528005213e-01,7.382772252914494e-06,1.913782235826281e-07,1.173510660852321e-09
2.352878673700128e-01,7.659348280176999e-06,1.985329864022310e-07,1.217315384024776e-09
2.396710427559421e-01,7.946264986997637e-06,2.059544118826034e-07,1.262748871358873e-09
2.441358722733767e-01,8.243907820617649e-06,2.136523916717648e-07,1.309871318515545e-09
2.486838770563357e-01,8.552676528642417e-06,2.216371816384910e-07,1.358745124803020e-09
2.533166065760292e-01,8.872985685739622e-06,2.299194151273243e-07,1.409434972628272e-09
2.580356391687514e-01,9.205265239513754e-06,2.385101166868989e-07,1.462007909741735e-09
2.628425825736078e-01,9.549961076242267e-06,2.474207162879522e-07,1.516533434369198e-09
2.677390744802600e-01,9.907535607182362e-06,2.566630640479239e-07,1.573083583327804e-09
2.727267830868745e-01,1.027846837618183e-05,2.662494454795918e-07,1.631733023225945e-09
2.778074076684648e-01,1.066325668935277e-05,2.761925972817641e-07,1.692559144849977e-09
2.829826791558225e-01,1.106241626759316e-05,2.865057236906235e-07,1.755642160843769e-09
2.882543607252319e-01,1.147648192276801e-05,2.972025134109217e-07,1.821065206790300e-09
2.936242483991709e-01,1.190600825838986e-05,3.082971571468290e-07,1.888914445807798e-09
2.990941716582028e-01,1.235157039566715e-05,3.198043657528879e-07,1.959279176776265e-09
3.046659940642663e-01,1.281376472581844e-05,3.317393890261538e-07,2.032251946313665e-09
3.103416138955776e-01,1.329320968958121e-05,3.441180351612832e-07,2.107928664624559e-09
3.161229647933589e-01,1.379054658487543e-05,3.569566908910072e-07,2.186408725347512e-09
3.220120164206161e-01,1.430644040361474e-05,3.702723423351346e-07,2.267795129531313e-09
3.280107751331879e-01,1.484158069869169e-05,3.840825965819454e-07,2.352194613873743e-09
3.341212846632964e-01,1.539668248219780e-05,3.984057040265780e-07,2.439717783360396e-09
3.403456268158315e-01,1.597248715597541e-05,4.132605814917687e-07,2.530479248445038e-09
3.466859221776056e-01,1.656976347563471e-05,4.286668361570804e-07,2.624597766916801e-09
3.531443308398228e-01,1.718930854920737e-05,4.446447903235502e-07,2.722196390603664e-09
3.597230531340044e-01,1.783194887164739e-05,4.612155070415084e-07,2.823402617065650e-09
3.664243303816270e-01,1.849854139642996e-05,4.784008166301458e-07,2.928348546435398e-09
3.732504456577225e-01,1.918997464554071e-05,4.962233441182654e-07,3.037171043567945e-09
3.802037245687055e-01,1.990716985919031e-05,5.147065376365308e-07,3.150011905665872e-09
3.872865360446898e-01,2.065108218663388e-05,5.338746977924148e-07,3.267018035550239e-09
3.945012931465652e-01,2.142270191951905e-05,5.537530080599550e-07,3.388341620752234e-09
4.018504538881091e-01,2.222305576923444e-05,5.743675662173766e-07,3.514140318604803e-09
4.093365220734140e-01,2.305320818977721e-05,5.957454168665724e-07,3.644577447518047e-09
4.169620481499139e-01,2.391426274770843e-05,6.179145850694114e-07,3.779822184626766e-09
4.247296300773036e-01,2.480736354081548e-05,6.409041111368364e-07,3.920049770002983e-09
