# energy,pi_pi_pi0,mu_mu,pi_pi
5.041833038782722e-02,7.943018408097485e-08,2.843467580846999e-10,5.712534264467931e-11
5.135757297277549e-02,8.241379467747902e-08,2.950172800945284e-10,5.926995714824200e-11
5.231431269867615e-02,8.550941253592168e-08,3.060877951811883e-10,6.149501580449838e-11
5.328887551959732e-02,8.872123879014273e-08,3.175732726649827e-10,6.380353209602741e-11
5.428159346180227e-02,9.205363193703340e-08,3.294892406641865e-10,6.619863216582234e-11
5.529280473686828e-02,9.551111371883946e-08,3.418518068738798e-10,6.868355901621660e-11
5.632285385691281e-02,9.909837522465633e-08,3.546776801128019e-10,7.126167686356563e-11
5.737209175196620e-02,1.028202832192449e-07,3.679841926663472e-10,7.393647565441959e-11
5.844087588953090e-02,1.066818867075951e-07,3.817893234548386e-10,7.671157574913110e-11
5.952957039636796e-02,1.106884237439737e-07,3.961117220572607e-10,7.959073277905765e-11
6.063854618255234e-02,1.148453284945171e-07,4.109707336217257e-10,8.257784268374245e-11
6.176818106783914e-02,1.191582385627578e-07,4.263864246950663e-10,8.567694693468980e-11
6.291885991038398e-02,1.236330025878241e-07,4.423796100051178e-10,8.889223795259078e-11
6.409097473786139e-02,1.282756881254049e-07,4.589718802304520e-10,9.222806472510333e-11
6.528492488102552e-02,1.330925898219450e-07,4.761856307935745e-10,9.568893863254864e-11
6.650111710975931e-02,1.380902378929200e-07,4.940440917148925e-10,9.927953948915317e-11
6.773996577165783e-02,1.432754069164366e-07,5.125713585660820e-10,1.030047218077401e-10
6.900189293319352e-02,1.486551249538164e-07,5.317924245628829e-10,1.068695212960608e-10
7.028732852351095e-02,1.542366830092504e-07,5.517332138387624e-10,1.108791615932523e-10
7.159671048090059e-02,1.600276448410499e-07,5.724206159423809e-10,1.150390612552147e-10
7.293048490200101e-02,1.660358571374826e-07,5.938825216033134e-10,1.193548409980161e-10
7.428910619378071e-02,1.722694600706544e-07,6.161478598120704e-10,1.238323312087655e-10
7.567303722835121e-02,1.787368982423900e-07,6.392466362620943e-10,1.284775797337292e-10
7.708274950066404e-02,1.854469320365773e-07,6.632099732031029e-10,1.332968599538229e-10
7.851872328914561e-02,1.924086493929640e-07,6.880701507569005e-10,1.382966791579701e-10
7.998144781932441e-02,1.996314780179488e-07,7.138606497486005e-10,1.434837872252011e-10
8.147142143050659e-02,2.071251980484693e-07,7.406161961080529e-10,1.488651856267488e-10
8.298915174555634e-02,2.148999551856786e-07,7.683728068982310e-10,1.544481367598092e-10
8.453515584383919e-02,2.229662743157139e-07,7.971678380293211e-10,1.602401736250445e-10
8.610996043738721e-02,2.313350736354817e-07,8.270400337193355e-10,1.662491098603466e-10
8.771410205034573e-02,2.400176793020467e-07,8.580295777642051e-10,1.724830501438172e-10
8.934812720176315e-02,2.490258406248780e-07,8.901781466825163e-10,1.789504009793916e-10
9.101259259178590e-02,2.583717458209112e-07,9.235289648023697e-10,1.856598818790051e-10
9.270806529132200e-02,2.680680383531081e-07,9.581268613601550e-10,1.926205369557010e-10
9.443512293523788e-02,2.781278338739437e-07,9.940183296835321e-10,1.998417469425873e-10
9.619435391915430e-02,2.885647377960317e-07,1.031251588533396e-09,2.073332416530826e-10
9.798635759990824e-02,2.993928635128979e-07,1.069876645682213e-09,2.151051128984340e-10
9.981174449974940e-02,3.106268512937516e-07,1.109945363808847e-09,2.231678278790655e-10
1.016711365143405e-01,3.222818878769584e-07,1.151511528792720e-09,2.315322430668880e-10
1.035651671246324e-01,3.343737267878187e-07,1.194630920493089e-09,2.402096185963240e-10
1.054944816126866e-01,3.469187094071763e-07,1.239361386102125e-09,2.492116331824092e-10
1.074597372815177e-01,3.599337868183383e-07,1.285762916163615e-09,2.585503995849975e-10
1.094616036790318e-01,3.734365424607811e-07,1.333897723352229e-09,2.682384806387502e-10
1.115007628261363e-01,3.874452156201407e-07,1.383830324111563e-09,2.782889058692957e-10
1.135779094490996e-01,4.019787257850426e-07,1.435627623252582e-09,2.887151887166509e-10
1.156937512162389e-01,4.170566979024370e-07,1.489359001617531e-09,2.995313443877402e-10
1.178490089790175e-01,4.326994885642297e-07,1.545096406918004e-09,3.107519083606125e-10
1.200444170176337e-01,4.489282131591808e-07,1.602914447859556e-09,3.223919555637421e-10
1.222807232911844e-01,4.657647740252640e-07,1.662890491669091e-09,3.344671202546200e-10
1.245586896924892e-01,4.832318896389332e-07,1.725104765145181e-09,3.469936166226822e-10
1.268790923076617e-01,5.013531248790535e-07,1.789640459355591e-09,3.599882601424906e-10
1.292427216805159e-01,5.201529224045970e-07,1.856583838110436e-09,3.734684897039881e-10
1.316503830818991e-01,5.396566351866053e-07,1.926024350343781e-09,3.874523905475712e-10
1.341028967840412e-01,5.598905602363592e-07,1.998054746540915e-09,4.019587180326858e-10
1.366010983400154e-01,5.808819735731956e-07,2.072771199353204e-09,4.170069222696450e-10
1.391458388684052e-01,6.026591664769524e-07,2.150273428547091e-09,4.326171736453858e-10
1.417379853432736e-01,6.252514830716219e-07,2.230664830438791e-09,4.488103892749397e-10
1.443784208895351e-01,6.486893592884533e-07,2.314052611971232e-09,4.656082604114880e-10
1.470680450838296e-01,6.730043632584394e-07,2.400547929594971e-09,4.830332808489830e-10
1.498077742610016e-01,6.982292371859063e-07,2.490266033120216e-09,5.011087763524964e-10
1.525985418262881e-01,7.243979407567504e-07,2.583326414712568e-09,5.198589351526375e-10
1.554412985733235e-01,7.515456961367443e-07,2.679852963210741e-09,5.393088395416291e-10
1.583370130080675e-01,7.797090346173135e-07,2.779974123950479e-09,5.594844986099093e-10
1.612866716787678e-01,8.089258449681744e-07,2.883823064284713e-09,5.804128821634195e-10
1.642912795120697e-01,8.392354235583460e-07,2.991537844996384e-09,6.021219558631251e-10
1.673518601553873e-01,8.706785263091866e-07,3.103261597806595e-09,6.246407176296992e-10
1.704694563256523e-01,9.032974225453331e-07,3.219142709187349e-09,6.479992353577317e-10
1.736451301645600e-01,9.371359508117620e-07,3.339335010694868e-09,6.722286859853349e-10
1.768799636004331e-01,9.722395767275259e-07,3.463997976046379e-09,6.973613959665311e-10
1.801750587168263e-01,1.008655452949220e-06,3.593296925170393e-09,7.234308831953905e-10
1.835315381279981e-01,1.046432481319765e-06,3.727403235467828e-09,7.504719004325191e-10
1.869505453613770e-01,1.085621377280722e-06,3.866494560528734e-09,7.785204802861648e-10
1.904332452471531e-01,1.126274736629059e-06,4.010755056557263e-09,8.076139818019381e-10
1.939808243151265e-01,1.168447104702126e-06,4.160375616765232e-09,8.377911387169172e-10
1.975944911989494e-01,1.212195048077451e-06,4.315554114002923e-09,8.690921094357428e-10
2.012754770478987e-01,1.257577228876991e-06,4.476495651903984e-09,9.015585287881825e-10
2.050250359463188e-01,1.304654481768554e-06,4.643412824829877e-09,9.352335616295828e-10
2.088444453408795e-01,1.353489893760286e-06,4.816525986908084e-09,9.701619583476208e-10
2.127350064757919e-01,1.404148886887419e-06,4.996063530467228e-09,1.006390112340824e-09
2.166980448361330e-01,1.456699303893872e-06,5.182262174181479e-09,1.043966119536409e-09
2.207349105994282e-01,1.511211497014807e-06,5.375367261246038e-09,1.082939840017199e-09
2.248469790956469e-01,1.567758419969845e-06,5.575633067915037e-09,1.123362961829551e-09
2.290356512757671e-01,1.626415723280405e-06,5.783323122743242e-09,1.165289067046568e-09
2.333023541890691e-01,1.687261853028456e-06,5.998710536882763e-09,1.208773700163180e-09
2.376485414693198e-01,1.750378153177953e-06,6.222078345796485e-09,1.253874438902104e-09
2.420756938300160e-01,1.815848971584357e-06,6.453719862760394e-09,1.300650967512184e-09
2.465853195688513e-01,1.883761769821777e-06,6.693939044537622e-09,1.349165152643123e-09
2.511789550815826e-01,1.954207236961742e-06,6.943050869618109e-09,1.399481121883261e-09
2.558581653854682e-01,2.027279407442014e-06,7.201381729428937e-09,1.451665345049704e-09
2.606245446524578e-01,2.103075783168509e-06,7.469269832931700e-09,1.505786718322862e-09
2.654797167523145e-01,2.181697459998178e-06,7.747065625034981e-09,1.561916651320263e-09
2.704253358058558e-01,2.263249258755583e-06,8.035132219261696e-09,1.620129157207372e-09
2.754630867484995e-01,2.347839860940985e-06,8.333845845123190e-09,1.680500945946132e-09
2.805946859043087e-01,2.435581949292975e-06,8.643596310664037e-09,1.743111520784914e-09
2.858218815707313e-01,2.526592353374027e-06,8.964787480653989e-09,1.808043278096673e-09
2.911464546142307e-01,2.620992200352891e-06,9.297837770916008e-09,1.875381610675267e-09
2.965702190770145e-01,2.718907071163447e-06,9.643180659292052e-09,1.945215014603121e-09
3.020950227950651e-01,2.820467162225467e-06,1.000126521376118e-08,2.017635199806698e-09
3.077227480276830e-01,2.925807452918747e-06,1.037255663823756e-08,2.092737204419607e-09
3.134553120987591e-01,3.035067879008328e-06,1.075753683658912e-08,2.170619513076649e-09
3.192946680499924e-01,3.148393512224812e-06,1.115670499543082e-08,2.251384179265543e-09
3.252428053062764e-01,3.265934746210374e-06,1.157057818625996e-08,2.335136951866693e-09
3.313017503534819e-01,3.387847489047819e-06,1.199969198751432e-08,2.421987406014975e-09
3.374735674288648e-01,3.514293362596889e-06,1.244460112714732e-08,2.512049078421188e-09
3.437603592243370e-01,3.645439908869192e-06,1.290588014632836e-08,2.605439607294653e-09
3.501642676028375e-01,3.781460803680397e-06,1.338412408488927e-08,2.702280877012206e-09
3.566874743280489e-01,3.922536077825803e-06,1.387994918915216e-08,2.802699167682703e-09
3.633322018077084e-01,4.068852346033149e-06,1.439399364278676e-08,2.906825309760153e-09
3.701007138507650e-01,4.220603043954332e-06,1.492691832135912e-08,3.014794843862532e-09
3.769953164386427e-01,4.377988673465869e-06,1.547940757124666e-08,3.126748185957412e-09
3.840183585108711e-01,4.541217056556199e-06,1.605217001360746e-08,3.242830798079572e-09
3.911722327653510e-01,4.710503598086393e-06,1.664593937410503e-08,3.363193364749930e-09
3.984593764735294e-01,4.886071557719629e-06,1.726147533910188e-08,3.487991975269317e-09
4.058822723107590e-01,5.068152331323639e-06,1.789956443904791e-08,3.617388312064722e-09
4.134434492021278e-01,5.256985742159489e-06,1.856102095980155e-08,3.751549845269964e-09
4.211454831840442e-01,5.452820342179408e-06,1.924668788263278e-08,3.890650033726899e-09
4.289909982818739e-01,5.655913723765931e-06,1.995743785366880e-08,4.034868532597586e-09
4.369826674039257e-01,5.866532842254375e-06,2.069417418355286e-08,4.184391407782029e-09
4.451232132520910e-01,6.084954349590655e-06,2.145783187809753e-08,4.339411357340415e-09
4.534154092494482e-01,6.311464939486678e-06,2.224937870072157e-08,4.500127940122954e-09
4.618620804851472e-01,6.546361704445874e-06,2.306981626746945e-08,4.666747811814691e-09
4.704661046768960e-01,6.789952505042099e-06,2.392018117541827e-08,4.839484968606737e-09
4.792304131513780e-01,7.042556351845937e-06,2.480154616528468e-08,5.018560998709597e-09
4.881579918429326e-01,7.304503800403457e-06,2.571502131904907e-08,5.204205341928245e-09
4.972518823108408e-01,7.576137359683639e-06,2.666175529341771e-08,5.396655557522623e-09
5.065151827755620e-01,7.857811914422195e-06,2.764293658994778e-08,5.596157600581067e-09
5.159510491742740e-01,8.149895161801014e-06,2.865979486265981e-08,5.802966107138042e-09
5.255626962360779e-01,8.452768062914238e-06,2.971360226396236e-08,6.017344688271086e-09
5.353533985772315e-01,8.766825309484030e-06,3.080567482971163e-08,6.239566233415436e-09
5.453264918167871e-01,9.092475806301032e-06,3.193737390422359e-08,6.469913223138071e-09
5.554853737130117e-01,9.430143169876976e-06,3.311010760605085e-08,6.708678051616154e-09
5.658335053209780e-01,9.780266243809103e-06,3.432533233532678e-08,6.956163359067505e-09
5.763744121717198e-01,1.014329963136880e-05,3.558455432346846e-08,7.212682374383695e-09
5.871116854733543e-01,1.051971424583936e-05,3.688933122601604e-08,7.478559268218466e-09
5.980489833345795e-01,1.090999787914054e-05,3.824127375936794e-08,7.754129516786331e-09
6.091900320109647e-01,1.131465578929057e-05,3.964204738215266e-08,8.039740276628053e-09
6.205386271744578e-01,1.173421130726894e-05,4.109337402195145e-08,8.335750770600675e-09
6.320986352065426e-01,1.216920646385637e-05,4.259703384806058e-08,8.642532685351116e-09
6.438739945154855e-01,1.262020263704135e-05,4.415486709094817e-08,8.960470580532397e-09
6.558687168781225e-01,1.308778122059544e-05,4.576877590902481e-08,9.289962310021786e-09
6.680868888066408e-01,1.357254431443254e-05,4.744072630330524e-08,9.631419455399176e-09
6.805326729408231e-01,1.407511543738012e-05,4.917275008049226e-08,9.985267771943199e-09
6.932103094662287e-01,1.459614026300330e-05,5.096694686496112e-08,1.035194764740018e-08
7.061241175587920e-01,1.513628737913476e-05,5.282548616006422e-08,1.073191457377867e-08
7.192784968563333e-01,1.569624907177659e-05,5.475060945911156e-08,1.112563963241878e-08
7.326779289574835e-01,1.627674213405195e-05,5.674463240630965e-08,1.153360999258118e-08
7.463269789485303e-01,1.687850870089605e-05,5.880994700786248e-08,1.195632942379525e-08
7.602302969587096e-01,1.750231711018834e-05,6.094902389334990e-08,1.239431882219992e-08
7.743926197444693e-01,1.814896279103818e-05,6.316441462740289e-08,1.284811675110277e-08
7.888187723032470e-01,1.881926917994756e-05,6.545875407158925e-08,1.331827999597503e-08
8.035136695173106e-01,1.951408866558439e-05,6.783476279630647e-08,1.380538413408961e-08
8.184823178282217e-01,2.023430356290981e-05,7.029524954235370e-08,1.431002411899836e-08
8.337298169424929e-01,2.098082711741171e-05,7.284311373171433e-08,1.483281488003197e-08
8.492613615690198e-01,2.175460454020514e-05,7.548134802693242e-08,1.537439193699102e-08
8.650822431888791e-01,2.255661407476760e-05,7.821304093830038e-08,1.593541203018128e-08
8.811978518580971e-01,2.338786809608390e-05,8.104137947789892e-08,1.651655376592728e-08
8.976136780440012e-01,2.424941424298049e-05,8.396965185933619e-08,1.711851827767909e-08
9.143353144957810e-01,2.514233658443390e-05,8.700125024182462e-08,1.774202990280400e-08
9.313684581498962e-01,2.606775682064061e-05,9.013967351700608e-08,1.838783687513064e-08
9.487189120709802e-01,2.702683551963772e-05,9.338853013669298e-08,1.905671203328596e-08
9.663925874289012e-01,2.802077339026390e-05,9.675154097942515e-08,1.974945354483490e-08
9.843955055126525e-01,2.905081259224842e-05,1.002325422534591e-07,2.046688564620055e-08
1.002733799781762e+00,3.011823808421296e-05,1.038354884334965e-07,2.120985939830626e-08
1.021413717955915e+00,3.122437901036567e-05,1.075644552281253e-07,2.197925345784155e-08
1.040441624143506e+00,3.237061012665904e-05,1.114236425745904e-07,2.277597486401139e-08
1.059824001009842e+00,3.355835326717383e-05,1.154173776571241e-07,2.360095984058111e-08
1.079567451985740e+00,3.478907885147825e-05,1.195501179446510e-07,2.445517461297878e-08
1.099678703517264e+00,3.606430743369696e-05,1.238264542432378e-07,2.533961624016090e-08
1.120164607357378e+00,3.738561129400560e-05,1.282511137581772e-07,2.625531346088843e-08
1.141032142900283e+00,3.875461607324507e-05,1.328289631600818e-07,2.720332755399367e-08
1.162288419559247e+00,4.017300245132491e-05,1.375650116488116e-07,2.818475321214936e-08
1.183940679188729e+00,4.164250787005569e-05,1.424644140084639e-07,2.920071942857439e-08
1.205996298551625e+00,4.316492830101718e-05,1.475324736460239e-07,3.025239039602833e-08
1.228462791832472e+00,4.474212005903139e-05,1.527746456055865e-07,3.134096641735837e-08
1.251347813197481e+00,4.637600166176683e-05,1.581965395493372e-07,3.246768482676569e-08
1.274659159402248e+00,4.806855573595268e-05,1.638039226956949e-07,3.363382092085552e-08
1.298404772448054e+00,4.982183097062764e-05,1.696027227041834e-07,3.484068889842307e-08
1.322592742287645e+00,5.163794411778918e-05,1.755990304957067e-07,3.608964280780810e-08
1.347231309581416e+00,5.351908204074199e-05,1.817991029959420e-07,3.738207750052137e-08
1.372328868504946e+00,5.546750381037219e-05,1.882093657885471e-07,3.871942958970758e-08
1.397893969608827e+00,5.748554284949229e-05,1.948364156637789e-07,4.010317841186057e-08
1.423935322731778e+00,5.957560912531311e-05,2.016870230469572e-07,4.153484699004572e-08
1.450461799968014e+00,6.174019139000214e-05,2.087681342899565e-07,4.301600299671342e-08
