# energy,pi_pi,pi0_pi0
4.976110000000000e-04,6.088154778923888e+01,0.000000000000000e+00
5.115805449837005e-04,5.921905692337646e+01,0.000000000000000e+00
5.259422601305442e-04,5.760196309454366e+01,0.000000000000000e+00
5.407071549212998e-04,5.602902666226387e+01,0.000000000000000e+00
5.558865479083561e-04,5.449904183647450e+01,0.000000000000000e+00
5.714920753923541e-04,5.301083575318668e+01,0.000000000000000e+00
5.875357003424096e-04,5.156326757538400e+01,0.000000000000000e+00
6.040297215667460e-04,5.015522761847445e+01,0.000000000000000e+00
6.209867831407848e-04,4.878563649962161e+01,0.000000000000000e+00
6.384198840999047e-04,4.745344431030624e+01,0.000000000000000e+00
6.563423884043167e-04,4.615762981148126e+01,0.000000000000000e+00
6.747680351836755e-04,4.489719965070519e+01,0.000000000000000e+00
6.937109492693003e-04,4.367118760065242e+01,0.000000000000000e+00
7.131856520220590e-04,4.247865381841772e+01,0.000000000000000e+00
7.332070724642363e-04,4.131868412504620e+01,0.000000000000000e+00
7.537905587238977e-04,4.019038930473729e+01,0.000000000000000e+00
7.749518898005471e-04,3.909290442318468e+01,0.000000000000000e+00
7.967072876610695e-04,3.802538816453067e+01,0.000000000000000e+00
8.190734296752607e-04,3.698702218642531e+01,0.000000000000000e+00
8.420674614004483e-04,3.597701049269755e+01,0.000000000000000e+00
8.657070097250311e-04,3.499457882315588e+01,0.000000000000000e+00
8.900101963809914e-04,3.403897406005198e+01,0.000000000000000e+00
9.149956518357469e-04,3.310946365075166e+01,0.000000000000000e+00
9.406825295740007e-04,3.220533504617062e+01,0.000000000000000e+00
9.670905207805157e-04,3.132589515454486e+01,0.000000000000000e+00
9.942398694350956e-04,3.047046981011657e+01,0.000000000000000e+00
1.022151387831317e-03,2.963840325632867e+01,0.000000000000000e+00
1.050846472530935e-03,2.882905764313118e+01,0.000000000000000e+00
1.080347120766171e-03,2.804181253801500e+01,0.000000000000000e+00
1.110675947302471e-03,2.727606445039714e+01,0.000000000000000e+00
1.141856201774651e-03,2.653122636899392e+01,0.000000000000000e+00
1.173911786509733e-03,2.580672731182649e+01,0.000000000000000e+00
1.206867274850111e-03,2.510201188851454e+01,0.000000000000000e+00
1.240747929991125e-03,2.441653987452207e+01,0.000000000000000e+00
1.275579724347448e-03,2.374978579702923e+01,0.000000000000000e+00
1.311389359463168e-03,2.310123853211251e+01,0.000000000000000e+00
1.348204286480792e-03,2.247040091292462e+01,0.000000000000000e+00
1.386052727184899e-03,2.185678934857364e+01,0.000000000000000e+00
1.424963695636542e-03,2.125993345340931e+01,0.000000000000000e+00
1.464967020415003e-03,2.067937568643236e+01,0.000000000000000e+00
1.506093367483950e-03,2.011467100055014e+01,0.000000000000000e+00
1.548374263699508e-03,1.956538650141014e+01,0.000000000000000e+00
1.591842120978296e-03,1.903110111554940e+01,0.000000000000000e+00
1.636530261143918e-03,1.851140526760590e+01,0.000000000000000e+00
1.682472941470997e-03,1.800590056634390e+01,0.000000000000000e+00
1.729705380946285e-03,1.751419949925324e+01,0.000000000000000e+00
1.778263787267043e-03,1.703592513548769e+01,0.000000000000000e+00
1.828185384597312e-03,1.657071083691555e+01,0.000000000000000e+00
1.879508442103430e-03,1.611819997705994e+01,0.000000000000000e+00
1.932272303290599e-03,1.567804566771440e+01,0.000000000000000e+00
1.986517416163059e-03,1.524991049302327e+01,0.000000000000000e+00
2.042285364230915e-03,1.483346625082378e+01,0.000000000000000e+00
2.099618898387471e-03,1.442839370105098e+01,0.000000000000000e+00
2.158561969681416e-03,1.403438232101304e+01,0.000000000000000e+00
2.219159763009075e-03,1.365113006734900e+01,0.000000000000000e+00
2.281458731752480e-03,1.327834314448685e+01,0.000000000000000e+00
2.345506633389850e-03,1.291573577942411e+01,0.000000000000000e+00
2.411352566105781e-03,1.256303000265842e+01,0.000000000000000e+00
2.479047006429199e-03,1.221995543510016e+01,0.000000000000000e+00
2.548641847927924e-03,1.188624908080380e+01,0.000000000000000e+00
2.620190440989513e-03,1.156165512535912e+01,0.000000000000000e+00
2.693747633718907e-03,1.124592473978755e+01,0.000000000000000e+00
2.769369813984159e-03,1.093881588979355e+01,0.000000000000000e+00
2.847114952642580e-03,1.064009315022463e+01,0.000000000000000e+00
2.927042647980317e-03,1.034952752459794e+01,0.000000000000000e+00
3.009214171399559e-03,1.006689626955480e+01,0.000000000000000e+00
3.093692514388268e-03,9.791982724109044e+00,0.000000000000000e+00
3.180542436808564e-03,9.524576143557725e+00,0.000000000000000e+00
3.269830516540655e-03,9.264471537927438e+00,0.000000000000000e+00
3.361625200520496e-03,9.011469514831925e+00,0.000000000000000e+00
3.455996857210184e-03,8.765376126620817e+00,0.000000000000000e+00
3.553017830541410e-03,8.526002721702204e+00,0.000000000000000e+00
3.652762495373256e-03,8.293165799925065e+00,0.000000000000000e+00
3.755307314506861e-03,8.066686871910759e+00,0.000000000000000e+00
3.860730897300696e-03,7.846392322225682e+00,0.000000000000000e+00
3.969114059931353e-03,7.632113276290175e+00,0.000000000000000e+00
4.080539887346043e-03,7.423685470921765e+00,0.000000000000000e+00
4.195093796954284e-03,7.220949128413451e+00,0.000000000000000e+00
4.312863604107655e-03,7.023748834050380e+00,0.000000000000000e+00
4.433939589417758e-03,6.831933416971250e+00,0.000000000000000e+00
4.558414567964020e-03,6.645355834282909e+00,0.000000000000000e+00
4.686383960444349e-03,6.463873058339455e+00,0.000000000000000e+00
4.817945866323282e-03,6.287345967099300e+00,0.000000000000000e+00
4.953201139033565e-03,6.115639237476285e+00,0.000000000000000e+00
5.092253463288949e-03,5.948621241602943e+00,0.000000000000000e+00
5.235209434567361e-03,5.786163945926523e+00,0.000000000000000e+00
5.382178640825431e-03,5.628142813060345e+00,0.000000000000000e+00
5.533273746507022e-03,5.474436706315259e+00,0.000000000000000e+00
5.688610578910160e-03,5.324927796838008e+00,0.000000000000000e+00
5.848308216978537e-03,5.179501473285371e+00,0.000000000000000e+00
6.012489082585667e-03,5.038046253964798e+00,0.000000000000000e+00
6.181279034381724e-03,4.900453701374158e+00,0.000000000000000e+00
6.354807464274954e-03,4.766618339075123e+00,0.000000000000000e+00
6.533207396621601e-03,4.636437570836494e+00,0.000000000000000e+00
6.716615590200428e-03,4.509811601985428e+00,0.000000000000000e+00
6.905172643050000e-03,4.386643362906304e+00,0.000000000000000e+00
7.099023100249106e-03,4.266838434628554e+00,0.000000000000000e+00
7.298315564722886e-03,4.150304976446485e+00,0.000000000000000e+00
7.503202811159643e-03,4.036953655515529e+00,0.000000000000000e+00
7.713841903125701e-03,3.926697578370992e+00,0.000000000000000e+00
7.930394313468052e-03,3.819452224316794e+00,0.000000000000000e+00
8.153026048097058e-03,3.715135380633132e+00,0.000000000000000e+00
8.381907773244166e-03,3.613667079553423e+00,0.000000000000000e+00
8.617214946292123e-03,3.514969536962183e+00,0.000000000000000e+00
8.859127950278056e-03,3.418967092766858e+00,0.000000000000000e+00
9.107832232172481e-03,3.325586152897899e+00,0.000000000000000e+00
9.363518445040232e-03,3.234755132892631e+00,0.000000000000000e+00
9.626382594192287e-03,3.146404403019654e+00,0.000000000000000e+00
9.896626187440588e-03,3.060466234901703e+00,0.000000000000000e+00
1.017445638957101e-02,2.976874749596063e+00,0.000000000000000e+00
1.046008618115281e-02,2.895565867092743e+00,0.000000000000000e+00
1.075373452180646e-02,2.816477257191669e+00,0.000000000000000e+00
1.105562651805483e-02,2.739548291721274e+00,0.000000000000000e+00
1.136599359588663e-02,2.664719998061817e+00,0.000000000000000e+00
1.168507367816414e-02,2.591935013937844e+00,0.000000000000000e+00
1.201311136701140e-02,2.521137543445104e+00,0.000000000000000e+00
1.235035813132262e-02,2.452273314278225e+00,0.000000000000000e+00
1.269707249953458e-02,2.385289536126355e+00,0.000000000000000e+00
1.305352025781074e-02,2.320134860204889e+00,0.000000000000000e+00
1.341997465378899e-02,2.256759339892234e+00,0.000000000000000e+00
1.379671660604935e-02,2.195114392441465e+00,0.000000000000000e+00
1.418403491946199e-02,2.135152761737498e+00,0.000000000000000e+00
1.458222650658085e-02,2.076828482071247e+00,0.000000000000000e+00
1.499159661525247e-02,2.020096842902980e+00,0.000000000000000e+00
1.541245906261450e-02,1.964914354587877e+00,0.000000000000000e+00
1.584513647566332e-02,1.911238715037499e+00,0.000000000000000e+00
1.628996053857523e-02,1.859028777291632e+00,0.000000000000000e+00
1.674727224697061e-02,1.808244517975623e+00,0.000000000000000e+00
1.721742216931625e-02,1.758847006619052e+00,0.000000000000000e+00
1.770077071566597e-02,1.710798375812197e+00,0.000000000000000e+00
1.819768841394568e-02,1.664061792177438e+00,0.000000000000000e+00
1.870855619399472e-02,1.618601428133319e+00,0.000000000000000e+00
1.923376567958106e-02,1.574382434429661e+00,0.000000000000000e+00
1.977371948861435e-02,1.531370913432623e+00,0.000000000000000e+00
2.032883154178696e-02,1.489533893139283e+00,0.000000000000000e+00
2.089952737987950e-02,1.448839301901772e+00,0.000000000000000e+00
2.148624448997416e-02,1.409255943841627e+00,0.000000000000000e+00
2.208943264082590e-02,1.370753474935483e+00,0.000000000000000e+00
2.270955422764861e-02,1.333302379753787e+00,0.000000000000000e+00
2.334708462658057e-02,1.296873948834701e+00,0.000000000000000e+00
2.400251255910071e-02,1.261440256675852e+00,0.000000000000000e+00
2.467634046667550e-02,1.226974140327051e+00,0.000000000000000e+00
2.536908489592312e-02,1.193449178567563e+00,0.000000000000000e+00
2.608127689459059e-02,1.160839671651997e+00,0.000000000000000e+00
2.681346241864721e-02,1.129120621609250e+00,0.000000000000000e+00
2.756620275080639e-02,1.098267713079430e+00,0.000000000000000e+00
2.834007493079679e-02,1.068257294674058e+00,0.000000000000000e+00
2.913567219771254e-02,1.039066360845255e+00,0.000000000000000e+00
2.995360444478164e-02,1.010672534250029e+00,0.000000000000000e+00
3.079449868690120e-02,9.830540485961308e-01,0.000000000000000e+00
3.165899954129786e-02,9.561897319563287e-01,0.000000000000000e+00
3.254776972168198e-02,9.300589905383240e-01,0.000000000000000e+00
3.346149054627421e-02,9.046417928978465e-01,0.000000000000000e+00
3.440086246009415e-02,8.799186545828442e-01,0.000000000000000e+00
3.536660557191118e-02,8.558706231969858e-01,0.000000000000000e+00
3.635946020626937e-02,8.324792638710313e-01,0.000000000000000e+00
3.738018747100939e-02,8.097266451309305e-01,0.000000000000000e+00
3.842956984072274e-02,7.875953251518156e-01,0.000000000000000e+00
3.950841175658522e-02,7.660683383873546e-01,0.000000000000000e+00
4.061754024302983e-02,7.451291825642112e-01,0.000000000000000e+00
4.175780554173158e-02,7.247618060316419e-01,0.000000000000000e+00
4.293008176339035e-02,7.049505954565349e-01,0.000000000000000e+00
4.413526755781136e-02,6.856803638544580e-01,0.000000000000000e+00
4.537428680279692e-02,6.669363389475367e-01,0.000000000000000e+00
4.664808931237771e-02,6.487041518402417e-01,0.000000000000000e+00
4.795765156492628e-02,6.309698260044038e-01,0.000000000000000e+00
4.930397745171110e-02,6.137197665650108e-01,0.000000000000000e+00
5.068809904646493e-02,5.969407498785744e-01,0.000000000000000e+00
5.211107739655738e-02,5.806199133960782e-01,0.000000000000000e+00
5.357400333637850e-02,5.647447458027333e-01,0.000000000000000e+00
5.507799832355615e-02,5.493030774269906e-01,0.000000000000000e+00
5.662421529864939e-02,5.342830709114424e-01,0.000000000000000e+00
5.821383956897545e-02,5.196732121384814e-01,0.000000000000000e+00
5.984808971724941e-02,5.054623014037420e-01,0.000000000000000e+00
6.152821853573143e-02,4.916394448305727e-01,0.000000000000000e+00
6.325551398659944e-02,4.781940460189453e-01,0.000000000000000e+00
6.503130018928163e-02,4.651157979224122e-01,0.000000000000000e+00
6.685693843550757e-02,4.523946749468705e-01,0.000000000000000e+00
6.873382823285391e-02,4.400209252650907e-01,0.000000000000000e+00
7.066340837758710e-02,4.279850633411036e-01,0.000000000000000e+00
7.264715805762291e-02,4.162778626587292e-01,0.000000000000000e+00
7.468659798645083e-02,4.048903486486599e-01,0.000000000000000e+00
7.678329156889029e-02,3.938137918086878e-01,0.000000000000000e+00
7.893884609957429e-02,3.830397010117931e-01,0.000000000000000e+00
8.115491399507790e-02,3.725598169969686e-01,0.000000000000000e+00
8.343319406063630e-02,3.623661060377901e-01,0.000000000000000e+00
8.577543279242461e-02,3.524507537838762e-01,0.000000000000000e+00
8.818342571639563e-02,3.428061592705210e-01,0.000000000000000e+00
9.065901876470453e-02,3.334249290919019e-01,0.000000000000000e+00
9.320410969077265e-02,3.242998717334020e-01,0.000000000000000e+00
9.582064952407827e-02,3.154239920586965e-01,0.000000000000000e+00
9.851064406578657e-02,3.067904859473834e-01,0.000000000000000e+00
1.012761554263681e-01,2.983927350790381e-01,0.000000000000000e+00
1.041193036063820e-01,2.902243018597068e-01,0.000000000000000e+00
1.070422681216378e-01,2.822789244869348e-01,0.000000000000000e+00
1.100472896739800e-01,2.745505121495598e-01,0.000000000000000e+00
1.131366718689778e-01,2.670331403585804e-01,0.000000000000000e+00
1.163127829818347e-01,2.597210464055264e-01,0.000000000000000e+00
1.195780577728747e-01,2.526086249448470e-01,0.000000000000000e+00
1.229349993539926e-01,2.456904236969319e-01,0.000000000000000e+00
1.263861811075046e-01,2.389611392684673e-01,0.000000000000000e+00
1.299342486588638e-01,2.324156130869309e-01,0.000000000000000e+00
1.335819219047593e-01,2.260488274460975e-01,0.000000000000000e+00
1.373319970981489e-01,2.198559016595368e-01,0.000000000000000e+00
1.411873489918249e-01,2.138320883191448e-01,0.000000000000000e+00
1.451509330421589e-01,2.079727696558436e-01,0.000000000000000e+00
1.492257876747103e-01,2.022734539996631e-01,0.000000000000000e+00
1.534150366134397e-01,1.967297723364853e-01,0.000000000000000e+00
1.577218912753091e-01,1.913374749588161e-01,0.000000000000000e+00
1.621496532321083e-01,1.860924282080150e-01,0.000000000000000e+00
1.667017167413904e-01,1.809906113054860e-01,0.000000000000000e+00
1.713815713484610e-01,1.760281132703989e-01,0.000000000000000e+00
1.761928045614117e-01,1.712011299215825e-01,0.000000000000000e+00
1.811391046012522e-01,1.665059609612849e-01,0.000000000000000e+00
1.862242632292456e-01,1.619390071385718e-01,0.000000000000000e+00
1.914521786536182e-01,1.574967674901831e-01,0.000000000000000e+00
1.968268585178680e-01,1.531758366567366e-01,0.000000000000000e+00
2.023524229729662e-01,1.489729022722183e-01,0.000000000000000e+00
2.080331078358041e-01,1.448847424247607e-01,0.000000000000000e+00
2.138732678363093e-01,1.409082231867597e-01,0.000000000000000e+00
2.198773799557165e-01,1.370402962124408e-01,0.000000000000000e+00
2.260500468585574e-01,1.332779964010275e-01,0.000000000000000e+00
2.323960004209954e-01,1.296184396237252e-01,0.000000000000000e+00
2.389201053582117e-01,1.260588205127762e-01,0.000000000000000e+00
2.456273629536268e-01,1.225964103108900e-01,0.000000000000000e+00
2.525229148928090e-01,1.192285547794025e-01,0.000000000000000e+00
2.596120472050176e-01,1.159526721635577e-01,0.000000000000000e+00
2.669001943153930e-01,1.127662512133551e-01,0.000000000000000e+00
2.743929432109106e-01,1.096668492584422e-01,0.000000000000000e+00
2.820960377232803e-01,1.066520903355808e-01,0.000000000000000e+00
2.900153829320863e-01,1.037196633672453e-01,0.000000000000000e+00
2.981570496915327e-01,1.008673203899640e-01,0.000000000000000e+00
3.065272792842736e-01,9.809287483103825e-02,0.000000000000000e+00
3.151324882058870e-01,9.539419983232385e-02,0.000000000000000e+00
3.239792730836686e-01,9.276922661978605e-02,0.000000000000000e+00
3.330744157335073e-01,9.021594291758045e-02,0.000000000000000e+00
3.424248883587289e-01,8.773239140544191e-02,0.000000000000000e+00
3.520378588948823e-01,8.531666821820147e-02,0.000000000000000e+00
3.619206965045767e-01,8.296692148627777e-02,0.000000000000000e+00
3.720809772265725e-01,8.068134991602713e-02,0.000000000000000e+00
3.825264897834610e-01,7.845820140886202e-02,0.000000000000000e+00
3.932652415523875e-01,7.629577171807929e-02,0.000000000000000e+00
4.043054647033867e-01,7.419240314236970e-02,0.000000000000000e+00
4.156556225100471e-01,7.214648325500524e-02,0.000000000000000e+00
4.273244158373291e-01,7.015644366773199e-02,0.000000000000000e+00
4.393207898115243e-01,6.822075882841880e-02,0.000000000000000e+00
4.516539406774556e-01,6.633794485154171e-02,0.000000000000000e+00
4.643333228481863e-01,6.450655838060590e-02,0.000000000000000e+00
4.773686561526326e-01,6.272519548163441e-02,0.000000000000000e+00
4.907699332866451e-01,6.099249056687381e-02,0.000000000000000e+00
5.045474274732596e-01,5.930711534789306e-02,0.000000000000000e+00
5.187117003380040e-01,5.766777781727130e-02,0.000000000000000e+00
5.332736100052812e-01,5.607322125809539e-02,0.000000000000000e+00
5.482443194220533e-01,5.452222328050602e-02,0.000000000000000e+00
5.636353049151887e-01,5.301359488455533e-02,0.000000000000000e+00
5.794583649890510e-01,5.154617954865568e-02,0.000000000000000e+00
5.957256293700556e-01,5.011885234292238e-02,0.000000000000000e+00
6.124495683051440e-01,4.873051906672871e-02,0.000000000000000e+00
6.296430021212913e-01,4.738011540981314e-02,0.000000000000000e+00
