# energy,mu_nu,pi_pi0,pi_pi_pi,pi0_e_nu,pi0_mu_nu,pi_pi0_pi0,e_nu
5.109989461000004e-01,5.840269808661692e-13,1.649356613835820e-13,8.877274568214000e-14,0.000000000000000e+00,2.339211934236966e-14,9.633020106801707e-15,0.000000000000000e+00
5.173670293495549e-01,2.599397181333787e-06,6.411329000420662e-07,3.451135988202853e-07,0.000000000000000e+00,8.898395274906896e-08,3.744909263230684e-08,0.000000000000000e+00
5.238144718318098e-01,3.744068276935410e-06,9.235459601316871e-07,4.971891991940166e-07,0.000000000000000e+00,1.281860247537471e-07,5.395072819242856e-08,0.000000000000000e+00
5.303422625237570e-01,4.670413935628406e-06,1.152151827595615e-06,6.203293072866900e-07,0.000000000000000e+00,1.599228490491925e-07,6.731228113101335e-08,0.000000000000000e+00
5.369514027270471e-01,5.492885784540059e-06,1.355173045260238e-06,7.297212846417770e-07,0.000000000000000e+00,1.881110481608215e-07,7.918180374921036e-08,0.000000000000000e+00
5.436429062215802e-01,6.255200304769805e-06,1.543389426552804e-06,8.311659028881464e-07,0.000000000000000e+00,2.142465910661509e-07,9.018876651970880e-08,0.000000000000000e+00
5.504177994210101e-01,6.979547786809316e-06,1.722272911741540e-06,9.276077800722539e-07,0.000000000000000e+00,2.390888555352351e-07,1.006527039229627e-07,0.000000000000000e+00
5.572771215301865e-01,7.679021612302306e-06,1.895052483757783e-06,1.020784695259854e-06,0.000000000000000e+00,2.630859655294220e-07,1.107621893800411e-07,0.000000000000000e+00
5.642219247045591e-01,8.362128099953771e-06,2.063826202656927e-06,1.111825976781307e-06,0.000000000000000e+00,2.865291124361422e-07,1.206397694150634e-07,0.000000000000000e+00
5.712532742115684e-01,9.034783414228394e-06,2.230053585296377e-06,1.201517441552922e-06,0.000000000000000e+00,3.096208833679750e-07,1.303707136636371e-07,0.000000000000000e+00
5.783722485940477e-01,9.701320378313482e-06,2.394803848574625e-06,1.290434964437576e-06,0.000000000000000e+00,3.325097097633102e-07,1.400175092532834e-07,0.000000000000000e+00
5.855799398356616e-01,1.036504528203816e-05,2.558893194207004e-06,1.379018342931094e-06,0.000000000000000e+00,3.553089180865571e-07,1.496278763064397e-07,0.000000000000000e+00
5.928774535284057e-01,1.102856803151939e-05,2.722966207572650e-06,1.467615091734980e-06,0.000000000000000e+00,3.781080252428676e-07,1.592395203641730e-07,0.000000000000000e+00
6.002659090421945e-01,1.169400888053144e-05,2.887546826819071e-06,1.556507864804856e-06,0.000000000000000e+00,4.009798113158687e-07,1.688831081294502e-07,0.000000000000000e+00
6.077464396965613e-01,1.236313370277222e-05,3.053071693660732e-06,1.645932398319397e-06,0.000000000000000e+00,4.239849474793830e-07,1.785842145761770e-07,0.000000000000000e+00
6.153201929344998e-01,1.303744577903757e-05,3.219912783198258e-06,1.736089685708812e-06,0.000000000000000e+00,4.471751362194545e-07,1.883646441412609e-07,0.000000000000000e+00
6.229883304984705e-01,1.371825000990727e-05,3.388393235623563e-06,1.827154495401872e-06,0.000000000000000e+00,4.705953082339357e-07,1.982433550400288e-07,0.000000000000000e+00
6.307520286086009e-01,1.440669902596265e-05,3.558798725151782e-06,1.919281487765429e-06,0.000000000000000e+00,4.942852000764277e-07,2.082371230528210e-07,0.000000000000000e+00
6.386124781431072e-01,1.510382705643656e-05,3.731385811164786e-06,2.012609708655781e-06,0.000000000000000e+00,5.182805130579708e-07,2.183610291455496e-07,0.000000000000000e+00
6.465708848209630e-01,1.581057530485433e-05,3.906388195742513e-06,2.107265956787701e-06,0.000000000000000e+00,5.426137816486640e-07,2.286288248793235e-07,0.000000000000000e+00
6.546284693868464e-01,1.652781129906614e-05,4.084021495888178e-06,2.203367352181424e-06,0.000000000000000e+00,5.673150357893081e-07,2.390532111223920e-07,0.000000000000000e+00
6.627864677983892e-01,1.725634388118277e-05,4.264486941050980e-06,2.301023326581867e-06,0.000000000000000e+00,5.924123140890083e-07,2.496460540351931e-07,0.000000000000000e+00
6.710461314157625e-01,1.799693498694350e-05,4.447974279338762e-06,2.400337188304976e-06,0.000000000000000e+00,6.179320672323890e-07,2.604185548724777e-07,0.000000000000000e+00
6.794087271936231e-01,1.875030902379643e-05,4.634664091929305e-06,2.501407368837726e-06,0.000000000000000e+00,6.438994792801298e-07,2.713813852492995e-07,0.000000000000000e+00
6.878755378754521e-01,1.951716042764775e-05,4.824729658652965e-06,2.604328428103571e-06,0.000000000000000e+00,6.703387267015532e-07,2.825447962171405e-07,0.000000000000000e+00
6.964478621903161e-01,2.029815982061039e-05,5.018338478860418e-06,2.709191874400449e-06,0.000000000000000e+00,6.972731895858994e-07,2.939187072279194e-07,0.000000000000000e+00
7.051270150520801e-01,2.109395908179952e-05,5.215653524501770e-06,2.816086840393037e-06,0.000000000000000e+00,7.247256257064451e-07,3.055127794765311e-07,0.000000000000000e+00
7.139143277611023e-01,2.190519556481162e-05,5.416834283013827e-06,2.925100646142939e-06,0.000000000000000e+00,7.527183154294760e-07,3.173364769841836e-07,0.000000000000000e+00
7.228111482084437e-01,2.273249563894928e-05,5.622037633665739e-06,3.036319272658374e-06,0.000000000000000e+00,7.812731835250018e-07,3.293991179706964e-07,0.000000000000000e+00
7.318188410826217e-01,2.357647768988180e-05,5.831418590814789e-06,3.149827763959144e-06,0.000000000000000e+00,8.104119025209708e-07,3.417099184686099e-07,0.000000000000000e+00
7.409387880789402e-01,2.443775468480092e-05,6.045130939973660e-06,3.265710571591245e-06,0.000000000000000e+00,8.401559811951224e-07,3.542780296912256e-07,0.000000000000000e+00
7.501723881114291e-01,2.531693638419232e-05,6.263327786936066e-06,3.384051852484307e-06,0.000000000000000e+00,8.705268410140496e-07,3.671125703366662e-07,0.000000000000000e+00
7.595210575274238e-01,2.621463126498365e-05,6.486162035928791e-06,3.504935728743494e-06,0.000000000000000e+00,9.015458827353442e-07,3.802226547602814e-07,0.000000000000000e+00
7.689862303248209e-01,2.713144820656211e-05,6.713786809487815e-06,3.628446516208681e-06,0.000000000000000e+00,9.332345449349651e-07,3.936174177568702e-07,0.000000000000000e+00
7.785693583720386e-01,2.806799798092106e-05,6.946355820234113e-06,3.754668927257306e-06,0.000000000000000e+00,9.656143558720183e-07,4.073060365469843e-07,0.000000000000000e+00
7.882719116307200e-01,2.902489458023633e-05,7.184023702763020e-06,3.883688252272395e-06,0.000000000000000e+00,9.987069798309813e-07,4.212977504470943e-07,0.000000000000000e+00
7.980953783812121e-01,3.000275640893115e-05,7.426946312322945e-06,4.015590523370037e-06,0.000000000000000e+00,1.032534258868019e-06,4.356018786136488e-07,0.000000000000000e+00
8.080412654508532e-01,3.100220736235859e-05,7.675280995744244e-06,4.150462663327495e-06,0.000000000000000e+00,1.067118250719459e-06,4.502278361801621e-07,0.000000000000000e+00
8.181110984451064e-01,3.202387781030930e-05,7.929186839112962e-06,4.288392622133474e-06,0.000000000000000e+00,1.102481263496473e-06,4.651851490500803e-07,0.000000000000000e+00
8.283064219815729e-01,3.306840550041081e-05,8.188824895909973e-06,4.429469503166138e-06,0.000000000000000e+00,1.138645887682644e-06,4.804834675630440e-07,0.000000000000000e+00
8.386287999269220e-01,3.413643639395564e-05,8.454358398713094e-06,4.573783680669456e-06,0.000000000000000e+00,1.175635025864636e-06,4.961325792157924e-07,0.000000000000000e+00
8.490798156367733e-01,3.522862544464317e-05,8.725952957054393e-06,4.721426909926866e-06,0.000000000000000e+00,1.213471920556124e-06,5.121424205894972e-07,0.000000000000000e+00
8.596610721985691e-01,3.634563732905008e-05,9.003776743613204e-06,4.872492431310210e-06,0.000000000000000e+00,1.252180180418036e-06,5.285230886113167e-07,0.000000000000000e+00
8.703741926774721e-01,3.748814713627353e-05,9.288000670588359e-06,5.027075069200642e-06,0.000000000000000e+00,1.291783805131397e-06,5.452848512582838e-07,0.000000000000000e+00
8.812208203653288e-01,3.865684102306511e-05,9.578798557815463e-06,5.185271326629241e-06,0.000000000000000e+00,1.332307209140595e-06,5.624381577954963e-07,0.000000000000000e+00
8.922026190327353e-01,3.985241683983921e-05,9.876347293965511e-06,5.347179476361847e-06,0.000000000000000e+00,1.373775244453055e-06,5.799936486271711e-07,0.000000000000000e+00
