# energy,pi_pi_pi0,pi_pi_a,mu_mu
5.109989461000004e-01,2.744305509193206e-13,5.715907762224331e-14,1.340676848863445e-17
5.174340977167591e-01,1.072615304493528e-06,2.233990153866226e-07,5.056683729801290e-11
5.239502889846691e-01,1.545510426486847e-06,3.218797341905006e-07,7.284676100860332e-11
5.305485404585596e-01,1.928594994823939e-06,4.016493566513325e-07,9.088565337207663e-11
5.372298855453902e-01,2.269051606517790e-06,4.725357522761262e-07,1.069089674482259e-10
5.439953706661010e-01,2.584900562857851e-06,5.382924777996015e-07,1.217666964736625e-10
5.508460554195018e-01,2.885289557016231e-06,6.008249408480919e-07,1.358902980282507e-10
5.577830127482245e-01,3.175617622732856e-06,6.612576909877083e-07,1.495343764773490e-10
5.648073291067650e-01,3.459394032613533e-06,7.203216239434954e-07,1.628643688943397e-10
5.719201046316430e-01,3.739061283590913e-06,7.785254098688979e-07,1.759953688075602e-10
5.791224533137024e-01,4.016409981538520e-06,8.362419150651429e-07,1.890116993511179e-10
5.864155031725833e-01,4.292808262554776e-06,8.937559916404376e-07,2.019777373632426e-10
5.938003964333903e-01,4.569337810648184e-06,9.512928109582302e-07,2.149443309983036e-10
6.012782897055859e-01,4.846879021626266e-06,1.009035603990746e-06,2.279528180753084e-10
6.088503541641368e-01,5.126166725931022e-06,1.067137268888202e-06,2.410376553250367e-10
6.165177757329411e-01,5.407827997681931e-06,1.125728246932620e-06,2.542282023683454e-10
6.242817552705660e-01,5.692408605643458e-06,1.184922032466715e-06,2.675499697250099e-10
6.321435087583238e-01,5.980392008582255e-06,1.244819129708784e-06,2.810255149799356e-10
6.401042674907177e-01,6.272213309499874e-06,1.305509959411962e-06,2.946751010323443e-10
6.481652782682837e-01,6.568269712890704e-06,1.367077037030142e-06,3.085171892904015e-10
6.563278035928637e-01,6.868928501345868e-06,1.429596634102222e-06,3.225688157694110e-10
6.645931218653357e-01,7.174533217474963e-06,1.493140065751688e-06,3.368458824643640e-10
6.729625275858349e-01,7.485408524567049e-06,1.557774702922086e-06,3.513633863381659e-10
6.814373315564960e-01,7.801864079262825e-06,1.623564778774159e-06,3.661356016534717e-10
6.900188610867493e-01,8.124197655057440e-06,1.690572038994653e-06,3.811762269188532e-10
6.987084602012010e-01,8.452697690536231e-06,1.758856272243603e-06,3.964985046564527e-10
