# energy,pi_pi_eta,rho0_a,pi0_pi0_eta,omega_a,a_a,pi_rho
5.109989461000004e-01,6.641658715711132e-13,3.733675859953307e-13,7.680474561711945e-14,3.900698923065350e-14,0.000000000000000e+00,1.343335414390898e-15
5.180192033617304e-01,2.715125368918116e-06,1.525919172607670e-06,3.139750634008267e-07,1.594436412080926e-07,0.000000000000000e+00,5.490650225387940e-09
5.251359070298512e-01,3.918748980499326e-06,2.201758781315793e-06,4.531546554541004e-07,2.300998170818420e-07,0.000000000000000e+00,7.923311809968353e-09
5.323503821141109e-01,4.898330707695443e-06,2.751377486374905e-06,5.664228909834666e-07,2.875862772563227e-07,0.000000000000000e+00,9.902213465946433e-09
5.396639718276403e-01,5.772779276657458e-06,3.241648568753415e-06,6.675307831264571e-07,3.388877529415607e-07,0.000000000000000e+00,1.166792066609869e-08
5.470780378370359e-01,6.587488599769619e-06,3.698101747059956e-06,7.617278466755258e-07,3.866706812210450e-07,0.000000000000000e+00,1.331227129625257e-08
5.545939605158801e-01,7.365510212745283e-06,4.133699175426362e-06,8.516798267360763e-07,4.322891075296097e-07,0.000000000000000e+00,1.488189759125991e-08
5.622131392017422e-01,8.120466271057941e-06,4.556098516465589e-06,9.389619996668221e-07,4.765430561781943e-07,0.000000000000000e+00,1.640435068625918e-08
5.699369924567128e-01,8.861230944831908e-06,4.970285175428624e-06,1.024600553935500e-06,5.199536190038237e-07,0.000000000000000e+00,1.789757211875041e-08
5.777669583315147e-01,9.594001667208391e-06,5.379738255477272e-06,1.109312115394422e-06,5.628845445114363e-07,0.000000000000000e+00,1.937408575691079e-08
5.857044946332446e-01,1.032334264858621e-05,5.787017227528351e-06,1.193624426208137e-06,6.056036422283472e-07,0.000000000000000e+00,2.084310890538759e-08
5.937510791967913e-01,1.105276162078037e-05,6.194086113020035e-06,1.277943045763025e-06,6.483166178799556e-07,0.000000000000000e+00,2.231171897855657e-08
6.019082101599842e-01,1.178505158950260e-05,6.602506579860210e-06,1.362590867423342e-06,6.911871220402067e-07,0.000000000000000e+00,2.378554515603119e-08
6.101774062425208e-01,1.252250472497767e-05,7.013557639693171e-06,1.447832859779079e-06,7.343493874455318e-07,0.000000000000000e+00,2.526920208546655e-08
6.185602070287270e-01,1.326705228051771e-05,7.428314250295019e-06,1.533892246517170e-06,7.779164152630433e-07,0.000000000000000e+00,2.676657256318181e-08
6.270581732542010e-01,1.402035949866780e-05,7.847701361380888e-06,1.620961476927867e-06,8.219855246431151e-07,0.000000000000000e+00,2.828099947023109e-08
6.356728870963964e-01,1.478389200290809e-05,8.272530969420641e-06,1.709209910922204e-06,8.666422790631763e-07,0.000000000000000e+00,2.981541991230636e-08
6.444059524691965e-01,1.555896350192373e-05,8.703528617117638e-06,1.798789334334590e-06,9.119633064333054e-07,0.000000000000000e+00,3.137246151367540e-08
6.532589953215365e-01,1.634677083438331e-05,9.141353324071619e-06,1.889838004904517e-06,9.580183367310331e-07,0.000000000000000e+00,3.295451429551040e-08
6.622336639401269e-01,1.714842024495960e-05,9.586612607483817e-06,1.982483697756830e-06,1.004871739633820e-06,0.000000000000000e+00,3.456378337651867e-08
6.713316292563369e-01,1.796494746146079e-05,1.003987358927132e-05,2.076846027834170e-06,1.052583690349616e-06,0.000000000000000e+00,3.620232944183898e-08
6.805545851572939e-01,1.879733328042984e-05,1.050167163905473e-05,2.173038246674843e-06,1.101211125735652e-06,0.000000000000000e+00,3.787210022213782e-08
6.899042488012560e-01,1.964651583566282e-05,1.097251709146163e-05,2.271168660560829e-06,1.150808444454588e-06,0.000000000000000e+00,3.957495527907528e-08
6.993823609373181e-01,2.051340039468653e-05,1.145290109163853e-05,2.371341770973366e-06,1.201428079299287e-06,0.000000000000000e+00,4.131268550280253e-08
7.089906862295099e-01,2.139886730851318e-05,1.194329995704294e-05,2.473659189354270e-06,1.253120961960639e-06,0.000000000000000e+00,4.308702937051263e-08
7.187310135853467e-01,2.230377850999623e-05,1.244417878159673e-05,2.578220383886792e-06,1.305936889172368e-06,0.000000000000000e+00,4.489968628705909e-08
7.286051564888932e-01,2.322898289839111e-05,1.295599438807958e-05,2.685123304212497e-06,1.359924856087314e-06,0.000000000000000e+00,4.675232715934442e-08
7.386149533384039e-01,2.417532084809401e-05,1.347919771509759e-05,2.794464908640796e-06,1.415133328268403e-06,0.000000000000000e+00,4.864660355074364e-08
7.487622677886014e-01,2.514362804823526e-05,1.401423599212773e-05,2.906341604053489e-06,1.471610453782097e-06,0.000000000000000e+00,5.058415526426491e-08
7.590489890976579e-01,2.613473877945848e-05,1.456155476933258e-05,3.020849620763714e-06,1.529404253971965e-06,0.000000000000000e+00,5.256661688684205e-08
7.694770324789427e-01,2.714948875205553e-05,1.512159925620047e-05,3.138085339154387e-06,1.588562788450364e-06,0.000000000000000e+00,5.459562343705965e-08
7.800483394576024e-01,2.818871757756023e-05,1.569481576834036e-05,3.258145582611124e-06,1.649134297090359e-06,0.000000000000000e+00,5.667281517578836e-08
7.907648782320404e-01,2.925327096083175e-05,1.628165288690711e-05,3.381127869637042e-06,1.711167317223270e-06,0.000000000000000e+00,5.879984178160321e-08
8.016286440403618e-01,3.034400266764474e-05,1.688256249455455e-05,3.507130637961013e-06,1.774710818088246e-06,0.000000000000000e+00,6.097836679209722e-08
8.126416595318532e-01,3.146177628314118e-05,1.749800059371269e-05,3.636253442112401e-06,1.839814292128286e-06,0.000000000000000e+00,6.321007075500467e-08
8.238059751435656e-01,3.260746681114807e-05,1.812842825035964e-05,3.768597143500732e-06,1.906527849816522e-06,0.000000000000000e+00,6.549665432250070e-08
