# energy,pi0_pi0_pi0,pi_pi_pi0,pi_e_nu,pi_mu_nu,pi_pi,pi0_pi0
5.109989461000000e-01,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
5.180944287642802e-01,0.000000000000000e+00,5.567903684753052e-07,1.172767121210084e-06,1.516016649327473e-06,1.294080490638901e-08,0.000000000000000e+00
5.252884358474919e-01,0.000000000000000e+00,8.037229114089770e-07,1.692930358499529e-06,2.188473013135944e-06,1.868022899598917e-08,0.000000000000000e+00
5.325823354117649e-01,0.000000000000000e+00,1.004840805571543e-06,2.116452954095579e-06,2.736029056230724e-06,2.335313224017264e-08,0.000000000000000e+00
5.399775145154739e-01,0.000000000000000e+00,1.184530448401383e-06,2.494676515234364e-06,3.225050926466212e-06,2.752598878794093e-08,0.000000000000000e+00
5.474753794770112e-01,0.000000000000000e+00,1.352033764203608e-06,2.847206869646117e-06,3.680889371687576e-06,3.141509801560129e-08,0.000000000000000e+00
5.550773561422216e-01,0.000000000000000e+00,1.512109180284362e-06,3.183994810109910e-06,4.116404225517865e-06,3.513033646914922e-08,0.000000000000000e+00
5.627848901555519e-01,0.000000000000000e+00,1.667527684442292e-06,3.510921541282541e-06,4.539186143077573e-06,3.873680691530249e-08,0.000000000000000e+00
5.705994472349634e-01,0.000000000000000e+00,1.820117982093327e-06,3.831812298074103e-06,4.954194447928915e-06,4.227637676512766e-08,0.000000000000000e+00
5.785225134506641e-01,0.000000000000000e+00,1.971153746890580e-06,4.149352823913305e-06,5.364896397531889e-06,4.577882742188299e-08,0.000000000000000e+00
5.865555955077094e-01,0.000000000000000e+00,2.121574247304138e-06,4.465524732563230e-06,5.773832624437912e-06,4.926612485820185e-08,0.000000000000000e+00
5.947002210325281e-01,0.000000000000000e+00,2.272100127603105e-06,4.781812342389820e-06,6.182981553169658e-06,5.275455466804497e-08,0.000000000000000e+00
6.029579388634259e-01,0.000000000000000e+00,2.423301867263795e-06,5.099465457552838e-06,6.593880610744745e-06,5.625770424473545e-08,0.000000000000000e+00
6.113303193451232e-01,0.000000000000000e+00,2.575668655390037e-06,5.419455364492483e-06,7.007840732574452e-06,5.978661644632236e-08,0.000000000000000e+00
6.198189546273833e-01,0.000000000000000e+00,2.729591927706772e-06,5.742614731338778e-06,7.425921213340197e-06,6.335006685229449e-08,0.000000000000000e+00
6.284254589677860e-01,0.000000000000000e+00,2.885444250451848e-06,6.069676688089897e-06,7.849078648517485e-06,6.695664514844810e-08,0.000000000000000e+00
6.371514690387063e-01,0.000000000000000e+00,3.043527984074255e-06,6.401278868708530e-06,8.278124231727977e-06,7.061314406902614e-08,0.000000000000000e+00
6.459986442385552e-01,0.000000000000000e+00,3.204101239399295e-06,6.737976617118225e-06,8.713794558195630e-06,7.432600885024448e-08,0.000000000000000e+00
6.549686670073422e-01,0.000000000000000e+00,3.367435848963640e-06,7.080313738528983e-06,9.156787673103654e-06,7.810030391449291e-08,0.000000000000000e+00
6.640632431466204e-01,0.000000000000000e+00,3.533832676345962e-06,7.428753717852889e-06,9.607690082983989e-06,8.194174576411552e-08,0.000000000000000e+00
