# energy,pi_pi,pi0_pi0
5.109989461000000e-01,0.000000000000000e+00,0.000000000000000e+00
5.180944287642802e-01,4.552637008246666e-06,0.000000000000000e+00
5.252884358474919e-01,6.571793830820796e-06,0.000000000000000e+00
5.325823354117649e-01,8.215743523233076e-06,0.000000000000000e+00
5.399775145154739e-01,9.683774398197825e-06,0.000000000000000e+00
5.474753794770112e-01,1.105198160996243e-05,0.000000000000000e+00
5.550773561422216e-01,1.235902025249174e-05,0.000000000000000e+00
5.627848901555519e-01,1.362779379023351e-05,0.000000000000000e+00
5.705994472349634e-01,1.487303137847907e-05,0.000000000000000e+00
5.785225134506641e-01,1.610521025721557e-05,0.000000000000000e+00
5.865555955077094e-01,1.733205816058753e-05,0.000000000000000e+00
5.947002210325281e-01,1.855930443837678e-05,0.000000000000000e+00
6.029579388634259e-01,1.979172920048649e-05,0.000000000000000e+00
6.113303193451232e-01,2.103321737715052e-05,0.000000000000000e+00
6.198189546273833e-01,2.228685625917020e-05,0.000000000000000e+00
6.284254589677860e-01,2.355566773905749e-05,0.000000000000000e+00
6.371514690387063e-01,2.484204153318052e-05,0.000000000000000e+00
6.459986442385552e-01,2.614824510644086e-05,0.000000000000000e+00
6.549686670073422e-01,2.747606014683736e-05,0.000000000000000e+00
6.640632431466204e-01,2.882749774721298e-05,0.000000000000000e+00
6.732841021438725e-01,3.020450006100929e-05,0.000000000000000e+00
6.826329975014030e-01,3.160840780413678e-05,0.000000000000000e+00
6.921117070697962e-01,3.304103856171264e-05,0.000000000000000e+00
7.017220333860036e-01,3.450361194006902e-05,0.000000000000000e+00
7.114658040161284e-01,3.599811008174932e-05,0.000000000000000e+00
7.213448719029665e-01,3.752577165070992e-05,0.000000000000000e+00
7.313611157183760e-01,3.908773919652039e-05,0.000000000000000e+00
7.415164402205382e-01,4.068568308268188e-05,0.000000000000000e+00
7.518127766161792e-01,4.232136647421396e-05,0.000000000000000e+00
7.622520829278218e-01,4.399549855369644e-05,0.000000000000000e+00
7.728363443661368e-01,4.571012620408304e-05,0.000000000000000e+00
7.835675737074641e-01,4.746614046972888e-05,0.000000000000000e+00
7.944478116765760e-01,4.926580497861713e-05,0.000000000000000e+00
8.054791273347561e-01,5.110975305938446e-05,0.000000000000000e+00
8.166636184732661e-01,5.299955802081055e-05,0.000000000000000e+00
8.280034120122755e-01,5.493558927080202e-05,0.000000000000000e+00
8.395006644053328e-01,5.691982732629324e-05,0.000000000000000e+00
8.511575620494505e-01,5.895401480680126e-05,0.000000000000000e+00
8.629763217008863e-01,6.104068786691573e-05,0.000000000000000e+00
8.749591908966960e-01,6.319294694218210e-05,0.000000000000000e+00
8.871084483821414e-01,6.537614839172236e-05,0.000000000000000e+00
8.994264045440319e-01,6.763102746325360e-05,0.000000000000000e+00
9.119154018500835e-01,6.994485973019264e-05,0.000000000000000e+00
9.245778152943788e-01,7.233469909994325e-05,0.000000000000000e+00
9.374160528490126e-01,7.477117391057566e-05,0.000000000000000e+00
9.504325559220083e-01,7.725950365920739e-05,0.000000000000000e+00
9.636297998215922e-01,7.982888417444687e-05,0.000000000000000e+00
9.770102942269171e-01,8.246534489603212e-05,0.000000000000000e+00
9.905765836653180e-01,8.517636775311548e-05,0.000000000000000e+00
