,photon_energies,1e15.0,1e15.05,1e15.1,1e15.15,1e15.2,1e15.25,1e15.3,1e15.35,1e15.4,1e15.45,1e15.5,1e15.55,1e15.6,1e15.65,1e15.7,1e15.75,1e15.8,1e15.85,1e15.9,1e15.95,1e16.0,1e16.05,1e16.1,1e16.15,1e16.2,1e16.25,1e16.3,1e16.35,1e16.4,1e16.45,1e16.5,1e16.55,1e16.6,1e16.65,1e16.7,1e16.75,1e16.8,1e16.85,1e16.9,1e16.95,1e17.0,1e17.05,1e17.1,1e17.15,1e17.2,1e17.25,1e17.3,1e17.35,1e17.4,1e17.45,1e17.5,1e17.55,1e17.6,1e17.65,1e17.7,1e17.75,1e17.8,1e17.85,1e17.9,1e17.95,1e18.0
0,1e-06,5.48441e+23,4.3591e+23,3.47561e+23,2.77293e+23,2.2113e+23,1.76359e+23,1.40733e+23,1.12293e+23,8.9478e+22,7.11595e+22,5.65245e+22,4.4896e+22,3.56635e+22,2.83094e+22,2.24182e+22,1.76719e+22,1.38361e+22,1.07339e+22,8.22537e+21,6.19909e+21,4.57399e+21,3.30101e+21,2.34314e+21,1.65021e+21,1.15649e+21,7.98492e+20,5.31271e+20,3.31931e+20,1.91333e+20,1.01398e+20,4.9929e+19,2.33754e+19,1.05781e+19,4.42681e+18,1.55187e+18,4.50365e+17,1.18927e+17,2.79023e+16,4928960000000000.0,752439000000000.0,112536000000000.0,44364200000000.0,52004900000000.0,72170500000000.0,101043000000000.0,141510000000000.0,198184000000000.0,277558000000000.0,388720000000000.0,544403000000000.0,762436000000000.0,1067790000000000.0,1495450000000000.0,2094370000000000.0,2933170000000000.0,4107910000000000.0,5753140000000000.0,8057270000000000.0,1.12842e+16,1.58036e+16,2.21329e+16
1,1.052e-06,5.23429e+23,4.163e+23,3.31919e+23,2.647e+23,2.11008e+23,1.68258e+23,1.34246e+23,1.07072e+23,8.52498e+22,6.77376e+22,5.37729e+22,4.26878e+22,3.38889e+22,2.6879e+22,2.1264e+22,1.67473e+22,1.311e+22,1.01804e+22,7.81631e+21,5.90393e+21,4.36506e+21,3.1552e+21,2.24219e+21,1.58083e+21,1.10925e+21,7.66849e+20,5.1093e+20,3.19609e+20,1.84369e+20,9.77336e+19,4.81261e+19,2.25486e+19,1.02122e+19,4.27385e+18,1.49811e+18,4.34799e+17,1.14767e+17,2.69293e+16,4753020000000000.0,729143000000000.0,113468000000000.0,49954100000000.0,60220200000000.0,83702700000000.0,117195000000000.0,164131000000000.0,229865000000000.0,321927000000000.0,450859000000000.0,631429000000000.0,884316000000000.0,1238490000000000.0,1734500000000000.0,2429170000000000.0,3402060000000000.0,4764590000000000.0,6672810000000000.0,9345280000000000.0,1.30881e+16,1.83299e+16,2.5671e+16
2,1.107e-06,4.99136e+23,3.96577e+23,3.15695e+23,2.51523e+23,2.00529e+23,1.60003e+23,1.27689e+23,1.01788e+23,8.09908e+22,6.43683e+22,5.11611e+22,4.06844e+22,3.23518e+22,2.56916e+22,2.03401e+22,1.60278e+22,1.25524e+22,9.75118e+21,7.48849e+21,5.65521e+21,4.17788e+21,3.01532e+21,2.138e+21,1.50365e+21,1.05282e+21,7.26873e+20,4.84148e+20,3.02872e+20,1.74711e+20,9.25559e+19,4.55465e+19,2.13538e+19,9.68043e+18,4.04977e+18,1.41829e+18,4.11616e+17,1.08653e+17,2.54572e+16,4496560000000000.0,693304000000000.0,113741000000000.0,56408400000000.0,69802100000000.0,97157200000000.0,136040000000000.0,190523000000000.0,266828000000000.0,373693000000000.0,523357000000000.0,732962000000000.0,1026510000000000.0,1437630000000000.0,2013410000000000.0,2819780000000000.0,3949110000000000.0,5530730000000000.0,7745800000000000.0,1.0848e+16,1.51926e+16,2.12773e+16,2.97989e+16
3,1.164e-06,4.76892e+23,3.78843e+23,3.01407e+23,2.40028e+23,1.91321e+23,1.52632e+23,1.21761e+23,9.69878e+22,7.71029e+22,6.12386e+22,4.86476e+22,3.86625e+22,3.07204e+22,2.4372e+22,1.92775e+22,1.51866e+22,1.19034e+22,9.26378e+21,7.1295e+21,5.3948e+21,3.99208e+21,2.88501e+21,2.04817e+21,1.44239e+21,1.01119e+21,6.99034e+20,4.66166e+20,2.91891e+20,1.68463e+20,8.92669e+19,4.39543e+19,2.06175e+19,9.34649e+18,3.91161e+18,1.37067e+18,3.97685e+17,1.04998e+17,2.46148e+16,4347980000000000.0,674980000000000.0,116675000000000.0,64003800000000.0,80758700000000.0,112523000000000.0,157561000000000.0,220664000000000.0,309040000000000.0,432811000000000.0,606152000000000.0,848916000000000.0,1188910000000000.0,1665070000000000.0,2331930000000000.0,3265870000000000.0,4573850000000000.0,6405690000000000.0,8971170000000000.0,1.25641e+16,1.75961e+16,2.46434e+16,3.4513e+16
4,1.225e-06,4.54509e+23,3.60442e+23,2.86437e+23,2.28099e+23,1.81924e+23,1.4518e+23,1.15764e+23,9.21483e+22,7.32629e+22,5.82557e+22,4.63569e+22,3.69048e+22,2.93625e+22,2.33143e+22,1.84517e+22,1.45439e+22,1.14056e+22,8.88021e+21,6.83501e+21,5.16988e+21,3.82136e+21,2.75624e+21,1.95188e+21,1.37113e+21,9.59452e+20,6.62711e+20,4.41743e+20,2.76423e+20,1.59363e+20,8.4358e+19,4.15347e+19,1.9493e+19,8.83405e+18,3.6919e+18,1.29239e+18,3.74971e+17,9.89249e+16,2.31661e+16,4098220000000000.0,641372000000000.0,118824000000000.0,72864700000000.0,93685300000000.0,130660000000000.0,182963000000000.0,256240000000000.0,358864000000000.0,502589000000000.0,703877000000000.0,985780000000000.0,1380590000000000.0,1933510000000000.0,2707890000000000.0,3792400000000000.0,5311260000000000.0,7438430000000000.0,1.04175e+16,1.45898e+16,2.0433e+16,2.86164e+16,4.00773e+16
5,1.289e-06,4.34331e+23,3.4421e+23,2.73374e+23,2.17635e+23,1.7355e+23,1.38449e+23,1.10316e+23,8.77334e+22,6.97058e+22,5.53976e+22,4.40576e+22,3.50485e+22,2.78591e+22,2.21002e+22,1.74854e+22,1.37924e+22,1.08355e+22,8.45464e+21,6.52055e+21,4.94001e+21,3.65582e+21,2.63959e+21,1.87145e+21,1.31629e+21,9.22334e+20,6.37933e+20,4.25684e+20,2.66589e+20,1.53791e+20,8.14716e+19,4.01393e+19,1.8839e+19,8.53937e+18,3.57202e+18,1.25129e+18,3.6305e+17,9.58115e+16,2.24609e+16,3974900000000000.0,628272000000000.0,124246000000000.0,83364600000000.0,108656000000000.0,151645000000000.0,212353000000000.0,297400000000000.0,416510000000000.0,583322000000000.0,816943000000000.0,1144130000000000.0,1602360000000000.0,2244100000000000.0,3142870000000000.0,4401590000000000.0,6164430000000000.0,8633290000000000.0,1.20909e+16,1.69334e+16,2.37152e+16,3.32132e+16,4.65151e+16
6,1.356e-06,4.13284e+23,3.27122e+23,2.59772e+23,2.06929e+23,1.65075e+23,1.31641e+23,1.04817e+23,8.33574e+22,6.62982e+22,5.27772e+22,4.20454e+22,3.34934e+22,2.66459e+22,2.11495e+22,1.6741e+22,1.32109e+22,1.03817e+22,8.10011e+21,6.24338e+21,4.72411e+21,3.48927e+21,2.5135e+21,1.77795e+21,1.24817e+21,8.73587e+20,6.03619e+20,4.02238e+20,2.51411e+20,1.44725e+20,7.6566e+19,3.77023e+19,1.76858e+19,8.00645e+18,3.34098e+18,1.16714e+18,3.38163e+17,8.91599e+16,2.0841e+16,3688590000000000.0,590455000000000.0,127732000000000.0,95249200000000.0,125930000000000.0,175879000000000.0,246295000000000.0,344935000000000.0,483082000000000.0,676558000000000.0,947520000000000.0,1327000000000000.0,1858470000000000.0,2602790000000000.0,3645210000000000.0,5105120000000000.0,7149720000000000.0,1.00132e+16,1.40235e+16,1.96399e+16,2.75057e+16,3.85218e+16,5.13133e+16
7,1.427e-06,3.94679e+23,3.12215e+23,2.47858e+23,1.97407e+23,1.57432e+23,1.25459e+23,9.98056e+22,7.93159e+22,6.30502e+22,5.01638e+22,3.99354e+22,3.17835e+22,2.52622e+22,2.00435e+22,1.58759e+22,1.25497e+22,9.88384e+21,7.72762e+21,5.96623e+21,4.51982e+21,3.34137e+21,2.40892e+21,1.70506e+21,1.19749e+21,8.38131e+20,5.7868e+20,3.84991e+20,2.40093e+20,1.37917e+20,7.28399e+19,3.58199e+19,1.67883e+19,7.58952e+18,3.1567e+18,1.09892e+18,3.17809e+17,8.36873e+16,1.94943e+16,3447740000000000.0,560238000000000.0,133449000000000.0,109270000000000.0,146120000000000.0,204192000000000.0,285949000000000.0,400472000000000.0,560861000000000.0,785487000000000.0,1100080000000000.0,1540660000000000.0,2157690000000000.0,3021850000000000.0,4232100000000000.0,5927070000000000.0,8300870000000000.0,1.16254e+16,1.62814e+16,2.28021e+16,3.19343e+16,4.4724e+16,6.1372e+16
8,1.501e-06,3.75097e+23,2.96656e+23,2.35641e+23,1.87765e+23,1.49702e+23,1.19213e+23,9.48221e+22,7.54264e+22,6.00553e+22,4.78637e+22,3.81585e+22,3.03968e+22,2.41737e+22,1.9189e+22,1.52053e+22,1.20232e+22,9.46876e+21,7.39892e+21,5.70571e+21,4.31453e+21,3.18252e+21,2.28906e+21,1.61667e+21,1.13332e+21,7.91689e+20,5.45223e+20,3.61546e+20,2.24679e+20,1.2871e+20,6.78723e+19,3.33468e+19,1.56124e+19,7.04169e+18,2.91968e+18,1.01514e+18,2.9364e+17,7.72053e+16,1.79795e+16,3194530000000000.0,529589000000000.0,140951000000000.0,125494000000000.0,169342000000000.0,236745000000000.0,331542000000000.0,464325000000000.0,650287000000000.0,910728000000000.0,1275480000000000.0,1786310000000000.0,2501720000000000.0,3503670000000000.0,4906890000000000.0,6872100000000000.0,9624390000000000.0,1.3479e+16,1.88773e+16,2.64377e+16,3.7026e+16,4.99046e+16,7.30429e+16
9,1.579e-06,3.58216e+23,2.83145e+23,2.24834e+23,1.79088e+23,1.42688e+23,1.13525e+23,9.02301e+22,7.17345e+22,5.70845e+22,4.54646e+22,3.62128e+22,2.88191e+22,2.29074e+22,1.81922e+22,1.44375e+22,1.14391e+22,9.0256e+21,7.06228e+21,5.4502e+21,4.12254e+21,3.04156e+21,2.18851e+21,1.54693e+21,1.08579e+21,7.59357e+20,5.23398e+20,3.47388e+20,2.16263e+20,1.24224e+20,6.56789e+19,3.23276e+19,1.51444e+19,6.83355e+18,2.84536e+18,9.96055e+17,2.89046e+17,7.60964e+16,1.78764e+16,3195870000000000.0,540418000000000.0,155225000000000.0,144831000000000.0,196345000000000.0,274556000000000.0,384495000000000.0,538486000000000.0,754150000000000.0,1056190000000000.0,1479190000000000.0,2071610000000000.0,2901290000000000.0,4063260000000000.0,5690610000000000.0,7969700000000000.0,1.11616e+16,1.56318e+16,2.18924e+16,3.06603e+16,4.29398e+16,5.84607e+16,8.64313e+16
