# energy,pi_pi_pi0,pi_pi_a,mu_mu
2.633263662475576e-02,1.787333654346379e-08,3.726410525102658e-09,8.478204568294722e-13
2.682318705555524e-02,1.854527107710473e-08,3.866494927141929e-09,8.796846167303739e-13
2.732287594554460e-02,1.924246275427148e-08,4.011844510640363e-09,9.127459959089340e-13
2.783187353499096e-02,1.996586074589343e-08,4.162657119398029e-09,9.470495570015033e-13
2.835035323556569e-02,2.071644988093864e-08,4.319138028398253e-09,9.826419501164748e-13
2.887849168942449e-02,2.149525198531089e-08,4.481500222759971e-09,1.019571576101033e-12
2.941646882938806e-02,2.230332727098075e-08,4.649964687151793e-09,1.057888652176211e-12
2.996446794024389e-02,2.314177577723312e-08,4.824760706059556e-09,1.097645280028670e-12
3.052267572118994e-02,2.401173886598420e-08,5.006126175313788e-09,1.138895516450950e-12
3.109128234944175e-02,2.491440077319380e-08,5.194307925298748e-09,1.181695446625333e-12
3.167048154502433e-02,2.585099021847471e-08,5.389562056280405e-09,1.226103260149998e-12
3.226047063677114e-02,2.682278207507946e-08,5.592154286307057e-09,1.272179329909822e-12
3.286145062955256e-02,2.783109910252631e-08,5.802360312153316e-09,1.319986293897990e-12
3.347362627275678e-02,2.887731374421091e-08,6.020466183795635e-09,1.369589140098513e-12
3.409720613004628e-02,2.996284999243758e-08,6.246768692925905e-09,1.421055294543843e-12
3.473240265041402e-02,3.108918532339547e-08,6.481575776028484e-09,1.474454712666037e-12
3.537943224056314e-02,3.225785270469923e-08,6.725206932565712e-09,1.529859974064293e-12
3.603851533863518e-02,3.347044267821106e-08,6.977993658837177e-09,1.587346380816261e-12
3.670987648931163e-02,3.472860552096358e-08,7.240279898099254e-09,1.646992059465260e-12
3.739374442031470e-02,3.603405348710746e-08,7.512422507553235e-09,1.708878066820427e-12
3.809035212033308e-02,3.738856313391731e-08,7.794791742833036e-09,1.773088499711903e-12
3.879993691839948e-02,3.879397773500247e-08,8.087771760647123e-09,1.839710608848478e-12
3.952274056474684e-02,4.025220978398756e-08,8.391761140253585e-09,1.908834916930515e-12
4.025900931317082e-02,4.176524359204800e-08,8.707173424472703e-09,1.980555341176676e-12
4.100899400492666e-02,4.333513798281409e-08,9.034437680967584e-09,2.054969320428885e-12
4.177295015418889e-02,4.496402908828684e-08,9.373999084550638e-09,2.132177947005958e-12
4.255113803510310e-02,4.665413324954540e-08,9.726319521302017e-09,2.212286103482765e-12
