# energy,pi_pi_eta,pi_rho
4.628193151550052e-02,1.043564440801867e-07,8.410422666887476e-11
4.714411716620809e-02,1.082787299358580e-07,8.726554213507292e-11
4.802236446499179e-02,1.123483972658469e-07,9.054565776368045e-11
4.891697262413695e-02,1.165709817397304e-07,9.394903641587877e-11
4.982824642995164e-02,1.209522268195024e-07,9.748030851572180e-11
5.075649634660510e-02,1.254980915521734e-07,1.011442783363614e-10
5.170203862190052e-02,1.302147586541900e-07,1.049459305218130e-10
5.266519539501836e-02,1.351086428985793e-07,1.088904368530711e-10
5.364629480626672e-02,1.401863998161287e-07,1.129831632677124e-10
5.464567110887630e-02,1.454549347223317e-07,1.172296771424628e-10
5.566366478287796e-02,1.509214120822703e-07,1.216357548485628e-10
5.670062265110175e-02,1.565932652260530e-07,1.262073895901269e-10
5.775689799733683e-02,1.624782064279007e-07,1.309507995360753e-10
5.883285068669264e-02,1.685842373624584e-07,1.358724362566110e-10
5.992884728820216e-02,1.749196599524158e-07,1.409789934756223e-10
6.104526119970945e-02,1.814930876220441e-07,1.462774161508156e-10
6.218247277508324e-02,1.883134569717981e-07,1.517749098938233e-10
6.334086945380081e-02,1.953900398896979e-07,1.574789507429863e-10
6.452084589294570e-02,2.027324561157874e-07,1.633972953019849e-10
6.572280410166437e-02,2.103506862765717e-07,1.695379912579818e-10
6.694715357812779e-02,2.182550854069660e-07,1.759093882934470e-10
6.819431144904432e-02,2.264563969779344e-07,1.825201494063664e-10
6.946470261177176e-02,2.349657674486813e-07,1.893792626540777e-10
7.075875987907657e-02,2.437947613629458e-07,1.964960533365475e-10
7.207692412659007e-02,2.529553770096892e-07,2.038801966354901e-10
7.341964444301141e-02,2.624600626692041e-07,2.115417307263381e-10
7.478737828310869e-02,2.723217334664673e-07,2.194910703807073e-10
7.618059162357048e-02,2.825537888543567e-07,2.277390210776552e-10
7.759975912176051e-02,2.931701307501997e-07,2.362967936427086e-10
7.904536427742988e-02,3.041851823499832e-07,2.451760194343450e-10
8.051789959744189e-02,3.156139076454638e-07,2.543887660983413e-10
8.201786676356537e-02,3.274718316703453e-07,2.639475539111585e-10
8.354577680339391e-02,3.397750615026639e-07,2.738653727343222e-10
8.510215026444919e-02,3.525403080515269e-07,2.841556996025698e-10
8.668751739152754e-02,3.657849086573861e-07,2.948325169693789e-10
8.830241830735049e-02,3.795268505361167e-07,3.059103316343717e-10
8.994740319658039e-02,3.937847950982814e-07,3.174041943779919e-10
9.162303249326446e-02,4.085781031761325e-07,3.293297203298005e-10
9.332987707177018e-02,4.239268611920890e-07,3.417031100977011e-10
9.506851844127807e-02,4.398519083036985e-07,3.545411716864310e-10
9.683954894389754e-02,4.563748645613609e-07,3.678613432346916e-10
9.864357195647334e-02,4.735181601164484e-07,3.816817166013858e-10
1.004812020961516e-01,4.913050655188368e-07,3.960210618325565e-10
1.023530654297753e-01,5.097597231443070e-07,4.108988525417861e-10
1.042597996871805e-01,5.289071797937633e-07,4.263352922380332e-10
1.062020544784660e-01,5.487734205077707e-07,4.423513416361384e-10
