# energy,pi_pi_pi0,pi_e_ve,pi_mu_vm,pi_pi
2.487993956432261e-02,1.574486309275118e-08,3.320895402720061e-08,4.290742653484393e-08,3.666924291702050e-10
2.534342771575479e-02,1.633674141420136e-08,3.445712469679571e-08,4.452019081985329e-08,3.804741147694726e-10
2.581555018343853e-02,1.695086551393010e-08,3.575219568773745e-08,4.619355927883076e-08,3.947736173824401e-10
2.629646781596704e-02,1.758807127203385e-08,3.709592857177191e-08,4.792980843585239e-08,4.096103842750677e-10
2.678634445838043e-02,1.824922596358908e-08,3.849015104412540e-08,4.973130028155676e-08,4.250045925903645e-10
2.728534700798645e-02,1.893522943707999e-08,3.993675940322081e-08,5.160048547902228e-08,4.409771767135693e-10
2.779364547122114e-02,1.964701533701700e-08,4.143772112325342e-08,5.353990668974086e-08,4.575498566617399e-10
2.831141302156882e-02,2.038555237240060e-08,4.299507752309566e-08,5.555220202417775e-08,4.747451675360103e-10
2.883882605856095e-02,2.115184563274692e-08,4.461094653512993e-08,5.764010862157481e-08,4.925864900761876e-10
2.937606426787412e-02,2.194693795345602e-08,4.628752557774239e-08,5.980646636382833e-08,5.110980823588596e-10
2.992331068254766e-02,2.277191133236986e-08,4.802709453534957e-08,6.205422172845220e-08,5.303051126816888e-10
3.048075174534159e-02,2.362788839943615e-08,4.983201884997411e-08,6.438643178582400e-08,5.502336936781774e-10
3.104857737225631e-02,2.451603394146586e-08,5.170475272853466e-08,6.680626834610492e-08,5.709109177088187e-10
3.162698101723550e-02,2.543755648404627e-08,5.364784247017071e-08,6.931702226142593e-08,5.923648935762672e-10
3.221615973807448e-02,2.639370993274854e-08,5.566392991808354e-08,7.192210788913983e-08,6.146247846139260e-10
3.281631426355636e-02,2.738579527584858e-08,5.775575604054101e-08,7.462506772215586e-08,6.377208481991855e-10
3.342764906183875e-02,2.841516235086252e-08,5.992616464586640e-08,7.742957719259540e-08,6.616844767444461e-10
3.405037241011458e-02,2.948321167728475e-08,6.217810623641201e-08,8.033944965524293e-08,6.865482402210439e-10
3.468469646557059e-02,3.059139635800454e-08,6.451464200670226e-08,8.335864155750362e-08,7.123459302732297e-10
3.533083733766765e-02,3.174122405197055e-08,6.693894799112514e-08,8.649125780283036e-08,7.391126059814808e-10
3.598901516176770e-02,3.293425902076771e-08,6.945431936674979e-08,8.974155731484256e-08,7.668846413366265e-10
3.665945417413219e-02,3.417212425187090e-08,7.206417491705585e-08,9.311395880962610e-08,7.956997744885449e-10
3.734238278831767e-02,3.545650366144220e-08,7.477206166257400e-08,9.661304678398266e-08,8.255971588355497e-10
3.803803367299462e-02,3.678914437964630e-08,7.758165966466128e-08,1.002435777276863e-07,8.566174160230528e-10
3.874664383121593e-02,3.817185912156870e-08,8.049678700886438e-08,1.040104865681036e-07,8.888026909226141e-10
3.946845468116204e-02,3.960652864693677e-08,8.352140497456413e-08,1.079188933558436e-07,9.221967086651317e-10
4.020371213839030e-02,4.109510431196275e-08,8.665962339784286e-08,1.119741102004273e-07,9.568448338046602e-10
4.095266669961660e-02,4.263961071675178e-08,8.991570623477342e-08,1.161816484652991e-07,9.927941316921814e-10
4.171557352805770e-02,4.424214845184578e-08,9.329407733259542e-08,1.205472262318480e-07,1.030093432141570e-09
4.249269254036343e-02,4.590489694760745e-08,9.679932641652120e-08,1.250767760424673e-07,1.068793395473072e-09
