# energy,pi_pi_pi0,mu_mu,pi_pi
5.041833038782722e-02,1.586826595050617e-07,5.675242378257868e-10,1.140625298326747e-10
5.135757297277549e-02,1.646398349145870e-07,5.887989676617643e-10,1.183410981143741e-10
5.231431269867615e-02,1.708204556025843e-07,6.108699177909542e-10,1.227799496865666e-10
5.328887551959732e-02,1.772328915287894e-07,6.337668128114482e-10,1.273850771414400e-10
5.428159346180227e-02,1.838858255434303e-07,6.575204827445950e-10,1.321626964377568e-10
5.529280473686828e-02,1.907882650474673e-07,6.821629039001369e-10,1.371192551875448e-10
5.632285385691281e-02,1.979495540852822e-07,7.077272412379793e-10,1.422614412479753e-10
5.737209175196620e-02,2.053793858857314e-07,7.342478922805871e-10,1.475961916295370e-10
5.844087588953090e-02,2.130878158680664e-07,7.617605326319199e-10,1.531307017320158e-10
5.952957039636796e-02,2.210852751298122e-07,7.903021631607511e-10,1.588724349201952e-10
6.063854618255234e-02,2.293825844343275e-07,8.199111589082799e-10,1.648291324516220e-10
6.176818106783914e-02,2.379909687164054e-07,8.506273197820192e-10,1.710088237692188e-10
6.291885991038398e-02,2.469220721249438e-07,8.824919231001250e-10,1.774198371719808e-10
6.409097473786139e-02,2.561879736224016e-07,9.155477780525760e-10,1.840708108774631e-10
6.528492488102552e-02,2.658012031614732e-07,9.498392821479033e-10,1.909707044902521e-10
6.650111710975931e-02,2.757747584601518e-07,9.854124797166101e-10,1.981288108911195e-10
6.773996577165783e-02,2.861221223971196e-07,1.022315122544835e-09,2.055547685620723e-10
6.900189293319352e-02,2.968572810501934e-07,1.060596732714423e-09,2.132585743630563e-10
7.028732852351095e-02,3.079947424013740e-07,1.100308667728152e-09,2.212505967766224e-10
7.159671048090059e-02,3.195495557329044e-07,1.141504188001632e-09,2.295415896374421e-10
7.293048490200101e-02,3.315373317396104e-07,1.184238526806171e-09,2.381427063641518e-10
7.428910619378071e-02,3.439742633837172e-07,1.228568962749836e-09,2.470655147116214e-10
7.567303722835121e-02,3.568771475192732e-07,1.274554894886893e-09,2.563220120623773e-10
7.708274950066404e-02,3.702634073142874e-07,1.322257920548960e-09,2.659246412765643e-10
7.851872328914561e-02,3.841511154996997e-07,1.371741915994345e-09,2.758863071205140e-10
7.998144781932441e-02,3.985590184753448e-07,1.423073119975379e-09,2.862203932946841e-10
8.147142143050659e-02,4.135065613041538e-07,1.476320220326925e-09,2.969407800824585e-10
8.298915174555634e-02,4.290139136269527e-07,1.531554443682768e-09,3.080618626420476e-10
8.453515584383919e-02,4.451019965313827e-07,1.588849648430209e-09,3.195985699645011e-10
8.610996043738721e-02,4.617925104096554e-07,1.648282421016919e-09,3.315663845216436e-10
8.771410205034573e-02,4.791079638411025e-07,1.709932175727947e-09,3.439813626285664e-10
8.934812720176315e-02,4.970717035367589e-07,1.773881258054754e-09,3.568601555461670e-10
9.101259259178590e-02,5.157079453845453e-07,1.840215051782256e-09,3.702200313500986e-10
9.270806529132200e-02,5.350418066349871e-07,1.909022089924018e-09,3.840788975934082e-10
9.443512293523788e-02,5.550993392688292e-07,1.980394169640186e-09,3.984553247910747e-10
9.619435391915430e-02,5.759075645893708e-07,2.054426471277106e-09,4.133685707556287e-10
9.798635759990824e-02,5.974945090838630e-07,2.131217681672283e-09,4.288386058140310e-10
9.981174449974940e-02,6.198892415998852e-07,2.210870121873069e-09,4.448861389370266e-10
1.016711365143405e-01,6.431219118842350e-07,2.293489879422312e-09,4.615326448132416e-10
1.035651671246324e-01,6.672237905335499e-07,2.379186945369327e-09,4.788003919014024e-10
