# energy,pi_pi
2.273832107961959e-02,1.077613222106511e-07
2.316191304119240e-02,1.118115967193665e-07
2.359339609328507e-02,1.160140627658087e-07
2.403291723894593e-02,1.203744367339897e-07
2.448062621974163e-02,1.248986495865378e-07
2.493667556677304e-02,1.295928549119478e-07
2.540122065264139e-02,1.344634372731958e-07
2.587441974438261e-02,1.395170208689809e-07
2.635643405738766e-02,1.447604785192762e-07
2.684742781032749e-02,1.502009409873017e-07
2.734756828110103e-02,1.558458066504902e-07
2.785702586382559e-02,1.617027515334780e-07
2.837597412688879e-02,1.677797397166416e-07
2.890458987208211e-02,1.740850341342047e-07
2.944305319483582e-02,1.806272077764573e-07
2.999154754557623e-02,1.874151553111752e-07
3.055025979222585e-02,1.944581051398857e-07
3.111938028386790e-02,2.017656319052079e-07
3.169910291559679e-02,2.093476694660996e-07
3.228962519457679e-02,2.172145243584666e-07
3.289114830733118e-02,2.253768897592428e-07
3.350387718828503e-02,2.338458599727159e-07
3.412802058958479e-02,2.426329454585777e-07
3.476379115221866e-02,2.517500884218956e-07
3.541140547846170e-02,2.612096789859533e-07
3.607108420567064e-02,2.710245719696887e-07
3.674305208145338e-02,2.812081042922589e-07
3.742753804023882e-02,2.917741130281000e-07
3.812477528127310e-02,3.027369541367167e-07
3.883500134806885e-02,3.141115218923327e-07
3.955845820933445e-02,3.259132690394661e-07
4.029539234141102e-02,3.381582277014583e-07
4.104605481224502e-02,3.508630310699908e-07
4.181070136692525e-02,3.640449359046494e-07
4.258959251481324e-02,3.777218458726902e-07
4.338299361829691e-02,3.919123357602602e-07
4.419117498319750e-02,4.066356765874919e-07
4.501441195086077e-02,4.219118616610859e-07
4.585298499196371e-02,4.377616335992370e-07
4.670717980206880e-02,4.542065123650550e-07
4.757728739895840e-02,4.712688243459574e-07
4.846360422178229e-02,4.889717325178979e-07
4.936643223205225e-02,5.073392677347375e-07
5.028607901651818e-02,5.263963611845414e-07
5.122285789196049e-02,5.461688780561286e-07
5.217708801193483e-02,5.666836524608096e-07
5.314909447550537e-02,5.879685236558889e-07
5.413920843800354e-02,6.100523736182343e-07
5.514776722385021e-02,6.329651660179936e-07
5.617511444147961e-02,6.567379866443808e-07
5.722160010040415e-02,6.814030853373668e-07
5.828758073045998e-02,7.069939194810885e-07
5.937341950327416e-02,7.335451991168466e-07
6.047948635599440e-02,7.610929337356805e-07
6.160615811732393e-02,7.896744808127276e-07
6.275381863590423e-02,8.193285961478445e-07
6.392285891108938e-02,8.500954860793368e-07
6.511367722615660e-02,8.820168616401137e-07
6.632667928399841e-02,9.151359947280923e-07
6.756227834534254e-02,9.494977763653502e-07
6.882089536954679e-02,9.851487771232121e-07
7.010295915801670e-02,1.022137309793321e-06
7.140890650029512e-02,1.060513494387645e-06
7.273918232287292e-02,1.100329325553420e-06
7.409423984077228e-02,1.141638742492172e-06
