# energy,pi_pi
2.273832107961959e-02,5.389996190716450e-08
2.316191304119240e-02,5.592617365907613e-08
2.359339609328507e-02,5.802854143889198e-08
2.403291723894593e-02,6.020992683495588e-08
2.448062621974163e-02,6.247329891699209e-08
2.493667556677304e-02,6.482173827061706e-08
2.540122065264139e-02,6.725844118315174e-08
2.587441974438261e-02,6.978672398640024e-08
2.635643405738766e-02,7.241002756227346e-08
2.684742781032749e-02,7.513192201735315e-08
2.734756828110103e-02,7.795611153272339e-08
2.785702586382559e-02,8.088643939562894e-08
2.837597412688879e-02,8.392689321976818e-08
2.890458987208211e-02,8.708161036128058e-08
2.944305319483582e-02,9.035488353775204e-08
2.999154754557623e-02,9.375116665783691e-08
3.055025979222585e-02,9.727508086937733e-08
3.111938028386790e-02,1.009314208341947e-07
3.169910291559679e-02,1.047251612380341e-07
3.228962519457679e-02,1.086614635444585e-07
3.289114830733118e-02,1.127456830018169e-07
3.350387718828503e-02,1.169833759127534e-07
3.412802058958479e-02,1.213803071760735e-07
3.476379115221866e-02,1.259424581111530e-07
3.541140547846170e-02,1.306760345754544e-07
3.607108420567064e-02,1.355874753861069e-07
3.674305208145338e-02,1.406834610569180e-07
3.742753804023882e-02,1.459709228626062e-07
3.812477528127310e-02,1.514570522424826e-07
3.883500134806885e-02,1.571493105562688e-07
3.955845820933445e-02,1.630554392052054e-07
4.029539234141102e-02,1.691834701320997e-07
4.104605481224502e-02,1.755417367144686e-07
4.181070136692525e-02,1.821388850654561e-07
4.258959251481324e-02,1.889838857577571e-07
4.338299361829691e-02,1.960860459863396e-07
4.419117498319750e-02,2.034550221863510e-07
4.501441195086077e-02,2.111008331231982e-07
4.585298499196371e-02,2.190338734724262e-07
4.670717980206880e-02,2.272649279076752e-07
4.757728739895840e-02,2.358051857156738e-07
4.846360422178229e-02,2.446662559579318e-07
4.936643223205225e-02,2.538601831995254e-07
5.028607901651818e-02,2.633994638261292e-07
5.122285789196049e-02,2.732970629712256e-07
5.217708801193483e-02,2.835664320762492e-07
5.314909447550537e-02,2.942215271072590e-07
5.413920843800354e-02,3.052768274526068e-07
5.514776722385021e-02,3.167473555269861e-07
5.617511444147961e-02,3.286486971081780e-07
5.722160010040415e-02,3.409970224337918e-07
5.828758073045998e-02,3.538091080863065e-07
5.937341950327416e-02,3.671023596957748e-07
6.047948635599440e-02,3.808948354906275e-07
6.160615811732393e-02,3.952052707281581e-07
6.275381863590423e-02,4.100531030374237e-07
6.392285891108938e-02,4.254584987085160e-07
6.511367722615660e-02,4.414423799634163e-07
6.632667928399841e-02,4.580264532449414e-07
6.756227834534254e-02,4.752332385616464e-07
6.882089536954679e-02,4.930860999279446e-07
7.010295915801670e-02,5.116092769401618e-07
7.140890650029512e-02,5.308279175307363e-07
7.273918232287292e-02,5.507681119443446e-07
7.409423984077228e-02,5.714569279813466e-07
7.547454071195356e-02,5.929224475556163e-07
7.688055519459881e-02,6.151938046155642e-07
7.831276230732516e-02,6.383012244789518e-07
7.977164999238286e-02,6.622760646339737e-07
8.125771528189359e-02,6.871508570610044e-07
8.277146446718557e-02,7.129593521314225e-07
8.431341327128328e-02,7.397365641419925e-07
8.588408702461033e-02,7.675188185454422e-07
8.748402084396568e-02,7.963438009401018e-07
8.911375981483396e-02,8.262506078837887e-07
9.077385917709194e-02,8.572797995995030e-07
9.246488451417462e-02,8.894734546430035e-07
9.418741194576534e-02,9.228752266048885e-07
9.594202832407536e-02,9.575304029224726e-07
9.772933143378010e-02,9.934859658795333e-07
9.954993019567983e-02,1.030790655874833e-06
1.014044448741545e-01,1.069495037043319e-06
1.032935072884830e-01,1.109651565316947e-06
1.052177610280998e-01,1.151314659015287e-06
1.071778616718601e-01,1.194540772059348e-06
1.091744770113916e-01,1.239388469905493e-06
1.112082872786057e-01,1.285918508299821e-06
1.132799853774473e-01,1.334193914957126e-06
1.153902771199621e-01,1.384280074272276e-06
1.175398814667616e-01,1.436244815175825e-06
1.197295307719677e-01,1.490158502249746e-06
1.219599710327197e-01,1.546094130223407e-06
1.242319621433306e-01,1.604127421974246e-06
