# energy,mu_nu,pi_pi0,pi_pi_pi,pi0_e_nu,pi0_mu_nu,pi_pi0_pi0,e_nu
4.936770000000000e-04,2.964581924411900e+01,9.149661300718583e+00,6.620170139707241e+00,2.626861807961228e+00,1.378817078264222e+00,6.961670705356593e-01,9.487628799940891e-04
5.075361049211501e-04,2.883628333545677e+01,8.899811749359023e+00,6.439392683200881e+00,2.555130679948684e+00,1.341165696178164e+00,6.771567906126952e-01,9.228552991682192e-04
5.217842795968473e-04,2.804885313117815e+01,8.656784749369676e+00,6.263551651342585e+00,2.485358287914984e+00,1.304542446770544e+00,6.586656175307704e-01,8.976551672852695e-04
5.364324464693961e-04,2.728292499880592e+01,8.420393999806990e+00,6.092512246969277e+00,2.417491145364928e+00,1.268919255194038e+00,6.406793762270632e-01,8.731431662927300e-04
5.514918346092703e-04,2.653791178903663e+01,8.190458286979919e+00,5.926143353775264e+00,2.351477226339690e+00,1.234268813231025e+00,6.231842787120648e-01,8.493005056491634e-04
5.669739883231507e-04,2.581324238564066e+01,7.966801345534177e+00,5.764317435800434e+00,2.287265925534505e+00,1.200564558359514e+00,6.061669134999141e-01,8.261089079196568e-04
5.828907760036252e-04,2.510836126765270e+01,7.749251723329761e+00,5.606910439663006e+00,2.224808019505358e+00,1.167780653390694e+00,5.896142353273427e-01,8.035505947646015e-04
5.992543992273213e-04,2.442272808351773e+01,7.537642650008303e+00,5.453801699462068e+00,2.164055628935036e+00,1.135891966662532e+00,5.735135551533730e-01,7.816082733110846e-04
6.160774021084609e-04,2.375581723686514e+01,7.331811909149274e+00,5.304873844276815e+00,2.104962181929515e+00,1.104874052774201e+00,5.578525304320789e-01,7.602651228964172e-04
6.333726809149893e-04,2.310711748359454e+01,7.131601713917337e+00,5.160012708191775e+00,2.047482378316659e+00,1.074703133846600e+00,5.426191556509770e-01,7.395047821736697e-04
6.511534939546713e-04,2.247613153996322e+01,6.936858586105192e+00,5.019107242778825e+00,1.991572154919743e+00,1.045356081294572e+00,5.278017531277700e-01,7.193113365692931e-04
6.694334717387105e-04,2.186237570137599e+01,6.747433238479485e+00,4.882049431969145e+00,1.937188651779287e+00,1.016810398096880e+00,5.133889640584115e-01,6.996693060832490e-04
6.882266274307048e-04,2.126537947158403e+01,6.563180460339346e+00,4.748734209249640e+00,1.884290179297220e+00,9.890442015503039e-01,4.993697398096089e-01,6.805636334222598e-04
7.075473675889283e-04,2.068468520200962e+01,6.383959006200038e+00,4.619059377120517e+00,1.832836186278262e+00,9.620362064946966e-01,4.857333334491065e-01,6.619796724571142e-04
7.274105032101920e-04,2.011984774091920e+01,6.209631487516201e+00,4.492925528752149e+00,1.782787228843955e+00,9.357657089960807e-01,4.724692915072409e-01,6.439031769951538e-04
7.478312610837338e-04,1.957043409217673e+01,6.040064267361817e+00,4.370235971781287e+00,1.734104940195573e+00,9.102125704753197e-01,4.595674459634667e-01,6.263202898593547e-04
7.688252954638560e-04,1.903602308331505e+01,5.875127357986089e+00,4.250896654188065e+00,1.686752001202688e+00,8.853572022701768e-01,4.470179064516979e-01,6.092175322656141e-04
