# energy,pi_pi_eta,rho0_a,pi0_pi0_eta,omega_a,a_a,pi_rho
9.577800000000000e-02,2.390399031981931e-01,1.125286043873674e-01,2.487226139193241e-02,1.024940846695075e-02,0.000000000000000e+00,3.333108378877035e-04
9.756224742765568e-02,2.346568368496867e-01,1.104661897542083e-01,2.441617413128496e-02,1.006123608748175e-02,0.000000000000000e+00,3.272012573423401e-04
9.937973358323526e-02,2.303537718507394e-01,1.084414937751443e-01,2.396840007385763e-02,9.877419285707217e-03,0.000000000000000e+00,3.212034121405404e-04
1.012310776706770e-01,2.261294448423776e-01,1.064538266512115e-01,2.352882845175435e-02,9.695999193820059e-03,0.000000000000000e+00,3.153152588609690e-04
1.031169104290632e-01,2.219822674476029e-01,1.045025111988932e-01,2.309718217731678e-02,9.517963358200725e-03,0.000000000000000e+00,3.095347914534954e-04
1.050378743475086e-01,2.179109527126973e-01,1.025868826194078e-01,2.267346027342514e-02,9.344048477509005e-03,0.000000000000000e+00,3.038600405557474e-04
1.069946238840510e-01,2.139142981508649e-01,1.007062882722168e-01,2.225759719231311e-02,9.172401198659788e-03,0.000000000000000e+00,2.982890728221628e-04
1.089878256886210e-01,2.099906036653289e-01,9.886008745267488e-02,2.184932117958647e-02,9.003955873979688e-03,0.000000000000000e+00,2.928199902653129e-04
1.110181588301640e-01,2.061387241982796e-01,9.704765117374578e-02,2.144847797794890e-02,8.839409523958071e-03,0.000000000000000e+00,2.874509296092722e-04
1.130863150279943e-01,2.023571194629792e-01,9.526836195171161e-02,2.105484914664339e-02,8.677008633153332e-03,0.000000000000000e+00,2.821800616548129e-04
1.151929988874585e-01,1.986447934899582e-01,9.352161359579970e-02,2.066850698846255e-02,8.517637218895823e-03,0.000000000000000e+00,2.770055906562109e-04
1.173389281399893e-01,1.950004641121473e-01,9.180681100165820e-02,2.028929480454131e-02,8.361954749342161e-03,0.000000000000000e+00,2.719257537094470e-04
1.195248338876312e-01,1.914226974102524e-01,9.012336994860770e-02,1.991699242565633e-02,8.208302167628946e-03,0.000000000000000e+00,2.669388201515989e-04
1.217514608521218e-01,1.879103548830657e-01,8.847071690060158e-02,1.955149243681903e-02,8.057515876036937e-03,0.000000000000000e+00,2.620430909712161e-04
1.240195676286124e-01,1.844620319422124e-01,8.684828881082604e-02,1.919254616980801e-02,7.910219821962959e-03,0.000000000000000e+00,2.572368982294789e-04
1.263299269441162e-01,1.810771260626370e-01,8.525553292987392e-02,1.884034807225826e-02,7.764844314795698e-03,0.000000000000000e+00,2.525186044919437e-04
1.286833259207703e-01,1.777540323364169e-01,8.369190661742665e-02,1.849451590560787e-02,7.622180697087544e-03,0.000000000000000e+00,2.478866022706803e-04
