# energy,pi0_pi0_pi0,pi_pi_pi0,pi_e_nu,pi_mu_nu,pi_pi,pi0_pi0
4.976110000000000e-04,0.000000000000000e+00,9.854972168122622e+00,3.644060402428504e+01,2.180336171343356e+01,1.730549197997585e-01,0.000000000000000e+00
5.115805449837005e-04,0.000000000000000e+00,9.585861769832702e+00,3.544552485741823e+01,2.120797675881922e+01,1.683293135379791e-01,0.000000000000000e+00
5.259422601305442e-04,0.000000000000000e+00,9.324099871897015e+00,3.447761795760275e+01,2.062884976590998e+01,1.637327476979298e-01,0.000000000000000e+00
5.407071549212998e-04,0.000000000000000e+00,9.069485811473289e+00,3.353614134156636e+01,2.006553678442370e+01,1.592616986194697e-01,0.000000000000000e+00
5.558865479083561e-04,0.000000000000000e+00,8.821824405146895e+00,3.262037328710566e+01,1.951760598686804e+01,1.549127388617707e-01,0.000000000000000e+00
5.714920753923541e-04,0.000000000000000e+00,8.580925799306190e+00,3.172961177982465e+01,1.898463733750796e+01,1.506825345758933e-01,0.000000000000000e+00
5.875357003424096e-04,0.000000000000000e+00,8.346605324603424e+00,3.086317397498054e+01,1.846622227037229e+01,1.465678429491045e-01,0.000000000000000e+00
6.040297215667460e-04,0.000000000000000e+00,8.118683354389997e+00,3.002039567402516e+01,1.796196337605322e+01,1.425655097189873e-01,0.000000000000000e+00
6.209867831407848e-04,0.000000000000000e+00,7.896985167017236e+00,2.920063081543984e+01,1.747147409705786e+01,1.386724667554274e-01,0.000000000000000e+00
6.384198840999047e-04,0.000000000000000e+00,7.681340811897388e+00,2.840325097947438e+01,1.699437843147914e+01,1.348857297086306e-01,0.000000000000000e+00
6.563423884043167e-04,0.000000000000000e+00,7.471584979221929e+00,2.762764490640934e+01,1.653031064475803e+01,1.312023957213637e-01,0.000000000000000e+00
6.747680351836755e-04,0.000000000000000e+00,7.267556873237542e+00,2.687321802797358e+01,1.607891498931695e+01,1.276196412036663e-01,0.000000000000000e+00
6.937109492693003e-04,0.000000000000000e+00,7.069100088982388e+00,2.613939201155669e+01,1.563984543184877e+01,1.241347196683285e-01,0.000000000000000e+00
7.131856520220590e-04,0.000000000000000e+00,6.876062492388397e+00,2.542560431686782e+01,1.521276538805281e+01,1.207449596254735e-01,0.000000000000000e+00
7.332070724642363e-04,0.000000000000000e+00,6.688296103657479e+00,2.473130776470044e+01,1.479734746461417e+01,1.174477625346328e-01,0.000000000000000e+00
7.537905587238977e-04,0.000000000000000e+00,6.505656983822413e+00,2.405597011747284e+01,1.439327320822889e+01,1.142406008127431e-01,0.000000000000000e+00
7.749518898005471e-04,0.000000000000000e+00,6.328005124405292e+00,2.339907367122242e+01,1.400023286148219e+01,1.111210158965380e-01,0.000000000000000e+00
7.967072876610695e-04,0.000000000000000e+00,6.155204340089132e+00,2.276011485874167e+01,1.361792512539309e+01,1.080866163578495e-01,0.000000000000000e+00
8.190734296752607e-04,0.000000000000000e+00,5.987122164320136e+00,2.213860386355061e+01,1.324605692844291e+01,1.051350760703737e-01,0.000000000000000e+00
8.420674614004483e-04,0.000000000000000e+00,5.823629747760827e+00,2.153406424441094e+01,1.288434320191103e+01,1.022641324264972e-01,0.000000000000000e+00
8.657070097250311e-04,0.000000000000000e+00,5.664601759515989e+00,2.094603257009289e+01,1.253250666134530e+01,9.947158460281449e-02,0.000000000000000e+00
8.900101963809914e-04,0.000000000000000e+00,5.509916291055857e+00,2.037405806411578e+01,1.219027759399984e+01,9.675529187300903e-02,0.000000000000000e+00
9.149956518357469e-04,0.000000000000000e+00,5.359454762762825e+00,1.981770225918936e+01,1.185739365207727e+01,9.411317196680422e-02,0.000000000000000e+00
9.406825295740007e-04,0.000000000000000e+00,5.213101833030027e+00,1.927653866109107e+01,1.153359965161663e+01,9.154319947372488e-02,0.000000000000000e+00
9.670905207805157e-04,0.000000000000000e+00,5.070745309842168e+00,1.875015242172200e+01,1.121864737687316e+01,8.904340429044760e-02,0.000000000000000e+00
9.942398694350956e-04,0.000000000000000e+00,4.932276064770748e+00,1.823814002109022e+01,1.091229539003967e+01,8.661187011054811e-02,0.000000000000000e+00
1.022151387831317e-03,0.000000000000000e+00,4.797587949317824e+00,1.774010895797836e+01,1.061430884616395e+01,8.424673295548915e-02,0.000000000000000e+00
1.050846472530935e-03,0.000000000000000e+00,4.666577713544099e+00,1.725567744905790e+01,1.032445931311994e+01,8.194617974572113e-02,0.000000000000000e+00
1.080347120766171e-03,0.000000000000000e+00,4.539144926919062e+00,1.678447413621966e+01,1.004252459649512e+01,7.970844691080275e-02,0.000000000000000e+00
1.110675947302471e-03,0.000000000000000e+00,4.415191901332375e+00,1.632613780189607e+01,9.768288569259436e+00,7.753181903747280e-02,0.000000000000000e+00
1.141856201774651e-03,0.000000000000000e+00,4.294623616207632e+00,1.588031709215712e+01,9.501541006085535e+00,7.541462755464025e-02,0.000000000000000e+00
1.173911786509733e-03,0.000000000000000e+00,4.177347645660944e+00,1.544667024736750e+01,9.242077422193063e+00,7.335524945428137e-02,0.000000000000000e+00
1.206867274850111e-03,0.000000000000000e+00,4.063274087648637e+00,1.502486484019876e+01,8.989698916593673e+00,7.135210604726604e-02,0.000000000000000e+00
1.240747929991125e-03,0.000000000000000e+00,3.952315495049628e+00,1.461457752079529e+01,8.744212019616375e+00,6.940366175315739e-02,0.000000000000000e+00
1.275579724347448e-03,0.000000000000000e+00,3.844386808629776e+00,1.421549376889913e+01,8.505428544596580e+00,6.750842292305853e-02,0.000000000000000e+00
1.311389359463168e-03,0.000000000000000e+00,3.739405291836687e+00,1.382730765274327e+01,8.273165443614893e+00,6.566493669460306e-02,0.000000000000000e+00
1.348204286480792e-03,0.000000000000000e+00,3.637290467375109e+00,1.344972159452888e+01,8.047244667175319e+00,6.387178987821203e-02,0.000000000000000e+00
1.386052727184899e-03,0.000000000000000e+00,3.537964055514186e+00,1.308244614230651e+01,7.827493027715060e+00,6.212760787376351e-02,0.000000000000000e+00
1.424963695636542e-03,0.000000000000000e+00,3.441349914079384e+00,1.272519974808641e+01,7.613742066841507e+00,6.043105361684409e-02,0.000000000000000e+00
1.464967020415003e-03,0.000000000000000e+00,3.347373980083017e+00,1.237770855200809e+01,7.405827926194495e+00,5.878082655377522e-02,0.000000000000000e+00
1.506093367483950e-03,0.000000000000000e+00,3.255964212948613e+00,1.203970617240319e+01,7.203591221834855e+00,5.717566164462734e-02,0.000000000000000e+00
1.548374263699508e-03,0.000000000000000e+00,3.167050539285703e+00,1.171093350159132e+01,7.006876922063050e+00,5.561432839345917e-02,0.000000000000000e+00
1.591842120978296e-03,0.000000000000000e+00,3.080564799172547e+00,1.139113850725182e+01,6.815534228574116e+00,5.409562990503709e-02,0.000000000000000e+00
1.636530261143918e-03,0.000000000000000e+00,2.996440693905764e+00,1.108007603921953e+01,6.629416460857908e+00,5.261840196731329e-02,0.000000000000000e+00
1.682472941470997e-03,0.000000000000000e+00,2.914613735176694e+00,1.077750764155620e+01,6.448380943755934e+00,5.118151215895731e-02,0.000000000000000e+00
1.729705380946285e-03,0.000000000000000e+00,2.835021195635626e+00,1.048320136975373e+01,6.272288898088726e+00,4.978385898125885e-02,0.000000000000000e+00
1.778263787267043e-03,0.000000000000000e+00,2.757602060805903e+00,1.019693161292881e+01,6.101005334269663e+00,4.842437101373454e-02,0.000000000000000e+00
1.828185384597312e-03,0.000000000000000e+00,2.682296982311142e+00,9.918478920872998e+00,5.934398948824027e+00,4.710200609279319e-02,0.000000000000000e+00
1.879508442103430e-03,0.000000000000000e+00,2.609048232379614e+00,9.647629835825343e+00,5.772342023733589e+00,4.581575051282791e-02,0.000000000000000e+00
