# energy,pi_pi_pi0,pi0_a,pi_pi,eta_a,e_e,mu_mu
7.826599999999999e-04,4.892769199434806e+01,0.000000000000000e+00,9.380831318537685e-01,6.200606764014865e-03,5.995336779513688e-03,4.759023094263508e-03
8.046317893634648e-04,4.759161512962776e+01,0.000000000000000e+00,9.124668692030521e-01,6.031289036893514e-03,5.831623934264943e-03,4.629068626092804e-03
8.272203976876954e-04,4.629202203283772e+01,0.000000000000000e+00,8.875501005757537e-01,5.866594807731084e-03,5.672381536492251e-03,4.502662777603117e-03
8.504431410694390e-04,4.502791645491859e+01,0.000000000000000e+00,8.633137251414895e-01,5.706397824340414e-03,5.517487513302653e-03,4.379708647919886e-03
8.743178217241059e-04,4.379832935102365e+01,0.000000000000000e+00,8.397391636493454e-01,5.550575282057151e-03,5.366823125203517e-03,4.260111982205674e-03
8.988627416326808e-04,4.260231813766375e+01,0.000000000000000e+00,8.168083441852952e-01,5.399007729599536e-03,5.220272875078634e-03,4.143781099405833e-03
9.240967165717607e-04,4.143896597013610e+01,0.000000000000000e+00,7.945036883185355e-01,5.251578977498742e-03,5.077724419649767e-03,4.030626821967124e-03
9.500390905374470e-04,4.030738103968498e+01,0.000000000000000e+00,7.728080976261191e-01,5.108176009029798e-03,4.939068483355982e-03,3.920562407475517e-03
9.767097505741769e-04,3.920669588985374e+01,0.000000000000000e+00,7.517049405855508e-01,4.968688893574541e-03,4.804198774584561e-03,3.813503482160715e-03
1.004129142019834e-03,3.813606675150580e+01,0.000000000000000e+00,7.311780398253105e-01,4.833010702350493e-03,4.673011904189443e-03,3.709367976216480e-03
1.032318284178852e-03,3.709467289600322e+01,0.000000000000000e+00,7.112116597235109e-01,4.701037426440745e-03,4.545407306234580e-03,3.608076060887086e-03
1.061298786435299e-03,3.608171600604840e+01,0.000000000000000e+00,6.917904943452063e-01,4.572667897062305e-03,4.421287160901601e-03,3.509550087271798e-03
1.091092864818323e-03,3.509641956370544e+01,0.000000000000000e+00,6.728996557090801e-01,4.447803708011541e-03,4.300556319502527e-03,3.413714526800327e-03
1.121723359032627e-03,3.413802825513317e+01,0.000000000000000e+00,6.545246623745423e-01,4.326349140227467e-03,4.183122231540227e-03,3.320495913333762e-03
1.153213749967061e-03,3.320580739157233e+01,0.000000000000000e+00,6.366514283404634e-01,4.208211088414865e-03,4.068894873760508e-03,3.229822786846477e-03
1.185588177694717e-03,3.229904234614408e+01,0.000000000000000e+00,6.192662522470572e-01,4.093298989671173e-03,3.957786681141656e-03,3.141625638645945e-03
1.218871459978369e-03,3.141703800602738e+01,0.000000000000000e+00,6.023558068726146e-01,3.981524754062250e-03,3.849712479768326e-03,3.055836858088368e-03
