# energy,k_k,kS_kL,pi_pi_pi0,eta_a,pi0_a,e_e,mu_mu,pi_pi,omega_pi0,etap_a
1.019461000000000e-01,2.483908953147026e-01,2.138568457894141e-01,6.733710954870160e-02,1.378788007445900e-03,0.000000000000000e+00,1.923541908303250e-04,1.479107837977955e-04,3.606550032359869e-05,1.795656195738481e-05,0.000000000000000e+00
1.038452529023839e-01,2.438392408096416e-01,2.099274914578774e-01,6.610300671260785e-02,1.353548883413825e-03,0.000000000000000e+00,1.888356069865139e-04,1.452023405759482e-04,3.540491622552396e-05,1.762753079756680e-05,0.000000000000000e+00
1.057797851056596e-01,2.393739025084634e-01,2.060864955164170e-01,6.489147384705959e-02,1.327888723740637e-03,0.000000000000000e+00,1.853813720544407e-04,1.425434307679966e-04,3.475641324355491e-05,1.730445162326044e-05,0.000000000000000e+00
1.077503556904780e-01,2.349810303526869e-01,2.023091288674030e-01,6.370209819177733e-02,1.304304186270976e-03,0.000000000000000e+00,1.819903092021019e-04,1.399331485029311e-04,3.411977043750870e-05,1.698686731175000e-05,0.000000000000000e+00
1.097576360154976e-01,2.306745660389393e-01,1.985914424148665e-01,6.253447453527393e-02,1.280356331829918e-03,0.000000000000000e+00,1.786612631197494e-04,1.373706044767699e-04,3.349477090787322e-05,1.667556054857039e-05,0.000000000000000e+00
1.118023099461102e-01,2.264497683422321e-01,1.949573547491340e-01,6.138820507680184e-02,1.256891000074236e-03,0.000000000000000e+00,1.753930996262844e-04,1.348549256495796e-04,3.288120172191090e-05,1.636988516335517e-05,0.000000000000000e+00
1.138850740874298e-01,2.222935332750648e-01,1.913834688714001e-01,6.026289929082523e-02,1.233879265781020e-03,0.000000000000000e+00,1.721847052828508e-04,1.323852549480363e-04,3.227885384111405e-05,1.606940865978983e-05,0.000000000000000e+00
1.160066380216201e-01,2.182190515290778e-01,1.878660484150980e-01,5.915817379397071e-02,1.210468603638441e-03,0.000000000000000e+00,1.690349870134950e-04,1.299607509734270e-04,3.168752204998685e-05,1.577487155249316e-05,0.000000000000000e+00
1.181677245496438e-01,2.142218372789153e-01,1.844277235338109e-01,5.807365221441140e-02,1.188975106825501e-03,0.000000000000000e+00,1.659428717327626e-04,1.275805877149904e-04,3.110700488612998e-05,1.548566247240309e-05,0.000000000000000e+00
1.203690699375161e-01,2.102894924190588e-01,1.810463575706245e-01,5.700896506363967e-02,1.167138473275785e-03,0.000000000000000e+00,1.629073059801070e-04,1.252439542685011e-04,3.053710457160364e-05,1.520137222306967e-05,0.000000000000000e+00
1.226114241671442e-01,2.064344970910718e-01,1.777184154291991e-01,5.596374961058496e-02,1.145739754061735e-03,0.000000000000000e+00,1.599272555609824e-04,1.229500545599998e-04,2.997762694554607e-05,1.492270143838780e-05,0.000000000000000e+00
1.248955511918411e-01,2.026526071115153e-01,1.744653082314431e-01,5.493764975803395e-02,1.124758318782796e-03,0.000000000000000e+00,1.570017051945023e-04,1.206981070745764e-04,2.942838139802426e-05,1.464907168520340e-05,0.000000000000000e+00
1.272222291965988e-01,1.989320922327444e-01,1.712660917707792e-01,5.393031592131067e-02,1.103400041007728e-03,0.000000000000000e+00,1.541296581675399e-04,1.184873445901131e-04,2.888918080509437e-05,1.438009580352933e-05,0.000000000000000e+00
