# energy,pi0_pi0_pi0,pi_pi_pi0,pi_e_nu,pi_mu_nu,pi_pi
5.109989461000004e-01,0.000000000000000e+00,1.355275171679390e-13,2.852731972480669e-13,3.682228742741553e-13,3.147756011000312e-15
5.172903120541722e-01,0.000000000000000e+00,5.235936125682263e-07,1.102024992062020e-06,1.424370045538098e-06,1.215969708355426e-08
5.236591366525768e-01,0.000000000000000e+00,7.541433192454417e-07,1.587137050326422e-06,2.051423196623559e-06,1.751204710336392e-08
5.301063735579975e-01,0.000000000000000e+00,9.407065681729361e-07,1.979602403778715e-06,2.558752617587315e-06,2.184195888554147e-08
5.366329881746146e-01,0.000000000000000e+00,1.106339206647736e-06,2.327958125280398e-06,3.009089048248114e-06,2.568501674908058e-08
5.432399577925647e-01,0.000000000000000e+00,1.259848023815314e-06,2.650744623061743e-06,3.426394531345102e-06,2.924580659710471e-08
5.499282717342788e-01,0.000000000000000e+00,1.405703454697113e-06,2.957373045011138e-06,3.822832315420445e-06,3.262817609768288e-08
5.566989315026230e-01,0.000000000000000e+00,1.546543382676821e-06,3.253396280854726e-06,4.205579249607885e-06,3.589339779958916e-08
5.635529509308626e-01,0.000000000000000e+00,1.684081632323542e-06,3.542421586357479e-06,4.579297692134851e-06,3.908127424761703e-08
5.704913563344730e-01,0.000000000000000e+00,1.819510245212211e-06,3.826957510160242e-06,4.947230084210305e-06,4.221948358500181e-08
5.775151866648188e-01,0.000000000000000e+00,1.953702304672169e-06,4.108840920995249e-06,5.311750838715948e-06,4.532829171309080e-08
5.846254936647264e-01,0.000000000000000e+00,2.087324107897819e-06,4.389473180958455e-06,5.674671567808608e-06,4.842315843220690e-08
5.918233420259700e-01,0.000000000000000e+00,2.220901677810673e-06,4.669960186258024e-06,6.037422068956017e-06,5.151628278084515e-08
5.991098095486989e-01,0.000000000000000e+00,2.354862412154049e-06,4.951200060835419e-06,6.401163658057913e-06,5.461757073198492e-08
6.064859873028254e-01,0.000000000000000e+00,2.489562336968118e-06,5.233940540042042e-06,6.766863330556552e-06,5.773526842148940e-08
6.139529797914021e-01,0.000000000000000e+00,2.625304599838768e-06,5.518817909185555e-06,7.135344084567316e-06,6.087639183459366e-08
6.215119051160074e-01,0.000000000000000e+00,2.762352408153239e-06,5.806384245411961e-06,7.507320127670196e-06,6.404702741890113e-08
6.291638951441709e-01,0.000000000000000e+00,2.900938320541509e-06,6.097126980583011e-06,7.883422159713366e-06,6.725254795843277e-08
6.369100956788575e-01,0.000000000000000e+00,3.041271072217202e-06,6.391483271182308e-06,8.264215944518022e-06,7.049777114203331e-08
6.447516666300392e-01,0.000000000000000e+00,3.183540689394866e-06,6.689850765330359e-06,8.650216225455828e-06,7.378707837269582e-08
6.526897821883791e-01,0.000000000000000e+00,3.327922389866147e-06,6.992595813570619e-06,9.041897337567084e-06,7.712450536779093e-08
6.607256310010539e-01,0.000000000000000e+00,3.474579605273018e-06,7.300059829950855e-06,9.439701429302098e-06,8.051381234677145e-08
6.688604163497407e-01,0.000000000000000e+00,3.623666356668148e-06,7.612564291053783e-06,9.844044924107023e-06,8.395853918768694e-08
6.770953563307958e-01,0.000000000000000e+00,3.775329146407181e-06,7.930414716301170e-06,1.025532366554875e-05,8.746204934115381e-08
6.854316840376512e-01,0.000000000000000e+00,3.929708483218509e-06,8.253903875576489e-06,1.067391706395402e-05,9.102756521694073e-08
6.938706477454573e-01,0.000000000000000e+00,4.086940125540928e-06,8.583314403344866e-06,1.110019147612317e-05,9.465819702044772e-08
7.024135110979984e-01,0.000000000000000e+00,4.247156106002218e-06,8.918920951665347e-06,1.153450298921801e-05,9.835696650009175e-08
7.110615532969101e-01,0.000000000000000e+00,4.410485584114949e-06,9.260991981226695e-06,1.197719973693536e-05,1.021268266995344e-07
7.198160692932253e-01,0.000000000000000e+00,4.577055562868471e-06,9.609791265537059e-06,1.242862384506031e-05,1.059706785438312e-07
7.286783699812798e-01,0.000000000000000e+00,4.746991496561220e-06,9.965579165846302e-06,1.288911308081145e-05,1.098913848948961e-07
7.376497823950040e-01,0.000000000000000e+00,4.920417811046721e-06,1.032861372138473e-05,1.335900226359593e-05,1.138917825682658e-07
7.467316499066328e-01,0.000000000000000e+00,5.097458352945644e-06,1.069915158977036e-05,1.383862448221653e-05,1.179746926957592e-07
7.559253324278600e-01,0.000000000000000e+00,5.278236780878962e-06,1.107744886507176e-05,1.432831215405445e-05,1.221429297373450e-07
7.652322066134711e-01,0.000000000000000e+00,5.462876909104674e-06,1.146376179538447e-05,1.482839795447774e-05,1.263993093834163e-07
7.746536660674825e-01,0.000000000000000e+00,5.651503011879091e-06,1.185834741743788e-05,1.533921563911468e-05,1.307466555407578e-07
7.841911215518184e-01,0.000000000000000e+00,5.844240095260514e-06,1.226146412237222e-05,1.586110077726778e-05,1.351878065582243e-07
7.938460011975571e-01,0.000000000000000e+00,6.041214141815944e-06,1.267337216417790e-05,1.639439141132236e-05,1.397256208189316e-07
8.036197507187789e-01,0.000000000000000e+00,6.242552332698732e-06,1.309433412019769e-05,1.693942865430128e-05,1.443629818026759e-07
8.135138336290452e-01,0.000000000000000e+00,6.448383250775169e-06,1.352461531142884e-05,1.749655723556721e-05,1.491028027039411e-07
8.235297314605446e-01,0.000000000000000e+00,6.658837067845827e-06,1.396448418903003e-05,1.806612600295288e-05,1.539480306761466e-07
8.336689439859363e-01,0.000000000000000e+00,6.874045718498005e-06,1.441421269236462e-05,1.864848838821275e-05,1.589016507609498e-07
8.439329894429245e-01,0.000000000000000e+00,7.094143062712883e-06,1.487407658304221e-05,1.924400284156571e-05,1.639666895518102e-07
8.543234047615982e-01,0.000000000000000e+00,7.319265039014715e-06,1.534435575871159e-05,1.985303324018269e-05,1.691462186332052e-07
8.648417457945704e-01,0.000000000000000e+00,7.549549809673958e-06,1.582533454977768e-05,2.047594927472318e-05,1.744433578304784e-07
8.754895875499498e-01,0.000000000000000e+00,7.785137899249488e-06,1.631730200173688e-05,2.111312681740678e-05,1.798612783000207e-07
8.862685244271811e-01,0.000000000000000e+00,8.026172327567713e-06,1.682055214543064e-05,2.176494827459564e-05,1.854032054851293e-07
8.971801704557896e-01,0.000000000000000e+00,8.272798738080661e-06,1.761673778866897e-05,2.243180292643946e-05,1.910724219592584e-07
