# energy,pi_pi_pi0,pi0_a,pi_pi,eta_a,e_e,mu_mu
5.109989461000004e-01,1.478784879533675e-12,0.000000000000000e+00,3.825951453366338e-14,1.587044990811696e-16,0.000000000000000e+00,2.192541155947888e-16
5.178103313991431e-01,5.951159417254954e-06,0.000000000000000e+00,1.539454406480339e-07,6.387312028770312e-10,0.000000000000000e+00,9.423363229268510e-10
5.247125093898314e-01,8.583340235273099e-06,0.000000000000000e+00,2.219994338584618e-07,9.213094021340873e-10,0.000000000000000e+00,1.358751915318047e-09
5.317066902976619e-01,1.072144188536622e-05,0.000000000000000e+00,2.772544420145419e-07,1.150893672873838e-09,0.000000000000000e+00,1.696741162792649e-09
5.387941004799924e-01,1.262656658852065e-05,0.000000000000000e+00,3.264674152535452e-07,1.355502477308366e-09,0.000000000000000e+00,1.997677016500159e-09
5.459759826409706e-01,1.439840671410182e-05,0.000000000000000e+00,3.722182933190228e-07,1.545833536446093e-09,0.000000000000000e+00,2.277356669212597e-09
5.532535960494295e-01,1.608757708540568e-05,0.000000000000000e+00,4.158168378778728e-07,1.727318370532227e-09,0.000000000000000e+00,2.543799433928338e-09
5.606282167596871e-01,1.772397036486245e-05,0.000000000000000e+00,4.580364403818079e-07,1.903165047242705e-09,0.000000000000000e+00,2.801739920385400e-09
5.681011378352898e-01,1.932703977829247e-05,0.000000000000000e+00,4.993802453014623e-07,2.075461589786108e-09,0.000000000000000e+00,3.054257608932245e-09
5.756736695757374e-01,2.091034981951188e-05,0.000000000000000e+00,5.401989319768812e-07,2.245664229737718e-09,0.000000000000000e+00,3.303498103805084e-09
5.833471397462304e-01,2.248386953721803e-05,0.000000000000000e+00,5.807500727715885e-07,2.414843471926948e-09,0.000000000000000e+00,3.551036634336510e-09
5.911228938104801e-01,2.405524024746151e-05,0.000000000000000e+00,6.212309472446369e-07,2.583820204020246e-09,0.000000000000000e+00,3.798079010642233e-09
5.990022951666220e-01,2.563052690038997e-05,0.000000000000000e+00,6.617979915677838e-07,2.753246162192580e-09,0.000000000000000e+00,4.045580735554057e-09
6.069867253862730e-01,2.721468840557092e-05,0.000000000000000e+00,7.025789732891936e-07,2.923654570198991e-09,0.000000000000000e+00,4.294321566060738e-09
6.150775844567763e-01,2.881188530078247e-05,0.000000000000000e+00,7.436809555793958e-07,3.095492984904498e-09,0.000000000000000e+00,4.544954288290920e-09
6.232762910266744e-01,3.042568847958837e-05,0.000000000000000e+00,7.851957001551938e-07,3.269145844479749e-09,0.000000000000000e+00,4.798037805598142e-09
6.315842826544544e-01,3.205922520479315e-05,0.000000000000000e+00,8.272034466119429e-07,3.444949987741106e-09,0.000000000000000e+00,5.054060282498219e-09
6.400030160606095e-01,3.371528396782635e-05,0.000000000000000e+00,8.697756262613795e-07,3.623206034791931e-09,0.000000000000000e+00,5.313455762388012e-09
6.485339673830592e-01,3.539639153032828e-05,0.000000000000000e+00,9.129768557057214e-07,3.804186583282410e-09,0.000000000000000e+00,5.576616373378622e-09
6.571786324359754e-01,3.710487067501146e-05,0.000000000000000e+00,9.568664308921454e-07,3.988142387537506e-09,0.000000000000000e+00,5.843901474201079e-09
6.659385269720575e-01,3.884288427684667e-05,0.000000000000000e+00,1.001499466907657e-06,4.175307178577158e-09,0.000000000000000e+00,6.115644629855645e-09
6.748151869483043e-01,4.061246948095468e-05,0.000000000000000e+00,1.046927781539563e-06,4.365901245616076e-09,0.000000000000000e+00,6.392159017389100e-09
6.838101687953284e-01,4.241556459980150e-05,0.000000000000000e+00,1.093200590240324e-06,4.560134330568927e-09,0.000000000000000e+00,6.673741676080165e-09
6.929250496902594e-01,4.425403056849032e-05,0.000000000000000e+00,1.140365060102910e-06,4.758208018470618e-09,0.000000000000000e+00,6.960676893618636e-09
7.021614278332865e-01,4.612966827554524e-05,0.000000000000000e+00,1.188466756954161e-06,4.960317520401783e-09,0.000000000000000e+00,7.253238937186348e-09
7.115209227278859e-01,4.804423272829344e-05,0.000000000000000e+00,1.237550010397446e-06,5.166653156213530e-09,0.000000000000000e+00,7.551694281531220e-09
7.210051754647844e-01,4.999944476134348e-05,0.000000000000000e+00,1.287658215147425e-06,5.377401741590925e-09,0.000000000000000e+00,7.856303446381987e-09
7.306158490097071e-01,5.199700081852172e-05,0.000000000000000e+00,1.338834082387302e-06,5.592747586789150e-09,0.000000000000000e+00,8.167322527299119e-09
7.403546284949616e-01,5.403858121013463e-05,0.000000000000000e+00,1.391119851551940e-06,5.812873307014248e-09,0.000000000000000e+00,8.485004483677042e-09
7.502232215149087e-01,5.612585715348542e-05,0.000000000000000e+00,1.444557470507617e-06,6.037960652883628e-09,0.000000000000000e+00,8.809600232711710e-09
7.602233584253714e-01,5.826049683504031e-05,0.000000000000000e+00,1.499188750298637e-06,6.268191210040715e-09,0.000000000000000e+00,9.141359587117201e-09
7.703567926470343e-01,6.044417068058333e-05,0.000000000000000e+00,1.555055499282895e-06,6.503746919480392e-09,0.000000000000000e+00,9.480532066116122e-09
