# energy,k_k,kS_kL,pi_pi_pi0,eta_a,pi0_a,e_e,mu_mu,pi_pi,omega_pi0,etap_a
5.109989461000004e-01,9.696403501687524e-13,6.615120270301673e-13,3.308887360357191e-13,5.169928971558501e-15,0.000000000000000e+00,0.000000000000000e+00,1.842732467668507e-15,2.364220117158410e-16,7.297973271892801e-17,0.000000000000000e+00
5.181080768387457e-01,3.977546117009986e-06,2.721697046870587e-06,1.361216877199726e-06,2.127124787608487e-08,0.000000000000000e+00,0.000000000000000e+00,4.814068418281355e-09,9.724019266928885e-10,3.002547146764336e-10,0.000000000000000e+00
5.253161113819829e-01,5.734489385568519e-06,3.928991251719717e-06,1.964732838151861e-06,3.070665935985536e-08,0.000000000000000e+00,0.000000000000000e+00,6.945961517866073e-09,1.403245997197561e-09,4.334199585634657e-10,0.000000000000000e+00
5.326244257013886e-01,7.176421360784839e-06,4.912103653160013e-06,2.455966525144559e-06,3.838975970031273e-08,0.000000000000000e+00,0.000000000000000e+00,8.679482997679996e-09,1.753734387921166e-09,5.418400837088194e-10,0.000000000000000e+00
5.400344149114629e-01,8.471146426831273e-06,5.790149084188353e-06,2.894524395626657e-06,4.525166094383481e-08,0.000000000000000e+00,0.000000000000000e+00,1.022562228375146e-08,2.066468933002802e-09,6.386596725537070e-10,0.000000000000000e+00
5.475474935358483e-01,9.678723576637424e-06,6.608589314309219e-06,3.303160526736091e-06,5.164780137470863e-08,0.000000000000000e+00,0.000000000000000e+00,1.166492282383737e-08,2.357712484298073e-09,7.288964611917495e-10,0.000000000000000e+00
5.551650957773545e-01,1.082745282751158e-05,7.390521101549692e-06,3.693429217570990e-06,5.775868395011739e-08,0.000000000000000e+00,0.000000000000000e+00,1.303827481325352e-08,2.635722147722578e-09,8.150985872997071e-10,0.000000000000000e+00
5.628886757917386e-01,1.193850368644373e-05,8.149606465273494e-06,4.072158100637840e-06,6.369099095467191e-08,0.000000000000000e+00,0.000000000000000e+00,1.436982927429220e-08,2.905375864924873e-09,8.987720288179226e-10,0.000000000000000e+00
5.707197079652955e-01,1.302891495329513e-05,8.894740436399996e-06,4.443794811337928e-06,6.951423846883667e-08,0.000000000000000e+00,0.000000000000000e+00,1.567530616771134e-08,3.169849801708543e-09,9.808979925277071e-10,0.000000000000000e+00
5.786596871963090e-01,1.410779146469194e-05,9.632137260276658e-06,4.811445228304918e-06,7.527699229945202e-08,0.000000000000000e+00,0.000000000000000e+00,1.696567062370019e-08,3.431360530153451e-09,1.062161868189362e-09,0.000000000000000e+00
5.867101291804203e-01,1.518183971587652e-05,1.036637595330218e-05,5.177396545319368e-06,8.101503797793809e-08,0.000000000000000e+00,0.000000000000000e+00,1.824898525104551e-08,3.691538967609123e-09,1.143068590055085e-09,0.000000000000000e+00
