# energy,dnde
5.109989461000004e-01,1.238706710705682e-12
5.177997721839804e-01,4.980238320494153e-06
5.246911096785564e-01,7.181647299507495e-06
5.316741631896610e-01,8.968908878992917e-06
5.387501533551884e-01,1.056062972426891e-05
5.459203170583621e-01,1.204027892195202e-05
5.531859076439414e-01,1.345023118437573e-05
5.605481951373071e-01,1.481550762883158e-05
5.680084664664611e-01,1.615238571608404e-05
5.755680256869817e-01,1.747220990836891e-05
5.832281942099730e-01,1.878331213294359e-05
5.909903110330466e-01,2.009207345550856e-05
5.988557329743797e-01,2.140355335391555e-05
6.068258349098856e-01,2.272188362785357e-05
6.149020100135433e-01,2.405052608046970e-05
6.230856700009231e-01,2.539244732975517e-05
6.313782453759557e-01,2.675024108907759e-05
6.397811856809832e-01,2.812621597367657e-05
6.482959597501403e-01,2.952246000287426e-05
6.569240559661056e-01,3.094088894009749e-05
6.656669825202710e-01,3.238328317057658e-05
6.745262676763742e-01,3.385131628832958e-05
6.835034600376387e-01,3.534657758089913e-05
6.926001288174700e-01,3.687058995215836e-05
7.018178641137538e-01,3.842482438675344e-05
7.111582771868052e-01,4.001071175962046e-05
7.206230007410175e-01,4.162965258407414e-05
7.302136892102583e-01,4.328302514273345e-05
7.399320190470650e-01,4.497219233789764e-05
7.497796890156886e-01,4.669850751928132e-05
7.597584204890377e-01,4.846331948875636e-05
7.698699577495747e-01,5.026797683812987e-05
7.801160682942162e-01,5.211383174298133e-05
7.904985431432915e-01,5.400224331036197e-05
8.010191971536131e-01,5.593458055871313e-05
8.116798693357138e-01,5.791222509323421e-05
8.224824231753054e-01,5.993657352807488e-05
8.334287469590164e-01,6.200903969736108e-05
8.445207541044645e-01,6.413105668961647e-05
8.557603834947218e-01,6.630407873417526e-05
8.671495998172322e-01,6.852958296337975e-05
8.786903939072375e-01,7.080907107045927e-05
8.903847830957772e-01,7.314407087981499e-05
9.022348115623166e-01,7.553613784383252e-05
9.142425506920701e-01,7.798685647820550e-05
9.264100994380793e-01,8.049784174597644e-05
9.387395846881096e-01,8.307074039903211e-05
9.512331616364310e-01,8.570723228455789e-05
9.638930141605452e-01,8.840903162292233e-05
9.767213552029282e-01,9.117788826259652e-05
9.897204271578526e-01,9.401558891697634e-05
1.002892502263357e+00,9.692395838735054e-05
1.016239882998436e+00,9.990486077572846e-05
1.029764902485510e+00,1.029602006907821e-04
1.043469924898257e+00,1.060919244497716e-04
1.057357345874870e+00,1.093020212789792e-04
1.071429592936817e+00,1.125925245148919e-04
1.085689125913167e+00,1.159655128081136e-04
1.100138437370570e+00,1.194231113317699e-04
1.114780053048960e+00,1.229674929959721e-04
1.129616532303053e+00,1.266008796697363e-04
1.144650468549721e+00,1.303255434116048e-04
1.159884489721321e+00,1.341438077100765e-04
1.175321258725062e+00,1.380580487348396e-04
1.190963473908475e+00,1.420706965996842e-04
1.206813869531090e+00,1.461842366378818e-04
1.222875216242380e+00,1.504012106907217e-04
1.239150321566074e+00,1.547242184098176e-04
1.255642030390908e+00,1.591559185737195e-04
1.272353225467919e+00,1.636990304192955e-04
