# energy,pi_pi,pi0_pi0
5.109989461000004e-01,1.107395607327003e-12,0.000000000000000e+00
5.172819414484485e-01,4.274907353769728e-06,0.000000000000000e+00
5.236421894621904e-01,6.156450646525156e-06,0.000000000000000e+00
5.300806400025528e-01,7.678468012358719e-06,0.000000000000000e+00
5.365982546098961e-01,9.029263557274066e-06,0.000000000000000e+00
5.431960066472155e-01,1.028076748324945e-05,0.000000000000000e+00
5.498748814455054e-01,1.146949144066064e-05,0.000000000000000e+00
5.566358764509128e-01,1.261697786724687e-05,0.000000000000000e+00
5.634800013736988e-01,1.373722032686823e-05,0.000000000000000e+00
5.704082783390326e-01,1.483994935704423e-05,0.000000000000000e+00
5.774217420396388e-01,1.593228924558872e-05,0.000000000000000e+00
5.845214398903226e-01,1.701967434697684e-05,0.000000000000000e+00
5.917084321843935e-01,1.810639242608429e-05,0.000000000000000e+00
5.989837922520139e-01,1.919592490404400e-05,0.000000000000000e+00
6.063486066204934e-01,2.029116950511220e-05,0.000000000000000e+00
6.138039751765549e-01,2.139459133763314e-05,0.000000000000000e+00
6.213510113305953e-01,2.250832859207468e-05,0.000000000000000e+00
6.289908421829659e-01,2.363426844417684e-05,0.000000000000000e+00
6.367246086922976e-01,2.477410280882815e-05,0.000000000000000e+00
6.445534658458958e-01,2.592937011411816e-05,0.000000000000000e+00
6.524785828322297e-01,2.710148715661329e-05,0.000000000000000e+00
6.605011432155433e-01,2.829177377919463e-05,0.000000000000000e+00
6.686223451126130e-01,2.950147226358912e-05,0.000000000000000e+00
6.768434013716779e-01,3.073176276972683e-05,0.000000000000000e+00
6.851655397535714e-01,3.198377577661101e-05,0.000000000000000e+00
6.935900031150793e-01,3.325860221994319e-05,0.000000000000000e+00
7.021180495945516e-01,3.455730184021869e-05,0.000000000000000e+00
7.107509527997975e-01,3.588091012594135e-05,0.000000000000000e+00
7.194900019982908e-01,3.723044414347815e-05,0.000000000000000e+00
7.283365023097133e-01,3.860690747697012e-05,0.000000000000000e+00
7.372917749008652e-01,4.001129445129387e-05,0.000000000000000e+00
7.463571571829739e-01,4.144459377330442e-05,0.000000000000000e+00
7.555340030114266e-01,4.290779169801249e-05,0.000000000000000e+00
7.648236828879603e-01,4.440187480450649e-05,0.000000000000000e+00
7.742275841653371e-01,4.592783244958322e-05,0.000000000000000e+00
7.837471112545359e-01,4.748665895394706e-05,0.000000000000000e+00
7.933836858344925e-01,4.907935556556310e-05,0.000000000000000e+00
8.031387470644176e-01,5.070693223663350e-05,0.000000000000000e+00
8.130137517987260e-01,5.237040924420978e-05,0.000000000000000e+00
8.230101748046085e-01,5.407081867928486e-05,0.000000000000000e+00
8.331295089822779e-01,5.580920582504279e-05,0.000000000000000e+00
8.433732655879247e-01,5.758663044156872e-05,0.000000000000000e+00
8.537429744594131e-01,5.940416797157125e-05,0.000000000000000e+00
8.642401842447518e-01,6.126291067941524e-05,0.000000000000000e+00
8.748664626333750e-01,6.316396873390872e-05,0.000000000000000e+00
8.856233965902662e-01,6.510847124375264e-05,0.000000000000000e+00
8.965125925929611e-01,6.709756725328731e-05,0.000000000000000e+00
9.075356768714644e-01,6.913242670510669e-05,0.000000000000000e+00
9.186942956511168e-01,7.121424137521928e-05,0.000000000000000e+00
9.299901153984480e-01,7.334422578568657e-05,0.000000000000000e+00
9.414248230700517e-01,7.552361809903664e-05,0.000000000000000e+00
9.530001263645229e-01,7.775368099821580e-05,0.000000000000000e+00
9.647177539774905e-01,8.003570255538529e-05,0.000000000000000e+00
9.765794558597870e-01,8.237099709248362e-05,0.000000000000000e+00
9.885870034787917e-01,8.476090603614153e-05,0.000000000000000e+00
