# Columns: mx (MeV), f_eff
6.748829999999999529e+01,7.241271626084423430e-01
6.933185252525251485e+01,7.235397653492749992e-01
7.117540505050504862e+01,7.229523680901080995e-01
7.301895757575756818e+01,7.223649708309420880e-01
7.486251010101010195e+01,7.217775735717769647e-01
7.670606262626262151e+01,7.211901763126117304e-01
7.854961515151515528e+01,7.202046178770421525e-01
8.039316767676767483e+01,7.190771272735626551e-01
8.223672020202019439e+01,7.179496366700837129e-01
8.408027272727272816e+01,7.168221460666049927e-01
8.592382525252524772e+01,7.156946554631266055e-01
8.776737777777778149e+01,7.145671648596485515e-01
8.961093030303030105e+01,7.134396742561706084e-01
9.145448282828283482e+01,7.123121836526933315e-01
9.329803535353535437e+01,7.111846930492157215e-01
9.514158787878787393e+01,7.100572024457389997e-01
9.698514040404040770e+01,7.089297118422620558e-01
9.882869292929292726e+01,7.078022212387852230e-01
1.006722454545454468e+02,7.066747306353088343e-01
1.025157979797979806e+02,7.055472400318324455e-01
1.043593505050505144e+02,7.044197494283561678e-01
1.062029030303030339e+02,7.032922588248801121e-01
1.080464555555555535e+02,7.021647682214042785e-01
1.098900080808080872e+02,7.010372776179284449e-01
1.117335606060606068e+02,6.999097870144527223e-01
1.135771131313131264e+02,6.987822964109772217e-01
1.154206656565656601e+02,6.976548058075016101e-01
1.172642181818181939e+02,6.965273152040262206e-01
1.191077707070707135e+02,6.953998246005509420e-01
1.209513232323232330e+02,6.942723339970757745e-01
1.227948757575757668e+02,6.931448433936004960e-01
1.246384282828282863e+02,6.920173527901253285e-01
1.264819808080808059e+02,6.908898621866503831e-01
1.283255333333333397e+02,6.897623715831754376e-01
1.301690858585858734e+02,6.886348809797006032e-01
1.320126383838384072e+02,6.875073903762255467e-01
1.338561909090909126e+02,6.863880648358217096e-01
1.356997434343434463e+02,6.852755773866354705e-01
1.375432959595959801e+02,6.841630899374493424e-01
1.393868484848484854e+02,6.830506024882632143e-01
1.412304010101010192e+02,6.819381150390770863e-01
1.430739535353535530e+02,6.808256275898912913e-01
1.449175060606060583e+02,6.797131401407051632e-01
1.467610585858585921e+02,6.786006526915191461e-01
1.486046111111111259e+02,6.774881652423333511e-01
1.504481636363636312e+02,6.763756777931475561e-01
1.522917161616161650e+02,6.752631903439615391e-01
1.541352686868686988e+02,6.741507028947757441e-01
1.559788212121212041e+02,6.730382154455899490e-01
1.578223737373737663e+02,6.719257279964042651e-01
1.596659262626262716e+02,6.708132405472185811e-01
1.615094787878788054e+02,6.697007530980328971e-01
1.633530313131313392e+02,6.685882656488469911e-01
1.651965838383838445e+02,6.674757781996614181e-01
1.670401363636363783e+02,6.663632907504757341e-01
1.688836888888889121e+02,6.652508033012901612e-01
1.707272414141414174e+02,6.641383158521045882e-01
1.725707939393939512e+02,6.630258284029190152e-01
1.744143464646464849e+02,6.619133409537334423e-01
1.762578989898989903e+02,6.608008535045478693e-01
1.781014515151515241e+02,6.596883660553624074e-01
1.799450040404040578e+02,6.585758786061768344e-01
1.817885565656565632e+02,6.574633911569913725e-01
1.836321090909091254e+02,6.563509037078059105e-01
1.854756616161616307e+02,6.552384162586204486e-01
1.873192141414141361e+02,6.541259288094349866e-01
1.891627666666666983e+02,6.530134413602494137e-01
1.910063191919192036e+02,6.519009539110639517e-01
1.928498717171717374e+02,6.507884664618787118e-01
1.946934242424242711e+02,6.496759790126931389e-01
1.965369767676767765e+02,6.485634915635077880e-01
1.983805292929292818e+02,6.474510041143223260e-01
2.002240818181818440e+02,6.463385166651370861e-01
2.020676343434343494e+02,6.452260292159516242e-01
2.039111868686869116e+02,6.475587762117173130e-01
2.057547393939394169e+02,6.566692318556136554e-01
2.075982919191919223e+02,6.622653867375583037e-01
2.094418444444444845e+02,6.646478209488028144e-01
2.112853969696969898e+02,6.620151968513612317e-01
2.131289494949494951e+02,6.577646053803843929e-01
2.149725020202020573e+02,6.521478531300378689e-01
2.168160545454545627e+02,6.491876984999263023e-01
2.186596070707070680e+02,6.459288165916220459e-01
2.205031595959596302e+02,6.436156844955012168e-01
2.223467121212121356e+02,6.409269307368591351e-01
2.241902646464646409e+02,6.371953213084160517e-01
2.260338171717172031e+02,6.353298990138016578e-01
2.278773696969697085e+02,6.342692685799731223e-01
2.297209222222222706e+02,6.324169468921373438e-01
2.315644747474747760e+02,6.302566988365990719e-01
2.334080272727272813e+02,6.281530946122986236e-01
2.352515797979798435e+02,6.275798821044841214e-01
2.370951323232323489e+02,6.245622226382611109e-01
2.389386848484848542e+02,6.243329004707540708e-01
2.407822373737374164e+02,6.228423142736507767e-01
2.426257898989899218e+02,6.212559351179668399e-01
2.444693424242424271e+02,6.197835965650158041e-01
2.463128949494949893e+02,6.178041841670488532e-01
2.481564474747474947e+02,6.167518751542435673e-01
2.500000000000000000e+02,6.166722975203846602e-01
