# Columns: mx (MeV), <sigma v> limit (cm^3/s)
2.000000000000000000e+02,1.268419661005675564e-28
2.005050505050504910e+02,1.272222513532760525e-28
2.010101010101010104e+02,1.276028955053451416e-28
2.015151515151515014e+02,1.279838990650887119e-28
2.020202020202020208e+02,1.283652625417813144e-28
2.025252525252525118e+02,1.287715660665114437e-28
2.030303030303030312e+02,1.289987448444922267e-28
2.035353535353535221e+02,1.290262465342926828e-28
2.040404040404040416e+02,1.288843393788181870e-28
2.045454545454545325e+02,1.286333704400874190e-28
2.050505050505050519e+02,1.284063755313047726e-28
2.055555555555555429e+02,1.281637825289349925e-28
2.060606060606060623e+02,1.282188125412035673e-28
2.065656565656565533e+02,1.277786290928676662e-28
2.070707070707070727e+02,1.278340319988972552e-28
2.075757575757575637e+02,1.281024858649924321e-28
2.080808080808080831e+02,1.277604419281157805e-28
2.085858585858585741e+02,1.282342476450178192e-28
2.090909090909090935e+02,1.281405272797164745e-28
2.095959595959595845e+02,1.280215413944233079e-28
2.101010101010101039e+02,1.288461697202317293e-28
2.106060606060605949e+02,1.283927915413911996e-28
2.111111111111111143e+02,1.283468859364749140e-28
2.116161616161616053e+02,1.294269219233967313e-28
2.121212121212121247e+02,1.292422327645634481e-28
2.126262626262626156e+02,1.300001048327133322e-28
2.131313131313131350e+02,1.300242268211663658e-28
2.136363636363636260e+02,1.302305536168865900e-28
2.141414141414141454e+02,1.309552778361489980e-28
2.146464646464646364e+02,1.310454947601621948e-28
2.151515151515151558e+02,1.312084613251993335e-28
2.156565656565656468e+02,1.318096963850629134e-28
2.161616161616161662e+02,1.318244231183740782e-28
2.166666666666666572e+02,1.326854225686121417e-28
2.171717171717171766e+02,1.326778435475628300e-28
2.176767676767676676e+02,1.331545696933045199e-28
2.181818181818181870e+02,1.332984227277506905e-28
2.186868686868686780e+02,1.337516195196994374e-28
2.191919191919191974e+02,1.342725715290602939e-28
2.196969696969696884e+02,1.346617770825946390e-28
2.202020202020202078e+02,1.347756409779745480e-28
2.207070707070706987e+02,1.350517089159201665e-28
2.212121212121212182e+02,1.356217022662022922e-28
2.217171717171717091e+02,1.359931605140599384e-28
2.222222222222222285e+02,1.360945977602896764e-28
2.227272727272727195e+02,1.363182991751757226e-28
2.232323232323232389e+02,1.368763312146210214e-28
2.237373737373737299e+02,1.371861253671235219e-28
2.242424242424242493e+02,1.379245007762289517e-28
2.247474747474747403e+02,1.377444459835469535e-28
2.252525252525252597e+02,1.382747054948399954e-28
2.257575757575757507e+02,1.385623524866077038e-28
2.262626262626262701e+02,1.390123082013333110e-28
2.267676767676767611e+02,1.395703835543624341e-28
2.272727272727272805e+02,1.395647128683774280e-28
2.277777777777777715e+02,1.398784946519798909e-28
2.282828282828282909e+02,1.402784598137027243e-28
2.287878787878787818e+02,1.407340378109367771e-28
2.292929292929293013e+02,1.411689992443958761e-28
2.297979797979797922e+02,1.414469146263502362e-28
2.303030303030303116e+02,1.417722010518892342e-28
2.308080808080808026e+02,1.420553781424035052e-28
2.313131313131313220e+02,1.426413706498780556e-28
2.318181818181818130e+02,1.429680285653360325e-28
2.323232323232323324e+02,1.432166623102202768e-28
2.328282828282828234e+02,1.434888003455849817e-28
2.333333333333333428e+02,1.438688244030471915e-28
2.338383838383838338e+02,1.443018514315604934e-28
2.343434343434343532e+02,1.448337307361526794e-28
2.348484848484848442e+02,1.451242879864005294e-28
2.353535353535353636e+02,1.452400686959024309e-28
2.358585858585858546e+02,1.454932410956140785e-28
2.363636363636363740e+02,1.459218180155995030e-28
2.368686868686868650e+02,1.465758701095934315e-28
2.373737373737373844e+02,1.469697687111267689e-28
2.378787878787878753e+02,1.470810814830865624e-28
2.383838383838383947e+02,1.473278319181966442e-28
2.388888888888888857e+02,1.477711403978732511e-28
2.393939393939394051e+02,1.481702348720144748e-28
2.398989898989898961e+02,1.488542044713219235e-28
2.404040404040404155e+02,1.490471074870373556e-28
2.409090909090909065e+02,1.491003682097414454e-28
2.414141414141414259e+02,1.495146085226889102e-28
2.419191919191919169e+02,1.499129608266730986e-28
2.424242424242424363e+02,1.503411146411614646e-28
2.429292929292929273e+02,1.509773000211592279e-28
2.434343434343434467e+02,1.511681464287473665e-28
2.439393939393939377e+02,1.513110204182116709e-28
2.444444444444444571e+02,1.517484595017165020e-28
2.449494949494949481e+02,1.522089577746239090e-28
2.454545454545454675e+02,1.524486404241823724e-28
2.459595959595959584e+02,1.532497129654596736e-28
2.464646464646464779e+02,1.533339113982560682e-28
2.469696969696969688e+02,1.536996893144015998e-28
2.474747474747474882e+02,1.540899546792228815e-28
2.479797979797979792e+02,1.543728959431965512e-28
2.484848484848484986e+02,1.550198085001255482e-28
2.489898989898989896e+02,1.553057156876500533e-28
2.494949494949494806e+02,1.552655201488846015e-28
2.500000000000000000e+02,1.555301435890671444e-28
