# Columns: mx (MeV), <sigma v> limit (cm^3/s)
2.000000000000000000e+02,inf
2.005050505050504910e+02,inf
2.010101010101010104e+02,inf
2.015151515151515014e+02,inf
2.020202020202020208e+02,inf
2.025252525252525118e+02,2.769735109210305996e+142
2.030303030303030312e+02,1.352741960892913168e+107
2.035353535353535221e+02,1.022102863142898055e+89
2.040404040404040416e+02,1.708171217756208398e+76
2.045454545454545325e+02,8.439060187781217522e+66
2.050505050505050519e+02,4.245695624444893277e+58
2.055555555555555429e+02,1.466240124588006154e+53
2.060606060606060623e+02,1.147375942436805601e+46
2.065656565656565533e+02,1.739901273388725369e+41
2.070707070707070727e+02,5.268072564166484189e-19
2.075757575757575637e+02,3.335152024852731331e-22
2.080808080808080831e+02,9.519515975547800160e-23
2.085858585858585741e+02,4.749628659077979611e-23
2.090909090909090935e+02,2.981844469042996299e-23
2.095959595959595845e+02,2.122155728684038726e-23
2.101010101010101039e+02,1.633213603225823267e-23
2.106060606060605949e+02,1.325469278880169062e-23
2.111111111111111143e+02,1.117649527006481323e-23
2.116161616161616053e+02,9.694875970520759575e-24
2.121212121212121247e+02,8.597076117254402276e-24
2.126262626262626156e+02,7.756083173316955484e-24
2.131313131313131350e+02,7.095721862528057980e-24
2.136363636363636260e+02,6.564708966804445021e-24
2.141414141414141454e+02,6.127989937091786041e-24
2.146464646464646364e+02,5.767724675999220010e-24
2.151515151515151558e+02,5.464093061933509894e-24
2.156565656565656468e+02,5.206640733177677457e-24
2.161616161616161662e+02,4.981651515910629813e-24
2.166666666666666572e+02,4.790784719558474951e-24
2.171717171717171766e+02,4.622164753319393119e-24
2.176767676767676676e+02,4.475180124752177115e-24
2.181818181818181870e+02,4.342596601578298531e-24
2.186868686868686780e+02,4.224489032221965953e-24
2.191919191919191974e+02,4.119003938511517202e-24
2.196969696969696884e+02,4.025106564445075580e-24
2.202020202020202078e+02,3.940068957360844254e-24
2.207070707070706987e+02,3.864066338265364840e-24
2.212121212121212182e+02,3.793502372274195378e-24
2.217171717171717091e+02,3.727736211657466085e-24
2.222222222222222285e+02,3.669671465278463473e-24
2.227272727272727195e+02,3.618612384677646418e-24
2.232323232323232389e+02,3.566201664955074305e-24
2.237373737373737299e+02,3.520765955950215064e-24
2.242424242424242493e+02,3.478532822362506958e-24
2.247474747474747403e+02,3.438295667651540958e-24
2.252525252525252597e+02,3.401048394779711321e-24
2.257575757575757507e+02,3.369436923009028882e-24
2.262626262626262701e+02,3.336575733774082994e-24
2.267676767676767611e+02,3.305472100111742870e-24
2.272727272727272805e+02,3.279642085359661885e-24
2.277777777777777715e+02,3.254826534740916614e-24
2.282828282828282909e+02,3.227121875064490820e-24
2.287878787878787818e+02,3.206099074751750931e-24
2.292929292929293013e+02,3.186741683181111083e-24
2.297979797979797922e+02,3.162534054368376372e-24
2.303030303030303116e+02,3.146960625609950184e-24
2.308080808080808026e+02,3.128419614678995141e-24
2.313131313131313220e+02,3.110977945078856221e-24
2.318181818181818130e+02,3.097474199509896496e-24
2.323232323232323324e+02,3.081914784887913156e-24
2.328282828282828234e+02,3.068260137073773899e-24
2.333333333333333428e+02,3.052641067046512928e-24
2.338383838383838338e+02,3.039355334573230628e-24
2.343434343434343532e+02,3.026884226275007053e-24
2.348484848484848442e+02,3.017334883408042583e-24
2.353535353535353636e+02,3.006184129114408862e-24
2.358585858585858546e+02,2.993459704082202410e-24
2.363636363636363740e+02,2.981892615972312891e-24
2.368686868686868650e+02,2.969375852766882180e-24
2.373737373737373844e+02,2.957826316253670789e-24
2.378787878787878753e+02,2.941466225148876035e-24
2.383838383838383947e+02,2.926249106475204901e-24
2.388888888888888857e+02,2.913774091697411790e-24
2.393939393939394051e+02,2.891024069299427746e-24
2.398989898989898961e+02,2.869364584281206299e-24
2.404040404040404155e+02,2.846507386110069502e-24
2.409090909090909065e+02,2.808513335882463254e-24
2.414141414141414259e+02,2.786731656302560225e-24
2.419191919191919169e+02,2.716998490840450897e-24
2.424242424242424363e+02,2.706555168620607765e-24
2.429292929292929273e+02,2.633133314799664791e-24
2.434343434343434467e+02,2.594546510895528812e-24
2.439393939393939377e+02,2.527384536049546552e-24
2.444444444444444571e+02,2.385543194621227128e-24
2.449494949494949481e+02,2.395596172028284276e-24
2.454545454545454675e+02,2.240905446462129061e-24
2.459595959595959584e+02,2.174490035996782632e-24
2.464646464646464779e+02,2.051914559768826540e-24
2.469696969696969688e+02,1.994458025530948731e-24
2.474747474747474882e+02,1.906234067618254796e-24
2.479797979797979792e+02,1.781426582269209817e-24
2.484848484848484986e+02,1.615319445876042337e-24
2.489898989898989896e+02,1.665363290772675948e-24
2.494949494949494806e+02,1.501003191514099763e-24
2.500000000000000000e+02,1.451715886207021017e-24
