# Columns: mx (MeV), <sigma v> limit (cm^3/s)
2.000000000000000000e+02,5.595999466364361710e-30
2.005050505050504910e+02,5.621406546984524045e-30
2.010101010101010104e+02,5.646833955395756753e-30
2.015151515151515014e+02,5.672276427969753135e-30
2.020202020202020208e+02,5.697727810947570796e-30
2.025252525252525118e+02,5.723363892901127709e-30
2.030303030303030312e+02,5.763364198998820378e-30
2.035353535353535221e+02,5.826402940089470660e-30
2.040404040404040416e+02,5.911945656622937140e-30
2.045454545454545325e+02,6.019481266803083904e-30
2.050505050505050519e+02,6.148342819850632930e-30
2.055555555555555429e+02,6.298230603177213526e-30
2.060606060606060623e+02,7.604088395680190500e-30
2.065656565656565533e+02,7.440279906197358827e-30
2.070707070707070727e+02,7.257535007115018302e-30
2.075757575757575637e+02,7.091792285666226995e-30
2.080808080808080831e+02,6.898411013013758359e-30
2.085858585858585741e+02,6.737035951293046408e-30
2.090909090909090935e+02,6.571606227759102692e-30
2.095959595959595845e+02,6.437646061563174104e-30
2.101010101010101039e+02,6.260419221647540202e-30
2.106060606060605949e+02,6.161153687349795116e-30
2.111111111111111143e+02,6.013906253884169151e-30
2.116161616161616053e+02,5.933444327434738881e-30
2.121212121212121247e+02,5.822930440610791836e-30
2.126262626262626156e+02,5.746342936561940101e-30
2.131313131313131350e+02,5.648260384427864096e-30
2.136363636363636260e+02,5.597210280156882605e-30
2.141414141414141454e+02,5.519306178458955439e-30
2.146464646464646364e+02,5.472552848612244413e-30
2.151515151515151558e+02,5.635224298357889182e-30
2.156565656565656468e+02,5.371658377579874686e-30
2.161616161616161662e+02,5.319537676164939151e-30
2.166666666666666572e+02,5.294164990931157108e-30
2.171717171717171766e+02,5.222159477695626161e-30
2.176767676767676676e+02,5.236978205384600817e-30
2.181818181818181870e+02,5.214948594499913551e-30
2.186868686868686780e+02,5.184372494107392125e-30
2.191919191919191974e+02,4.992583057454566659e-30
2.196969696969696884e+02,5.152598076125830915e-30
2.202020202020202078e+02,5.136941083475405391e-30
2.207070707070706987e+02,5.117788335564351892e-30
2.212121212121212182e+02,5.113210206515549041e-30
2.217171717171717091e+02,5.101246033766263716e-30
2.222222222222222285e+02,4.815370512096223874e-30
2.227272727272727195e+02,5.078850865525206291e-30
2.232323232323232389e+02,4.782536615671524953e-30
2.237373737373737299e+02,5.090564975194666040e-30
2.242424242424242493e+02,5.104318075571347442e-30
2.247474747474747403e+02,4.758031512077171844e-30
2.252525252525252597e+02,4.756774039056563677e-30
2.257575757575757507e+02,4.748534793717181181e-30
2.262626262626262701e+02,4.755688528568494397e-30
2.267676767676767611e+02,4.756196502072044747e-30
2.272727272727272805e+02,4.747656600326230488e-30
2.277777777777777715e+02,4.758902154867328383e-30
2.282828282828282909e+02,4.768986395761718935e-30
2.287878787878787818e+02,4.772751860475271075e-30
2.292929292929293013e+02,4.777453324585348581e-30
2.297979797979797922e+02,4.791330132475507376e-30
2.303030303030303116e+02,4.809445473979391410e-30
2.308080808080808026e+02,4.818054161211595820e-30
2.313131313131313220e+02,4.814531558341618165e-30
2.318181818181818130e+02,4.829884219921925444e-30
2.323232323232323324e+02,4.848230401992483195e-30
2.328282828282828234e+02,4.864165419458964071e-30
2.333333333333333428e+02,4.876778230202840097e-30
2.338383838383838338e+02,4.895542634489313509e-30
2.343434343434343532e+02,4.906972238213292176e-30
2.348484848484848442e+02,4.922691142962457526e-30
2.353535353535353636e+02,4.931106598151363886e-30
2.358585858585858546e+02,4.951043628206978266e-30
2.363636363636363740e+02,4.971917463500204938e-30
2.368686868686868650e+02,5.002493815349703197e-30
2.373737373737373844e+02,5.013395918801652274e-30
2.378787878787878753e+02,5.028432266719551686e-30
2.383838383838383947e+02,5.049698994431939217e-30
2.388888888888888857e+02,5.073701404118764804e-30
2.393939393939394051e+02,5.097357922704459912e-30
2.398989898989898961e+02,5.112158502544906684e-30
2.404040404040404155e+02,5.134549031179937881e-30
2.409090909090909065e+02,5.153347784189413992e-30
2.414141414141414259e+02,5.179332934514550077e-30
2.419191919191919169e+02,5.200797635814181803e-30
2.424242424242424363e+02,5.219377059830830815e-30
2.429292929292929273e+02,5.246186155974786502e-30
2.434343434343434467e+02,5.273459606893443190e-30
2.439393939393939377e+02,5.292111706014534196e-30
2.444444444444444571e+02,5.312710300912536118e-30
2.449494949494949481e+02,5.332773082123086137e-30
2.454545454545454675e+02,5.356471617513963325e-30
2.459595959595959584e+02,5.391432772394291433e-30
2.464646464646464779e+02,5.409345691750498174e-30
2.469696969696969688e+02,5.433214055368263893e-30
2.474747474747474882e+02,5.458059658304731631e-30
2.479797979797979792e+02,5.488079682397994671e-30
2.484848484848484986e+02,5.512891464573905787e-30
2.489898989898989896e+02,5.529147476184942890e-30
2.494949494949494806e+02,5.559734833903625088e-30
2.500000000000000000e+02,5.590844555246156280e-30
