# Columns: mx (MeV), <sigma v> limit (cm^3/s)
2.000000000000000000e+02,3.448741976423390087e-27
2.005050505050504910e+02,3.467867427415734796e-27
2.010101010101010104e+02,3.487257967404513108e-27
2.015151515151515014e+02,3.506917940498913555e-27
2.020202020202020208e+02,3.526851776633975549e-27
2.025252525252525118e+02,3.547618008798594040e-27
2.030303030303030312e+02,3.615699606470942564e-27
2.035353535353535221e+02,3.759616939883601295e-27
2.040404040404040416e+02,3.977621525066199896e-27
2.045454545454545325e+02,4.267311747877659314e-27
2.050505050505050519e+02,4.626514682838093393e-27
2.055555555555555429e+02,5.052725940430619447e-27
2.060606060606060623e+02,5.541891695382603780e-27
2.065656565656565533e+02,6.091656816894295871e-27
2.070707070707070727e+02,6.186132432917023053e-27
2.075757575757575637e+02,5.644076706823190272e-27
2.080808080808080831e+02,5.267366444122350600e-27
2.085858585858585741e+02,5.016551716958126628e-27
2.090909090909090935e+02,4.812884643186366226e-27
2.095959595959595845e+02,4.669937720139548091e-27
2.101010101010101039e+02,4.544282264533890787e-27
2.106060606060605949e+02,4.458675963948512504e-27
2.111111111111111143e+02,4.357955292932395401e-27
2.116161616161616053e+02,4.336614986514567670e-27
2.121212121212121247e+02,4.299216083010674667e-27
2.126262626262626156e+02,4.281445681547692909e-27
2.131313131313131350e+02,4.281352283031339418e-27
2.136363636363636260e+02,4.281871223167373729e-27
2.141414141414141454e+02,4.289099590173826464e-27
2.146464646464646364e+02,4.292583827844688138e-27
2.151515151515151558e+02,4.323083054543323072e-27
2.156565656565656468e+02,4.337481113083700287e-27
2.161616161616161662e+02,4.362752248380397225e-27
2.166666666666666572e+02,4.390294324372913103e-27
2.171717171717171766e+02,4.427510924319626148e-27
2.176767676767676676e+02,4.450710452634151927e-27
2.181818181818181870e+02,4.493907314924389675e-27
2.186868686868686780e+02,4.536966420740248333e-27
2.191919191919191974e+02,4.569332148732688221e-27
2.196969696969696884e+02,4.612140337800076577e-27
2.202020202020202078e+02,4.657324029815295865e-27
2.207070707070706987e+02,4.708866681828812596e-27
2.212121212121212182e+02,4.757074782443762982e-27
2.217171717171717091e+02,4.796853489749711929e-27
2.222222222222222285e+02,4.849759139869095847e-27
2.227272727272727195e+02,4.884083822330842637e-27
2.232323232323232389e+02,4.952999057364602784e-27
2.237373737373737299e+02,4.996908855885286122e-27
2.242424242424242493e+02,5.054230879823696380e-27
2.247474747474747403e+02,5.097234113022554863e-27
2.252525252525252597e+02,5.163791079452814838e-27
2.257575757575757507e+02,5.226602014263400312e-27
2.262626262626262701e+02,5.267797382681767404e-27
2.267676767676767611e+02,5.334555824924407319e-27
2.272727272727272805e+02,5.384744556530021384e-27
2.277777777777777715e+02,5.447105892752903134e-27
2.282828282828282909e+02,5.492978094699641826e-27
2.287878787878787818e+02,5.552004931011988046e-27
2.292929292929293013e+02,5.627242204605392804e-27
2.297979797979797922e+02,5.630611754391172301e-27
2.303030303030303116e+02,5.621793597912538520e-27
2.308080808080808026e+02,5.611112246449863320e-27
2.313131313131313220e+02,5.589674416942757690e-27
2.318181818181818130e+02,5.611127044507291004e-27
2.323232323232323324e+02,5.590718333137163512e-27
2.328282828282828234e+02,5.632655948123201475e-27
2.333333333333333428e+02,5.595654542820624187e-27
2.338383838383838338e+02,5.593970179699072761e-27
2.343434343434343532e+02,5.599009992815507516e-27
2.348484848484848442e+02,5.591603172803250553e-27
2.353535353535353636e+02,5.587512549859147202e-27
2.358585858585858546e+02,5.593715433395030226e-27
2.363636363636363740e+02,5.608702286695661513e-27
2.368686868686868650e+02,5.633385877419025031e-27
2.373737373737373844e+02,5.620381716693244620e-27
2.378787878787878753e+02,5.643213099767156065e-27
2.383838383838383947e+02,5.644062511162652575e-27
2.388888888888888857e+02,5.657563261515619152e-27
2.393939393939394051e+02,5.667609084180744132e-27
2.398989898989898961e+02,5.674336623622742567e-27
2.404040404040404155e+02,5.690658835403322504e-27
2.409090909090909065e+02,5.707786510295263560e-27
2.414141414141414259e+02,5.708750938898291637e-27
2.419191919191919169e+02,5.747284005957905215e-27
2.424242424242424363e+02,5.747711217590843998e-27
2.429292929292929273e+02,5.732558505243263028e-27
2.434343434343434467e+02,5.774543323308915629e-27
2.439393939393939377e+02,5.786933820233617065e-27
2.444444444444444571e+02,5.815751335829562970e-27
2.449494949494949481e+02,5.841616151367746742e-27
2.454545454545454675e+02,5.868395860989144214e-27
2.459595959595959584e+02,5.863573162511549736e-27
2.464646464646464779e+02,5.882771089968719776e-27
2.469696969696969688e+02,5.882613586922233624e-27
2.474747474747474882e+02,5.923191525235011813e-27
2.479797979797979792e+02,5.934083365026413412e-27
2.484848484848484986e+02,5.949678959629438777e-27
2.489898989898989896e+02,5.982848059042652014e-27
2.494949494949494806e+02,6.012200088119340320e-27
2.500000000000000000e+02,6.078645711763617179e-27
