# Columns: mx (MeV), <sigma v> limit (cm^3/s)
2.000000000000000000e+02,2.568760962245906918e-27
2.005050505050504910e+02,2.581553511186896974e-27
2.010101010101010104e+02,2.594393190733776794e-27
2.015151515151515014e+02,2.607278935698706038e-27
2.020202020202020208e+02,2.620209758936475880e-27
2.025252525252525118e+02,2.633603666161583348e-27
2.030303030303030312e+02,2.682630022353033587e-27
2.035353535353535221e+02,2.788997356755532644e-27
2.040404040404040416e+02,2.951634425362885152e-27
2.045454545454545325e+02,3.169490004572833345e-27
2.050505050505050519e+02,3.441532349222060436e-27
2.055555555555555429e+02,3.766748685190404729e-27
2.060606060606060623e+02,4.144144733039448671e-27
2.065656565656565533e+02,4.572744261540824053e-27
2.070707070707070727e+02,5.051591232276672945e-27
2.075757575757575637e+02,5.584227714030536656e-27
2.080808080808080831e+02,6.173721018834250740e-27
2.085858585858585741e+02,6.819045605365434506e-27
2.090909090909090935e+02,7.519194215247875124e-27
2.095959595959595845e+02,8.273177496865935384e-27
2.101010101010101039e+02,9.080023720675091733e-27
2.106060606060605949e+02,9.938778357274694969e-27
2.111111111111111143e+02,1.084850396905200014e-26
2.116161616161616053e+02,1.180827991431934307e-26
2.121212121212121247e+02,1.281720130165180467e-26
2.126262626262626156e+02,1.387438005872052908e-26
2.131313131313131350e+02,1.497894496969285722e-26
2.136363636363636260e+02,1.613003634336183878e-26
2.141414141414141454e+02,1.732681531063805803e-26
2.146464646464646364e+02,1.856845158858380845e-26
2.151515151515151558e+02,1.985412641923531533e-26
2.156565656565656468e+02,2.118304352888167423e-26
2.161616161616161662e+02,2.255438427445173026e-26
2.166666666666666572e+02,2.396752909353784521e-26
2.171717171717171766e+02,2.542142785819435351e-26
2.176767676767676676e+02,2.691543343157140933e-26
2.181818181818181870e+02,2.844923555720110270e-26
2.186868686868686780e+02,3.002136492741271923e-26
2.191919191919191974e+02,3.163110214188546962e-26
2.196969696969696884e+02,3.327793344193449326e-26
2.202020202020202078e+02,3.496201300222649586e-26
2.207070707070706987e+02,3.668040218885230033e-26
2.212121212121212182e+02,3.843227179978008783e-26
2.217171717171717091e+02,4.022237184066612870e-26
2.222222222222222285e+02,4.203919774244430327e-26
2.227272727272727195e+02,4.388951045097827955e-26
2.232323232323232389e+02,4.577423611199606887e-26
2.237373737373737299e+02,4.768393404892142193e-26
2.242424242424242493e+02,4.962197111511659297e-26
2.247474747474747403e+02,5.158390041714682636e-26
2.252525252525252597e+02,5.356151751053937150e-26
2.257575757575757507e+02,5.556711718029900364e-26
2.262626262626262701e+02,5.757377146439350661e-26
2.267676767676767611e+02,5.960520734485784988e-26
2.272727272727272805e+02,6.170373339599280574e-26
2.277777777777777715e+02,6.370935367901540985e-26
2.282828282828282909e+02,6.580218675950810193e-26
2.287878787878787818e+02,6.783620528772546409e-26
2.292929292929293013e+02,6.990972143719216768e-26
2.297979797979797922e+02,7.192163220373060170e-26
2.303030303030303116e+02,7.408251194777841490e-26
2.308080808080808026e+02,7.579906370687439441e-26
2.313131313131313220e+02,7.790325910811746103e-26
2.318181818181818130e+02,7.957033280174907687e-26
2.323232323232323324e+02,8.142157342679377153e-26
2.328282828282828234e+02,8.344475764081128212e-26
2.333333333333333428e+02,8.501374696093753210e-26
2.338383838383838338e+02,8.653416710767508983e-26
2.343434343434343532e+02,8.737155134406193994e-26
2.348484848484848442e+02,8.912478152396123675e-26
2.353535353535353636e+02,9.069565432567538271e-26
2.358585858585858546e+02,9.090655259113977019e-26
2.363636363636363740e+02,9.237341823886418590e-26
2.368686868686868650e+02,9.257662600228079337e-26
2.373737373737373844e+02,9.374121683718608321e-26
2.378787878787878753e+02,9.366014469906144092e-26
2.383838383838383947e+02,9.403382894350032662e-26
2.388888888888888857e+02,9.323503717521153033e-26
2.393939393939394051e+02,9.404916586979643586e-26
2.398989898989898961e+02,9.266136179047698822e-26
2.404040404040404155e+02,9.313538149304562460e-26
2.409090909090909065e+02,9.019688165134372616e-26
2.414141414141414259e+02,9.212501502271677617e-26
2.419191919191919169e+02,8.990849939747094713e-26
2.424242424242424363e+02,8.795888953476429177e-26
2.429292929292929273e+02,8.688227139868846710e-26
2.434343434343434467e+02,8.577762731693833785e-26
2.439393939393939377e+02,8.587484523957076799e-26
2.444444444444444571e+02,8.111890024503638608e-26
2.449494949494949481e+02,7.959914394321529973e-26
2.454545454545454675e+02,7.961628604417405281e-26
2.459595959595959584e+02,7.729277877229126049e-26
2.464646464646464779e+02,7.488359234213630752e-26
2.469696969696969688e+02,7.531064221561108670e-26
2.474747474747474882e+02,7.086351968855254361e-26
2.479797979797979792e+02,6.916906617305009095e-26
2.484848484848484986e+02,6.984061308750552375e-26
2.489898989898989896e+02,6.427660288787444434e-26
2.494949494949494806e+02,6.417729933050331244e-26
2.500000000000000000e+02,6.268345674819793649e-26
