# Columns: mx (MeV), f_eff
6.748829999999999529e+01,9.474471201737839632e-01
6.933185252525251485e+01,9.437550618420813553e-01
7.117540505050504862e+01,9.400633303160913501e-01
7.301895757575756818e+01,9.363690412154785925e-01
7.486251010101010195e+01,9.326734018475026922e-01
7.670606262626262151e+01,9.289770180681663492e-01
7.854961515151515528e+01,9.254066979664627990e-01
8.039316767676767483e+01,9.218623613428497121e-01
8.223672020202019439e+01,9.183121303221420950e-01
8.408027272727272816e+01,9.147639945626839797e-01
8.592382525252524772e+01,9.112139266909669022e-01
8.776737777777778149e+01,9.076632213226100143e-01
8.961093030303030105e+01,9.041121744714907260e-01
9.145448282828283482e+01,9.005604604245973643e-01
9.329803535353535437e+01,8.970100921928417792e-01
9.514158787878787393e+01,8.934600578137170679e-01
9.698514040404040770e+01,8.899107344127765717e-01
9.882869292929292726e+01,8.863622204927597004e-01
1.006722454545454468e+02,8.828155673432984685e-01
1.025157979797979806e+02,8.792708863687070941e-01
1.043593505050505144e+02,8.757276452031687031e-01
1.062029030303030339e+02,3.589103936112011395e-01
1.080464555555555535e+02,3.473364459307550223e-01
1.098900080808080872e+02,3.458516854461790579e-01
1.117335606060606068e+02,3.449252771706433074e-01
1.135771131313131264e+02,3.441512238060854822e-01
1.154206656565656601e+02,3.434417790289252537e-01
1.172642181818181939e+02,3.427331075475220090e-01
1.191077707070707135e+02,3.420596098615814595e-01
1.209513232323232330e+02,3.413920810751644996e-01
1.227948757575757668e+02,3.407282786793984219e-01
1.246384282828282863e+02,3.400852301774190400e-01
1.264819808080808059e+02,3.394560298985216940e-01
1.283255333333333397e+02,3.387837060496802222e-01
1.301690858585858734e+02,3.381158359958359449e-01
1.320126383838384072e+02,3.375307506124328172e-01
1.338561909090909126e+02,3.366794019679324457e-01
1.356997434343434463e+02,4.444157277874638545e-01
1.375432959595959801e+02,4.914810095384740118e-01
1.393868484848484854e+02,5.100580503863129112e-01
1.412304010101010192e+02,4.700885341774209136e-01
1.430739535353535530e+02,4.638035738365693939e-01
1.449175060606060583e+02,4.585271282389841163e-01
1.467610585858585921e+02,4.559480992937746668e-01
1.486046111111111259e+02,4.539036176569572478e-01
1.504481636363636312e+02,4.521267909062603452e-01
1.522917161616161650e+02,4.501728354350377770e-01
1.541352686868686988e+02,4.493438153243872191e-01
1.559788212121212041e+02,4.481671099711830863e-01
1.578223737373737663e+02,4.470021052234388059e-01
1.596659262626262716e+02,4.458696190297870565e-01
1.615094787878788054e+02,4.448459422934363250e-01
1.633530313131313392e+02,4.437418973504378417e-01
1.651965838383838445e+02,4.428205686331296853e-01
1.670401363636363783e+02,4.418214947522362546e-01
1.688836888888889121e+02,4.409551572234144401e-01
1.707272414141414174e+02,4.400031606837850884e-01
1.725707939393939512e+02,4.391371456075471857e-01
1.744143464646464849e+02,4.382890384068556244e-01
1.762578989898989903e+02,4.374138029636847613e-01
1.781014515151515241e+02,4.366200062136311177e-01
1.799450040404040578e+02,4.358181193301786105e-01
1.817885565656565632e+02,4.350526693118385579e-01
1.836321090909091254e+02,4.343087303329176696e-01
1.854756616161616307e+02,4.335731519800444800e-01
1.873192141414141361e+02,4.328267493177344605e-01
1.891627666666666983e+02,4.321954585109410996e-01
1.910063191919192036e+02,4.314343236998441355e-01
1.928498717171717374e+02,4.307365939792307530e-01
1.946934242424242711e+02,4.300609242442272051e-01
1.965369767676767765e+02,4.294004838933063728e-01
1.983805292929292818e+02,4.287413265469733337e-01
2.002240818181818440e+02,4.280554646787551598e-01
2.020676343434343494e+02,4.275015781831426054e-01
2.039111868686869116e+02,4.270418217152193718e-01
2.057547393939394169e+02,4.262956341076608036e-01
2.075982919191919223e+02,4.256905881076599729e-01
2.094418444444444845e+02,4.251215196780501748e-01
2.112853969696969898e+02,4.245483210261992157e-01
2.131289494949494951e+02,4.239855817149813522e-01
2.149725020202020573e+02,4.234247968000199869e-01
2.168160545454545627e+02,4.228993746939728737e-01
2.186596070707070680e+02,4.223408736760463356e-01
2.205031595959596302e+02,4.217925486653202882e-01
2.223467121212121356e+02,4.212906802632493952e-01
2.241902646464646409e+02,4.207644882356806892e-01
2.260338171717172031e+02,4.202710753541276101e-01
2.278773696969697085e+02,4.197553048586460944e-01
2.297209222222222706e+02,4.192916640948314289e-01
2.315644747474747760e+02,4.187552164142382960e-01
2.334080272727272813e+02,4.182973546668291021e-01
2.352515797979798435e+02,4.178225324801361218e-01
2.370951323232323489e+02,4.173255681057208566e-01
2.389386848484848542e+02,4.168638891785311773e-01
2.407822373737374164e+02,4.164031604729975800e-01
2.426257898989899218e+02,4.166008302066373514e-01
2.444693424242424271e+02,4.153602665000836192e-01
2.463128949494949893e+02,4.150503945545803153e-01
2.481564474747474947e+02,4.145587473667677880e-01
2.500000000000000000e+02,4.140923508193400937e-01
