# Columns: mx (MeV), <sigma v> limit (cm^3/s)
6.748829999999999529e+01,1.799199799003501074e-26
6.933185252525251485e+01,1.878963521886537133e-26
7.117540505050504862e+01,1.960791371241427352e-26
7.301895757575756818e+01,2.044715920643187002e-26
7.486251010101010195e+01,2.130770312100916403e-26
7.670606262626262151e+01,2.218988287086516859e-26
7.854961515151515528e+01,2.309404211832738195e-26
8.039316767676767483e+01,2.402053097793392036e-26
8.223672020202019439e+01,2.496970618088438571e-26
8.408027272727272816e+01,2.594193120756760404e-26
8.592382525252524772e+01,2.693757639253741509e-26
8.776737777777778149e+01,2.795701900755202408e-26
8.961093030303030105e+01,2.900064332546459919e-26
9.145448282828283482e+01,3.006884067083723151e-26
9.329803535353535437e+01,3.116200945620393132e-26
9.514158787878787393e+01,3.228055520760963758e-26
9.698514040404040770e+01,3.342489058702430665e-26
9.882869292929292726e+01,3.459543540003528869e-26
1.006722454545454468e+02,3.579261660163844545e-26
1.025157979797979806e+02,3.701686830066166514e-26
1.043593505050505144e+02,3.826863175438110983e-26
1.062029030303030339e+02,7.546117532983038687e-26
1.080464555555555535e+02,7.936400323827960394e-26
1.098900080808080872e+02,8.179767906793754034e-26
1.117335606060606068e+02,8.417553425568505568e-26
1.135771131313131264e+02,8.655215961288865757e-26
1.154206656565656601e+02,8.864297923679237438e-26
1.172642181818181939e+02,9.042969097234966154e-26
1.191077707070707135e+02,9.203950804390935542e-26
1.209513232323232330e+02,9.359104959200954892e-26
1.227948757575757668e+02,9.527727443029237813e-26
1.246384282828282863e+02,9.702926765326657015e-26
1.264819808080808059e+02,9.880158155273588568e-26
1.283255333333333397e+02,1.005833055732434454e-25
1.301690858585858734e+02,1.023712318923354579e-25
1.320126383838384072e+02,1.041646570472689984e-25
1.338561909090909126e+02,1.059638429905973597e-25
1.356997434343434463e+02,2.886935333114100979e-25
1.375432959595959801e+02,4.344809990139038276e-25
1.393868484848484854e+02,5.193083266275421141e-25
1.412304010101010192e+02,2.121879730692847040e-25
1.430739535353535530e+02,1.999067822363083379e-25
1.449175060606060583e+02,1.970366166653075793e-25
1.467610585858585921e+02,1.969953109323313066e-25
1.486046111111111259e+02,1.981903029010936688e-25
1.504481636363636312e+02,1.998937111654678371e-25
1.522917161616161650e+02,2.017722504605338058e-25
1.541352686868686988e+02,2.036959639564085178e-25
1.559788212121212041e+02,2.056444166736877766e-25
1.578223737373737663e+02,2.076482503825568002e-25
1.596659262626262716e+02,2.097141782514016886e-25
1.615094787878788054e+02,2.118392365734150204e-25
1.633530313131313392e+02,2.140190534759692958e-25
1.651965838383838445e+02,2.162494558169060737e-25
1.670401363636363783e+02,2.185266919897955561e-25
1.688836888888889121e+02,2.208474505644825755e-25
1.707272414141414174e+02,2.232078956686095432e-25
1.725707939393939512e+02,2.255887243636457768e-25
1.744143464646464849e+02,2.279566868586279562e-25
1.762578989898989903e+02,2.301909951534808848e-25
1.781014515151515241e+02,2.319944872822764241e-25
1.799450040404040578e+02,2.327410135917347567e-25
1.817885565656565632e+02,2.337365240961516583e-25
1.836321090909091254e+02,2.308262858401254768e-25
1.854756616161616307e+02,2.237032949266174196e-25
1.873192141414141361e+02,2.115418473482852635e-25
1.891627666666666983e+02,1.948551012946114174e-25
1.910063191919192036e+02,1.870640243708114247e-25
1.928498717171717374e+02,1.672967828782966297e-25
1.946934242424242711e+02,1.592396163620543277e-25
1.965369767676767765e+02,1.410427969223771452e-25
1.983805292929292818e+02,1.253313050663758651e-25
2.002240818181818440e+02,1.416723419788697506e-25
2.020676343434343494e+02,1.441667637950095398e-25
2.039111868686869116e+02,1.466817438549661757e-25
2.057547393939394169e+02,1.492172662364097923e-25
2.075982919191919223e+02,1.517733153724704413e-25
2.094418444444444845e+02,1.543498756994202109e-25
2.112853969696969898e+02,1.569469319291690488e-25
2.131289494949494951e+02,1.595644692184731098e-25
2.149725020202020573e+02,1.622024727153491384e-25
2.168160545454545627e+02,1.648609280583290980e-25
2.186596070707070680e+02,1.675398209409797380e-25
2.205031595959596302e+02,1.702391372944603559e-25
2.223467121212121356e+02,1.729588634505851239e-25
2.241902646464646409e+02,1.756989857928326373e-25
2.260338171717172031e+02,1.784594909823853279e-25
2.278773696969697085e+02,1.812403658404302909e-25
2.297209222222222706e+02,1.840415975669283346e-25
2.315644747474747760e+02,1.868631734023079921e-25
2.334080272727272813e+02,1.897050808466410803e-25
2.352515797979798435e+02,1.925673076001021667e-25
2.370951323232323489e+02,1.954498415593787882e-25
2.389386848484848542e+02,1.983526707582838468e-25
2.407822373737374164e+02,2.012757835875537445e-25
2.426257898989899218e+02,2.042191684571041987e-25
2.444693424242424271e+02,2.071828140156067093e-25
2.463128949494949893e+02,2.101667090917430911e-25
2.481564474747474947e+02,2.131708426912187992e-25
2.500000000000000000e+02,2.161952039938777338e-25
