# Columns: mx (MeV), <sigma v> limit (cm^3/s)
6.748829999999999529e+01,1.036055354966620387e-29
6.933185252525251485e+01,1.041192435617691587e-29
7.117540505050504862e+01,1.046955841535791798e-29
7.301895757575756818e+01,1.051606911205236484e-29
7.486251010101010195e+01,1.056157260275054028e-29
7.670606262626262151e+01,1.060682343624510005e-29
7.854961515151515528e+01,1.065538647522980379e-29
8.039316767676767483e+01,1.071283247789481944e-29
8.223672020202019439e+01,1.076315062459760731e-29
8.408027272727272816e+01,1.081749415488552712e-29
8.592382525252524772e+01,1.087271130793980364e-29
8.776737777777778149e+01,1.092468806552107321e-29
8.961093030303030105e+01,1.098326828302416286e-29
9.145448282828283482e+01,1.103681093744131994e-29
9.329803535353535437e+01,1.109645744605494603e-29
9.514158787878787393e+01,1.115856819480060264e-29
9.698514040404040770e+01,1.121342520298309908e-29
9.882869292929292726e+01,1.127687467820143225e-29
1.006722454545454468e+02,1.133613472229768908e-29
1.025157979797979806e+02,1.139929247095771015e-29
1.043593505050505144e+02,1.146374889698613938e-29
1.062029030303030339e+02,3.758131468358821095e-28
1.080464555555555535e+02,5.574183488664303300e-28
1.098900080808080872e+02,5.848270130618866171e-28
1.117335606060606068e+02,5.997207246469880188e-28
1.135771131313131264e+02,6.108027620502861691e-28
1.154206656565656601e+02,6.200415292936358322e-28
1.172642181818181939e+02,6.280948108789253365e-28
1.191077707070707135e+02,6.353399282174806332e-28
1.209513232323232330e+02,6.419995198697244986e-28
1.227948757575757668e+02,6.482102340467478691e-28
1.246384282828282863e+02,6.540200568706283383e-28
1.264819808080808059e+02,6.594997078635787296e-28
1.283255333333333397e+02,6.646841319966786348e-28
1.301690858585858734e+02,6.696529231921263559e-28
1.320126383838384072e+02,6.744111263722481391e-28
1.338561909090909126e+02,6.790273233668534554e-28
1.356997434343434463e+02,2.238856205298149706e-30
1.375432959595959801e+02,2.016208931240695524e-30
1.393868484848484854e+02,2.043727796889465327e-30
1.412304010101010192e+02,3.782002933061573071e-30
1.430739535353535530e+02,4.448279464275650171e-30
1.449175060606060583e+02,4.985998641062980953e-30
1.467610585858585921e+02,5.337566310470334481e-30
1.486046111111111259e+02,5.699456866211984113e-30
1.504481636363636312e+02,6.046781513588492699e-30
1.522917161616161650e+02,6.360639813331058078e-30
1.541352686868686988e+02,6.669285687400360406e-30
1.559788212121212041e+02,7.057311794049799035e-30
1.578223737373737663e+02,7.307944857094439161e-30
1.596659262626262716e+02,7.560829351292006721e-30
1.615094787878788054e+02,7.915437687475675071e-30
1.633530313131313392e+02,8.144379888329970789e-30
1.651965838383838445e+02,8.485843649433949007e-30
1.670401363636363783e+02,8.695517746961931907e-30
1.688836888888889121e+02,9.026960019688032102e-30
1.707272414141414174e+02,9.364703385225887695e-30
1.725707939393939512e+02,9.699245198609474447e-30
1.744143464646464849e+02,9.877637444025407641e-30
1.762578989898989903e+02,1.019612290150436501e-29
1.781014515151515241e+02,1.051869232079212444e-29
1.799450040404040578e+02,1.083877393822357391e-29
1.817885565656565632e+02,1.115643783011471458e-29
1.836321090909091254e+02,1.147170249058914455e-29
1.854756616161616307e+02,1.178456780902785577e-29
1.873192141414141361e+02,1.209499498855608784e-29
1.891627666666666983e+02,1.240292995426548502e-29
1.910063191919192036e+02,1.270829153828697872e-29
1.928498717171717374e+02,1.301096607817391232e-29
1.946934242424242711e+02,1.331086421604479559e-29
1.965369767676767765e+02,1.360845298028663840e-29
1.983805292929292818e+02,1.390395877320099174e-29
2.002240818181818440e+02,2.614982453653110758e-29
2.020676343434343494e+02,2.502553415009236455e-29
2.039111868686869116e+02,2.572344705482774351e-29
2.057547393939394169e+02,2.676868643297733447e-29
2.075982919191919223e+02,2.726603909617451200e-29
2.094418444444444845e+02,2.858134437216240496e-29
2.112853969696969898e+02,2.962308144405966848e-29
2.131289494949494951e+02,3.048975901046553688e-29
2.149725020202020573e+02,3.123772776291470046e-29
2.168160545454545627e+02,3.211093478849035007e-29
2.186596070707070680e+02,3.332152130253632723e-29
2.205031595959596302e+02,3.401273720918791444e-29
2.223467121212121356e+02,3.510093020086242430e-29
2.241902646464646409e+02,3.631197939788706510e-29
2.260338171717172031e+02,3.681604819917955137e-29
2.278773696969697085e+02,3.778304718352431044e-29
2.297209222222222706e+02,3.886038852823758690e-29
2.315644747474747760e+02,3.990703342317764661e-29
2.334080272727272813e+02,4.092639300065194883e-29
2.352515797979798435e+02,4.192129535993362483e-29
2.370951323232323489e+02,4.289406634210307907e-29
2.389386848484848542e+02,4.384667973745850078e-29
2.407822373737374164e+02,4.478075432830036904e-29
2.426257898989899218e+02,4.569774880071605587e-29
2.444693424242424271e+02,4.659896348910922553e-29
2.463128949494949893e+02,4.748548239088773002e-29
2.481564474747474947e+02,4.835801767261748397e-29
2.500000000000000000e+02,4.921710816871963677e-29
