# Columns: mx (MeV), <sigma v> limit (cm^3/s)
6.748829999999999529e+01,1.554260779475989331e-11
6.933185252525251485e+01,5.800591563788193771e-12
7.117540505050504862e+01,1.719394419350499938e-12
7.301895757575756818e+01,5.937297625944907435e-13
7.486251010101010195e+01,2.258460382712478264e-13
7.670606262626262151e+01,8.710574026349552553e-14
7.854961515151515528e+01,3.378140548855379711e-14
8.039316767676767483e+01,9.682396132530393253e-15
8.223672020202019439e+01,3.655936310439676236e-15
8.408027272727272816e+01,1.426460483381550900e-15
8.592382525252524772e+01,5.710852269215667042e-16
8.776737777777778149e+01,2.511918991169439242e-16
8.961093030303030105e+01,1.241599804399152935e-16
9.145448282828283482e+01,4.986849653410185475e-17
9.329803535353535437e+01,2.029097390307283747e-17
9.514158787878787393e+01,8.434703264712957530e-18
9.698514040404040770e+01,3.780749835966151250e-18
9.882869292929292726e+01,2.101938128177615344e-18
1.006722454545454468e+02,8.970950174307872363e-19
1.025157979797979806e+02,4.121157442774574627e-19
1.043593505050505144e+02,2.376873292239150609e-19
1.062029030303030339e+02,4.069829878682128027e-18
1.080464555555555535e+02,1.947209957884472390e-17
1.098900080808080872e+02,1.628666366302927634e-17
1.117335606060606068e+02,1.022437404470923690e-17
1.135771131313131264e+02,4.241797982651656248e-18
1.154206656565656601e+02,1.707971283481676804e-18
1.172642181818181939e+02,6.541983153039730662e-19
1.191077707070707135e+02,2.657370149961165322e-19
1.209513232323232330e+02,1.131991380094176664e-19
1.227948757575757668e+02,5.160153677385949332e-20
1.246384282828282863e+02,2.508713953909623305e-20
1.264819808080808059e+02,1.296037044461322342e-20
1.283255333333333397e+02,7.120865924719254282e-21
1.301690858585858734e+02,4.140498021810502404e-21
1.320126383838384072e+02,2.538674632779594734e-21
1.338561909090909126e+02,1.634564683301920665e-21
1.356997434343434463e+02,2.954239802177622122e-21
1.375432959595959801e+02,3.078469562752977059e-21
1.393868484848484854e+02,2.647184648566141395e-21
1.412304010101010192e+02,3.961912462552022177e-21
1.430739535353535530e+02,3.635292782544792846e-21
1.449175060606060583e+02,3.024518711186755253e-21
1.467610585858585921e+02,2.171702915515679769e-21
1.486046111111111259e+02,1.202675784584665392e-21
1.504481636363636312e+02,4.981940427672839437e-22
1.522917161616161650e+02,2.550967695904611789e-22
1.541352686868686988e+02,1.261830823372580466e-22
1.559788212121212041e+02,4.174046591576846346e-23
1.578223737373737663e+02,2.073961377200916418e-23
1.596659262626262716e+02,1.050834304783336525e-23
1.615094787878788054e+02,5.457592834976708991e-24
1.633530313131313392e+02,4.100224547871731340e-24
1.651965838383838445e+02,2.222095583925061760e-24
1.670401363636363783e+02,1.244577460329411203e-24
1.688836888888889121e+02,7.220567611470833780e-25
1.707272414141414174e+02,5.726087809735318619e-25
1.725707939393939512e+02,3.511165177660214837e-25
1.744143464646464849e+02,2.860212955202575979e-25
1.762578989898989903e+02,1.859587675969447574e-25
1.781014515151515241e+02,1.558329441964368571e-25
1.799450040404040578e+02,1.075779609038804873e-25
1.817885565656565632e+02,9.277752954258167135e-26
1.836321090909091254e+02,8.074479484730303008e-26
1.854756616161616307e+02,6.026694666371397458e-26
1.873192141414141361e+02,5.390758592031885568e-26
1.891627666666666983e+02,4.862231209310744738e-26
1.910063191919192036e+02,3.895664821732341022e-26
1.928498717171717374e+02,3.598088871545561864e-26
1.946934242424242711e+02,3.345958828854895453e-26
1.965369767676767765e+02,3.131370657938075593e-26
1.983805292929292818e+02,2.947905835319837286e-26
2.002240818181818440e+02,1.696795113302678434e-21
2.020676343434343494e+02,1.608957337427379772e-22
2.039111868686869116e+02,3.127609889844987600e-23
2.057547393939394169e+02,9.098342093901055431e-24
2.075982919191919223e+02,3.933030795968286120e-24
2.094418444444444845e+02,1.791834516538248410e-24
2.112853969696969898e+02,8.744256443190679934e-25
2.131289494949494951e+02,5.832949355295009309e-25
2.149725020202020573e+02,4.015822377737920557e-25
2.168160545454545627e+02,2.860499748457938956e-25
2.186596070707070680e+02,2.110404408637396983e-25
2.205031595959596302e+02,1.612568820267221073e-25
2.223467121212121356e+02,1.274736633953756574e-25
2.241902646464646409e+02,1.180241549356633027e-25
2.260338171717172031e+02,9.762949746531238805e-26
2.278773696969697085e+02,8.302217685256724719e-26
2.297209222222222706e+02,7.919166973274843241e-26
2.315644747474747760e+02,6.965100816740313322e-26
2.334080272727272813e+02,6.730217846095750556e-26
2.352515797979798435e+02,6.522876194040903285e-26
2.370951323232323489e+02,5.926533700063992098e-26
2.389386848484848542e+02,5.794091269370636871e-26
2.407822373737374164e+02,5.675284163128788648e-26
2.426257898989899218e+02,5.568407958603096303e-26
2.444693424242424271e+02,5.189649363987807559e-26
2.463128949494949893e+02,5.117615760257365847e-26
2.481564474747474947e+02,5.051870528321119926e-26
2.500000000000000000e+02,4.991699145166714698e-26
