# Columns: mx (MeV), <sigma v> limit (cm^3/s)
6.748829999999999529e+01,1.554260779475989331e-11
6.933185252525251485e+01,5.800591563788193771e-12
7.117540505050504862e+01,1.719394419350499938e-12
7.301895757575756818e+01,5.937297625944907435e-13
7.486251010101010195e+01,2.258460382712477759e-13
7.670606262626262151e+01,8.710574026349552553e-14
7.854961515151515528e+01,3.378140548855380342e-14
8.039316767676767483e+01,9.682396132530393253e-15
8.223672020202019439e+01,3.655936310439676236e-15
8.408027272727272816e+01,1.426460483381550900e-15
8.592382525252524772e+01,5.710852269215671972e-16
8.776737777777778149e+01,2.511918991169439242e-16
8.961093030303030105e+01,1.241599804399152935e-16
9.145448282828283482e+01,4.986849653410179928e-17
9.329803535353535437e+01,2.029097390307285904e-17
9.514158787878787393e+01,8.434703264712971397e-18
9.698514040404040770e+01,3.780749835966114272e-18
9.882869292929292726e+01,2.101938128177589151e-18
1.006722454545454468e+02,8.970950174307872363e-19
1.025157979797979806e+02,4.121157442774603997e-19
1.043593505050505144e+02,2.376873292239150609e-19
1.062029030303030339e+02,4.069829878682128027e-18
1.080464555555555535e+02,1.947209957884472082e-17
1.098900080808080872e+02,1.628666366302928250e-17
1.117335606060606068e+02,1.022437404470923228e-17
1.135771131313131264e+02,4.241797982651656248e-18
1.154206656565656601e+02,1.707971283481677382e-18
1.172642181818181939e+02,6.541983153039717180e-19
1.191077707070707135e+02,2.657370149961160989e-19
1.209513232323232330e+02,1.131991380094178349e-19
1.227948757575757668e+02,5.160153677385946323e-20
1.246384282828282863e+02,2.508713953909623305e-20
1.264819808080808059e+02,1.296037044461322342e-20
1.283255333333333397e+02,7.120865924719252777e-21
1.301690858585858734e+02,4.140498021810502404e-21
1.320126383838384072e+02,2.538674632779594357e-21
1.338561909090909126e+02,1.634564683301920477e-21
1.356997434343434463e+02,2.954239802177621370e-21
1.375432959595959801e+02,3.078469562752976682e-21
1.393868484848484854e+02,2.647184648566142523e-21
1.412304010101010192e+02,3.961912462552021424e-21
1.430739535353535530e+02,3.635292782544792846e-21
1.449175060606060583e+02,3.024518711186754501e-21
1.467610585858585921e+02,2.171702915515679393e-21
1.486046111111111259e+02,1.202675784584665392e-21
1.504481636363636312e+02,4.981940427672839437e-22
1.522917161616161650e+02,2.550967695904610848e-22
1.541352686868686988e+02,1.261830823372580231e-22
1.559788212121212041e+02,4.174046591576845759e-23
1.578223737373737663e+02,2.073961377200916418e-23
1.596659262626262716e+02,1.050834304783336525e-23
1.615094787878788054e+02,5.457592834976708256e-24
1.633530313131313392e+02,4.100224547871732075e-24
1.651965838383838445e+02,2.222095583925061392e-24
1.670401363636363783e+02,1.244577460329411387e-24
1.688836888888889121e+02,7.220567611470834698e-25
1.707272414141414174e+02,5.726087809735320455e-25
1.725707939393939512e+02,3.511165177660214837e-25
1.744143464646464849e+02,2.860212955202576438e-25
1.762578989898989903e+02,1.859587675969447574e-25
1.781014515151515241e+02,1.558329441964368571e-25
1.799450040404040578e+02,1.075779609038804873e-25
1.817885565656565632e+02,9.277752954258167135e-26
1.836321090909091254e+02,8.074479484730303008e-26
1.854756616161616307e+02,6.026694666371397458e-26
1.873192141414141361e+02,5.390758592031886716e-26
1.891627666666666983e+02,4.862231209310743590e-26
1.910063191919192036e+02,3.895664821732341022e-26
1.928498717171717374e+02,3.598088871545561864e-26
1.946934242424242711e+02,3.345958828854895453e-26
1.965369767676767765e+02,3.131370657938075593e-26
1.983805292929292818e+02,2.947905835319837286e-26
2.002240818181818440e+02,2.561805105644031355e-26
2.020676343434343494e+02,2.449482255220491974e-26
2.039111868686869116e+02,2.351626973572034313e-26
2.057547393939394169e+02,2.265961402101465024e-26
2.075982919191919223e+02,2.190602594337646652e-26
2.094418444444444845e+02,2.123990059438617910e-26
2.112853969696969898e+02,2.064832210455062168e-26
2.131289494949494951e+02,2.012056202766718164e-26
2.149725020202020573e+02,1.964769453212443052e-26
2.168160545454545627e+02,1.922229213326935852e-26
2.186596070707070680e+02,1.883814227919974380e-26
2.205031595959596302e+02,1.849002835468547714e-26
2.223467121212121356e+02,1.817355949221340853e-26
2.241902646464646409e+02,1.788500857778641378e-26
2.260338171717172031e+02,1.762122557741313421e-26
2.278773696969697085e+02,1.737951127682573745e-26
2.297209222222222706e+02,1.715755139686138618e-26
2.315644747474747760e+02,1.764875440062084236e-26
2.334080272727272813e+02,1.743287515889229277e-26
2.352515797979798435e+02,1.723382256465305366e-26
2.370951323232323489e+02,1.705006476997933121e-26
2.389386848484848542e+02,1.688029591526174597e-26
2.407822373737374164e+02,1.672341078962242395e-26
2.426257898989899218e+02,1.657849546594186429e-26
2.444693424242424271e+02,1.701631713622755273e-26
2.463128949494949893e+02,1.687443869317861529e-26
2.481564474747474947e+02,1.674369552879054457e-26
2.500000000000000000e+02,1.662375444217723953e-26
