# Columns: mx (MeV), f_eff
6.748829999999999529e+01,7.241271626084423430e-01
6.933185252525251485e+01,7.235397653492749992e-01
7.117540505050504862e+01,7.229523680901080995e-01
7.301895757575756818e+01,7.223649708309420880e-01
7.486251010101010195e+01,7.217775735717769647e-01
7.670606262626262151e+01,7.211901763126117304e-01
7.854961515151515528e+01,7.202046178770421525e-01
8.039316767676767483e+01,7.190771272735626551e-01
8.223672020202019439e+01,7.179496366700837129e-01
8.408027272727272816e+01,7.168221460666049927e-01
8.592382525252524772e+01,7.156946554631266055e-01
8.776737777777778149e+01,7.145671648596485515e-01
8.961093030303030105e+01,7.134396742561706084e-01
9.145448282828283482e+01,7.123121836526933315e-01
9.329803535353535437e+01,7.111846930492157215e-01
9.514158787878787393e+01,7.100572024457389997e-01
9.698514040404040770e+01,7.089297118422620558e-01
9.882869292929292726e+01,7.078022212387852230e-01
1.006722454545454468e+02,7.066747306353088343e-01
1.025157979797979806e+02,7.055472400318324455e-01
1.043593505050505144e+02,7.044197494283561678e-01
1.062029030303030339e+02,7.032922588248801121e-01
1.080464555555555535e+02,7.021647682214042785e-01
1.098900080808080872e+02,7.010372776179284449e-01
1.117335606060606068e+02,6.999097870144527223e-01
1.135771131313131264e+02,6.987822964109772217e-01
1.154206656565656601e+02,6.976548058075016101e-01
1.172642181818181939e+02,6.965273152040262206e-01
1.191077707070707135e+02,6.953998246005509420e-01
1.209513232323232330e+02,6.942723339970757745e-01
1.227948757575757668e+02,6.931448433936004960e-01
1.246384282828282863e+02,6.920173527901253285e-01
1.264819808080808059e+02,6.908898621866503831e-01
1.283255333333333397e+02,6.897623715831754376e-01
1.301690858585858734e+02,6.886348809797006032e-01
1.320126383838384072e+02,6.875073903762255467e-01
1.338561909090909126e+02,6.863880648358217096e-01
1.356997434343434463e+02,7.152442491167230187e-01
1.375432959595959801e+02,7.147335545115508504e-01
1.393868484848484854e+02,7.151831796380657691e-01
1.412304010101010192e+02,4.937186508873198099e-01
1.430739535353535530e+02,4.677487102228297111e-01
1.449175060606060583e+02,4.536621024356252141e-01
1.467610585858585921e+02,4.462768236518758203e-01
1.486046111111111259e+02,4.412283437200303915e-01
1.504481636363636312e+02,4.373680648992648301e-01
1.522917161616161650e+02,4.339136826060180363e-01
1.541352686868686988e+02,4.320124318845336431e-01
1.559788212121212041e+02,4.300064099539956386e-01
1.578223737373737663e+02,4.282243195273291447e-01
1.596659262626262716e+02,4.266145066039034317e-01
1.615094787878788054e+02,4.251837309132658893e-01
1.633530313131313392e+02,4.237946751008499491e-01
1.651965838383838445e+02,4.226324431165108253e-01
1.670401363636363783e+02,4.214441923643696963e-01
1.688836888888889121e+02,4.204289671105438941e-01
1.707272414141414174e+02,4.193531763857971661e-01
1.725707939393939512e+02,4.183792247684396948e-01
1.744143464646464849e+02,4.174428411117955817e-01
1.762578989898989903e+02,4.165044748879479508e-01
1.781014515151515241e+02,4.156626704305500519e-01
1.799450040404040578e+02,4.147956954910396732e-01
1.817885565656565632e+02,4.139822725615698307e-01
1.836321090909091254e+02,4.131862567336063163e-01
1.854756616161616307e+02,4.124349756695654401e-01
1.873192141414141361e+02,4.116435864489911833e-01
1.891627666666666983e+02,4.108945013084187581e-01
1.910063191919192036e+02,4.101570105390823784e-01
1.928498717171717374e+02,4.094296161047469296e-01
1.946934242424242711e+02,4.087401451861053525e-01
1.965369767676767765e+02,4.080327974361114829e-01
1.983805292929292818e+02,4.073327450430622720e-01
2.002240818181818440e+02,7.068746800711065426e-01
2.020676343434343494e+02,7.060266924733898941e-01
2.039111868686869116e+02,7.051691150820855736e-01
2.057547393939394169e+02,7.042267796125659673e-01
2.075982919191919223e+02,7.032346854336988251e-01
2.094418444444444845e+02,7.023075953219403145e-01
2.112853969696969898e+02,7.013631104381794490e-01
2.131289494949494951e+02,7.004107273994020222e-01
2.149725020202020573e+02,6.995339799186235386e-01
2.168160545454545627e+02,6.985847041988672013e-01
2.186596070707070680e+02,6.976060030469150020e-01
2.205031595959596302e+02,6.967675447925559817e-01
2.223467121212121356e+02,6.957346018917697217e-01
2.241902646464646409e+02,6.948652829861033942e-01
2.260338171717172031e+02,6.939055021582475336e-01
2.278773696969697085e+02,6.928840790394946714e-01
2.297209222222222706e+02,6.922216516420831578e-01
2.315644747474747760e+02,6.912375268208227341e-01
2.334080272727272813e+02,6.903443085432390269e-01
2.352515797979798435e+02,6.894961186456859403e-01
2.370951323232323489e+02,6.896722343675844025e-01
2.389386848484848542e+02,6.876152654096781003e-01
2.407822373737374164e+02,6.868112649447363216e-01
2.426257898989899218e+02,6.862939917034998061e-01
2.444693424242424271e+02,6.849887452103856633e-01
2.463128949494949893e+02,6.837521487467603798e-01
2.481564474747474947e+02,6.831064675352397364e-01
2.500000000000000000e+02,6.824456296141422351e-01
