# Columns: mx (MeV), <sigma v> limit (cm^3/s)
6.748829999999999529e+01,6.798207680742873721e-31
6.933185252525251485e+01,7.163085768778090322e-31
7.117540505050504862e+01,7.537343179729290188e-31
7.301895757575756818e+01,7.920979585520980611e-31
7.486251010101010195e+01,8.313968685581997183e-31
7.670606262626262151e+01,8.716495870105997069e-31
7.854961515151515528e+01,9.130250928954630000e-31
8.039316767676767483e+01,9.554021135794314793e-31
8.223672020202019439e+01,9.987346975192094910e-31
8.408027272727272816e+01,1.043047388028363608e-30
8.592382525252524772e+01,1.088360199340828651e-30
8.776737777777778149e+01,1.134693368235916373e-30
8.961093030303030105e+01,1.182066631121575064e-30
9.145448282828283482e+01,1.230495846942491709e-30
9.329803535353535437e+01,1.279992555709570457e-30
9.514158787878787393e+01,1.330565723860527168e-30
9.698514040404040770e+01,1.382220122987032686e-30
9.882869292929292726e+01,1.434956946774397351e-30
1.006722454545454468e+02,1.488749103865166986e-30
1.025157979797979806e+02,1.543413021501984553e-30
1.043593505050505144e+02,1.598876020755619253e-30
1.062029030303030339e+02,1.655129590241847742e-30
1.080464555555555535e+02,1.712335708248473515e-30
1.098900080808080872e+02,1.770571511348709574e-30
1.117335606060606068e+02,1.829834904739819308e-30
1.135771131313131264e+02,1.890122332727876265e-30
1.154206656565656601e+02,1.951429737255914858e-30
1.172642181818181939e+02,2.013755680823961899e-30
1.191077707070707135e+02,2.077094234667137791e-30
1.209513232323232330e+02,2.141437533824120217e-30
1.227948757575757668e+02,2.206782338976264536e-30
1.246384282828282863e+02,2.273121894652589943e-30
1.264819808080808059e+02,2.340445247571861585e-30
1.283255333333333397e+02,2.408748315979316592e-30
1.301690858585858734e+02,2.478020893055117769e-30
1.320126383838384072e+02,2.548248799409607019e-30
1.338561909090909126e+02,2.619315479058743404e-30
1.356997434343434463e+02,1.405504420964778492e-30
1.375432959595959801e+02,1.509150588847109153e-30
1.393868484848484854e+02,1.606578474050354640e-30
1.412304010101010192e+02,3.355464305535786299e-30
1.430739535353535530e+02,4.026317586594670293e-30
1.449175060606060583e+02,4.558150436739698480e-30
1.467610585858585921e+02,4.909701662552448253e-30
1.486046111111111259e+02,5.265043928910615617e-30
1.504481636363636312e+02,5.603599356645993907e-30
1.522917161616161650e+02,5.908967636265758215e-30
1.541352686868686988e+02,6.207962706158956876e-30
1.559788212121212041e+02,6.580045154937665932e-30
1.578223737373737663e+02,6.823259220818233933e-30
1.596659262626262716e+02,7.067913799794331995e-30
1.615094787878788054e+02,7.407435948651802338e-30
1.633530313131313392e+02,7.628980760863862479e-30
1.651965838383838445e+02,7.955892046738790871e-30
1.670401363636363783e+02,8.158988859427252936e-30
1.688836888888889121e+02,8.476427198983485526e-30
1.707272414141414174e+02,8.799830513058682667e-30
1.725707939393939512e+02,9.120333008467134935e-30
1.744143464646464849e+02,9.293889003397474210e-30
1.762578989898989903e+02,9.599484642157212165e-30
1.781014515151515241e+02,9.909050833002107705e-30
1.799450040404040578e+02,1.021644393162100868e-29
1.817885565656565632e+02,1.052173372822076079e-29
1.836321090909091254e+02,1.082494754148557230e-29
1.854756616161616307e+02,1.112608516072368905e-29
1.873192141414141361e+02,1.142511611158833556e-29
1.891627666666666983e+02,1.172198775845647464e-29
1.910063191919192036e+02,1.201662472573731304e-29
1.928498717171717374e+02,1.230892185175353221e-29
1.946934242424242711e+02,1.259879227997163516e-29
1.965369767676767765e+02,1.288668504067828008e-29
1.983805292929292818e+02,1.317280451416518142e-29
2.002240818181818440e+02,3.340511176180584868e-30
2.020676343434343494e+02,3.195485966215474607e-30
2.039111868686869116e+02,3.287521291261087469e-30
2.057547393939394169e+02,3.424921087888684507e-30
2.075982919191919223e+02,3.491192525477704637e-30
2.094418444444444845e+02,3.664241741146778002e-30
2.112853969696969898e+02,3.801859012607543992e-30
2.131289494949494951e+02,3.916749953335417038e-30
2.149725020202020573e+02,4.016192279763955909e-30
2.168160545454545627e+02,4.130635681199236387e-30
2.186596070707070680e+02,4.292591275229944302e-30
2.205031595959596302e+02,4.383179754691472251e-30
2.223467121212121356e+02,4.529498081276242886e-30
2.241902646464646409e+02,4.690598124192086559e-30
2.260338171717172031e+02,4.756398911724377965e-30
2.278773696969697085e+02,4.887285895244150257e-30
2.297209222222222706e+02,5.031152694554470537e-30
2.315644747474747760e+02,5.171105982481751763e-30
2.334080272727272813e+02,5.307568994470688711e-30
2.352515797979798435e+02,5.440896115812814098e-30
2.370951323232323489e+02,5.571376894381193668e-30
2.389386848484848542e+02,5.699251057319164613e-30
2.407822373737374164e+02,5.824718402169026236e-30
2.426257898989899218e+02,5.947939157044988642e-30
2.444693424242424271e+02,6.069045140745031672e-30
2.463128949494949893e+02,6.188141013444868619e-30
2.481564474747474947e+02,6.305308382175940660e-30
2.500000000000000000e+02,6.420606856275053025e-30
