# Columns: mx (MeV), <sigma v> limit (cm^3/s)
6.748829999999999529e+01,7.958617356433192563e-28
6.933185252525251485e+01,7.916393812853694498e-28
7.117540505050504862e+01,8.014388757805014398e-28
7.301895757575756818e+01,8.243281876058730433e-28
7.486251010101010195e+01,8.601029897224121205e-28
7.670606262626262151e+01,9.091356649405900081e-28
7.854961515151515528e+01,9.722946323818175920e-28
8.039316767676767483e+01,1.050909377452266031e-27
8.223672020202019439e+01,1.146767008800422728e-27
8.408027272727272816e+01,1.262132166668347020e-27
8.592382525252524772e+01,1.399785662256036747e-27
8.776737777777778149e+01,1.456426714103895313e-27
8.961093030303030105e+01,1.369349991787943624e-27
9.145448282828283482e+01,1.303993507591764327e-27
9.329803535353535437e+01,1.256036110993572824e-27
9.514158787878787393e+01,1.222402492979052823e-27
9.698514040404040770e+01,1.200900887576074362e-27
9.882869292929292726e+01,1.189980209347897010e-27
1.006722454545454468e+02,1.188564599899263156e-27
1.025157979797979806e+02,1.195939289240109407e-27
1.043593505050505144e+02,1.211671227197929227e-27
1.062029030303030339e+02,1.235553778126318493e-27
1.080464555555555535e+02,1.267568412008683355e-27
1.098900080808080872e+02,1.307858640780058472e-27
1.117335606060606068e+02,1.356712953534672313e-27
1.135771131313131264e+02,1.414554503753555180e-27
1.154206656565656601e+02,1.481935979945332160e-27
1.172642181818181939e+02,1.559538560737142626e-27
1.191077707070707135e+02,1.648174186507332903e-27
1.209513232323232330e+02,1.748790616597452558e-27
1.227948757575757668e+02,1.862478912928499421e-27
1.246384282828282863e+02,1.990483116803638734e-27
1.264819808080808059e+02,2.134211979025633713e-27
1.283255333333333397e+02,2.295252673417925028e-27
1.301690858585858734e+02,2.475386476952953644e-27
1.320126383838384072e+02,2.676606440644081775e-27
1.338561909090909126e+02,2.901137107523952326e-27
1.356997434343434463e+02,1.635615300795869695e-27
1.375432959595959801e+02,1.751424138439811693e-27
1.393868484848484854e+02,1.890192185767004623e-27
1.412304010101010192e+02,4.140600307310868081e-27
1.430739535353535530e+02,5.093222298383684460e-27
1.449175060606060583e+02,5.825202152325219753e-27
1.467610585858585921e+02,6.553447438936284336e-27
1.486046111111111259e+02,7.248206071573079193e-27
1.504481636363636312e+02,7.936924157158212125e-27
1.522917161616161650e+02,8.085532406391777357e-27
1.541352686868686988e+02,7.906786464098848906e-27
1.559788212121212041e+02,8.018339667627220760e-27
1.578223737373737663e+02,8.125114433867236648e-27
1.596659262626262716e+02,8.011958806275625034e-27
1.615094787878788054e+02,8.143748175997846525e-27
1.633530313131313392e+02,8.286500262102464617e-27
1.651965838383838445e+02,8.619701805411498731e-27
1.670401363636363783e+02,8.778284911222466624e-27
1.688836888888889121e+02,8.955564703619348269e-27
1.707272414141414174e+02,9.153150685404808975e-27
1.725707939393939512e+02,9.503338353654894790e-27
1.744143464646464849e+02,9.731811214538351938e-27
1.762578989898989903e+02,9.984339342412439436e-27
1.781014515151515241e+02,1.036220430919638467e-26
1.799450040404040578e+02,1.065208538006571259e-26
1.817885565656565632e+02,1.105192792891631510e-26
1.836321090909091254e+02,1.138192241158007497e-26
1.854756616161616307e+02,1.180643264788625139e-26
1.873192141414141361e+02,1.224189263021457569e-26
1.891627666666666983e+02,1.262905216046634374e-26
1.910063191919192036e+02,1.309176072643525304e-26
1.928498717171717374e+02,1.356643099263914570e-26
1.946934242424242711e+02,1.401170930193904379e-26
1.965369767676767765e+02,1.451468815218601300e-26
1.983805292929292818e+02,1.503010154481373239e-26
2.002240818181818440e+02,2.137377969517734938e-27
2.020676343434343494e+02,2.453707343211728583e-27
2.039111868686869116e+02,2.627860324157550625e-27
2.057547393939394169e+02,2.783472962827623660e-27
2.075982919191919223e+02,2.959386766035212421e-27
2.094418444444444845e+02,3.071981527431308375e-27
2.112853969696969898e+02,3.293554089582208229e-27
2.131289494949494951e+02,3.448646014442520093e-27
2.149725020202020573e+02,3.654694913793325800e-27
2.168160545454545627e+02,3.858520943853951812e-27
2.186596070707070680e+02,4.063200728654851459e-27
2.205031595959596302e+02,4.270896311505474364e-27
2.223467121212121356e+02,4.483108496882708291e-27
2.241902646464646409e+02,4.700837013976958811e-27
2.260338171717172031e+02,4.924689684377150996e-27
2.278773696969697085e+02,5.171732703716830788e-27
2.297209222222222706e+02,5.405294249344481201e-27
2.315644747474747760e+02,5.585488818381074907e-27
2.334080272727272813e+02,5.633953572139504692e-27
2.352515797979798435e+02,5.678630890730599658e-27
2.370951323232323489e+02,5.523811009821449019e-27
2.389386848484848542e+02,5.566675699562613381e-27
2.407822373737374164e+02,5.428682564440269760e-27
2.426257898989899218e+02,5.471329047794417394e-27
2.444693424242424271e+02,5.512825277671244183e-27
2.463128949494949893e+02,5.553427146252698916e-27
2.481564474747474947e+02,5.435952824310052172e-27
2.500000000000000000e+02,5.478444376366176471e-27
