# Columns: mx (MeV), <sigma v> limit (cm^3/s)
6.748829999999999529e+01,1.374111805049498449e+36
6.933185252525251485e+01,2.423983361289680904e+30
7.117540505050504862e+01,1.542055980020277351e+25
7.301895757575756818e+01,3.070535524016673260e+20
7.486251010101010195e+01,1.691515076439403800e+16
7.670606262626262151e+01,2.314433045669313965e+12
7.854961515151515528e+01,7.155817656074064970e+08
8.039316767676767483e+01,4.600669231121459161e+05
8.223672020202019439e+01,5.716177272539366641e+02
8.408027272727272816e+01,1.286420623270645214e+00
8.592382525252524772e+01,4.951357456312139964e-03
8.776737777777778149e+01,3.097305399668562526e-05
8.961093030303030105e+01,3.009142853498075527e-07
9.145448282828283482e+01,4.360153114743110379e-09
9.329803535353535437e+01,9.086995738084325955e-11
9.514158787878787393e+01,2.636882098032424058e-12
9.698514040404040770e+01,1.034767820525121133e-13
9.882869292929292726e+01,5.349044209861824576e-15
1.006722454545454468e+02,3.557236139201052127e-16
1.025157979797979806e+02,2.978997822035914276e-17
1.043593505050505144e+02,3.081420054937491292e-18
1.062029030303030339e+02,3.868516544206626614e-19
1.080464555555555535e+02,5.801531364010237796e-20
1.098900080808080872e+02,1.024388300494347294e-20
1.117335606060606068e+02,2.101797770699544338e-21
1.135771131313131264e+02,4.951142126507907664e-22
1.154206656565656601e+02,1.324474289031153038e-22
1.172642181818181939e+02,3.983335881469034966e-23
1.191077707070707135e+02,1.334512505518241588e-23
1.209513232323232330e+02,4.938636944175618201e-24
1.227948757575757668e+02,2.003243762441809922e-24
1.246384282828282863e+02,8.843099883165646633e-25
1.264819808080808059e+02,4.220496486196812689e-25
1.283255333333333397e+02,2.164583720122515200e-25
1.301690858585858734e+02,1.186312523509399283e-25
1.320126383838384072e+02,6.911615477092138707e-26
1.338561909090909126e+02,4.260107448137467447e-26
1.356997434343434463e+02,2.116838314170667532e-23
1.375432959595959801e+02,2.655731179449348863e-23
1.393868484848484854e+02,2.424336483863175219e-23
1.412304010101010192e+02,4.160137159346311459e-23
1.430739535353535530e+02,4.054730984353348118e-23
1.449175060606060583e+02,3.722397190552798880e-23
1.467610585858585921e+02,3.371127508283572392e-23
1.486046111111111259e+02,3.041564590161265012e-23
1.504481636363636312e+02,2.709490330991019787e-23
1.522917161616161650e+02,2.407664917042835158e-23
1.541352686868686988e+02,2.078392876801877702e-23
1.559788212121212041e+02,1.487310327941474087e-23
1.578223737373737663e+02,1.055494130146575264e-23
1.596659262626262716e+02,6.845676915309763128e-24
1.615094787878788054e+02,4.151191227825201436e-24
1.633530313131313392e+02,3.268826191057481892e-24
1.651965838383838445e+02,1.901979644296357437e-24
1.670401363636363783e+02,1.108541024039066155e-24
1.688836888888889121e+02,6.576596483406411375e-25
1.707272414141414174e+02,5.252689847630972509e-25
1.725707939393939512e+02,3.253119288485747440e-25
1.744143464646464849e+02,2.659245920539140549e-25
1.762578989898989903e+02,1.737175392050398497e-25
1.781014515151515241e+02,1.458516072030349623e-25
1.799450040404040578e+02,1.009414645240990535e-25
1.817885565656565632e+02,8.715770311325472693e-26
1.836321090909091254e+02,7.593359795634069339e-26
1.854756616161616307e+02,5.675050027893222940e-26
1.873192141414141361e+02,5.080203831724377047e-26
1.891627666666666983e+02,4.585462549916826123e-26
1.910063191919192036e+02,3.677053305173355348e-26
1.928498717171717374e+02,3.398274235976860895e-26
1.946934242424242711e+02,3.162017260370574800e-26
1.965369767676767765e+02,2.960914903021481983e-26
1.983805292929292818e+02,2.788977702944685673e-26
2.002240818181818440e+02,1.011522320501733752e-22
2.020676343434343494e+02,1.945975619010723299e-23
2.039111868686869116e+02,3.905058426848195809e-24
2.057547393939394169e+02,1.141036234821111126e-24
2.075982919191919223e+02,4.937851063689634533e-25
2.094418444444444845e+02,2.250507987304004741e-25
2.112853969696969898e+02,1.098373658087464351e-25
2.131289494949494951e+02,7.328857193465324825e-26
2.149725020202020573e+02,5.046796907942729528e-26
2.168160545454545627e+02,3.595486516354956671e-26
2.186596070707070680e+02,2.653033537392425957e-26
2.205031595959596302e+02,2.027440492781135822e-26
2.223467121212121356e+02,1.602858923812714232e-26
2.241902646464646409e+02,1.484640526728258840e-26
2.260338171717172031e+02,1.228205626097939549e-26
2.278773696969697085e+02,1.044538277745042581e-26
2.297209222222222706e+02,9.967110710847594179e-27
2.315644747474747760e+02,8.767094184144850070e-27
2.334080272727272813e+02,8.474420373341130734e-27
2.352515797979798435e+02,8.216184754294000173e-27
2.370951323232323489e+02,7.465574158652528522e-27
2.389386848484848542e+02,7.301114971447434922e-27
2.407822373737374164e+02,7.153775581429108131e-27
2.426257898989899218e+02,7.021286313093519567e-27
2.444693424242424271e+02,6.544009833180550066e-27
2.463128949494949893e+02,6.455107523554168298e-27
2.481564474747474947e+02,6.374044901270065992e-27
2.500000000000000000e+02,6.299927678583304379e-27
