# Columns: mx (MeV), <sigma v> limit (cm^3/s)
6.748829999999999529e+01,9.801991515505680582e+03
6.933185252525251485e+01,1.411387249870615196e+05
7.117540505050504862e+01,1.851190165271435399e+06
7.301895757575756818e+01,2.220204346832451597e+07
7.486251010101010195e+01,2.444026743961153626e+08
7.670606262626262151e+01,2.478460661009266853e+09
7.854961515151515528e+01,2.323608497000279999e+10
8.039316767676767483e+01,2.020854380183244629e+11
8.223672020202019439e+01,1.635783728747897217e+12
8.408027272727272816e+01,1.236240749935500781e+13
8.592382525252524772e+01,8.749304903859946875e+13
8.776737777777778149e+01,5.815464941024407500e+14
8.961093030303030105e+01,3.640189708883111000e+15
9.145448282828283482e+01,2.151411132025075200e+16
9.329803535353535437e+01,1.203534442407786240e+17
9.514158787878787393e+01,6.387812247911413760e+17
9.698514040404040770e+01,3.223860121909997568e+18
9.882869292929292726e+01,1.550436605309102080e+19
1.006722454545454468e+02,7.119716399616748749e+19
1.025157979797979806e+02,3.127773783705198264e+20
1.043593505050505144e+02,1.316931818873083134e+21
1.062029030303030339e+02,5.323513314918686261e+21
1.080464555555555535e+02,2.069449343135664570e+22
1.098900080808080872e+02,7.748390358028439152e+22
1.117335606060606068e+02,2.798425230727282782e+23
1.135771131313131264e+02,9.762814024455180570e+23
1.154206656565656601e+02,3.294420313162378662e+24
1.172642181818181939e+02,1.076665848194567548e+25
1.191077707070707135e+02,3.412002118777665965e+25
1.209513232323232330e+02,1.049704978344252545e+26
1.227948757575757668e+02,3.138586547424666859e+26
1.246384282828282863e+02,9.129910685836062085e+26
1.264819808080808059e+02,2.586424689648334545e+27
1.283255333333333397e+02,7.142482053871202194e+27
1.301690858585858734e+02,1.924467204740037242e+28
1.320126383838384072e+02,5.063628824857207271e+28
1.338561909090909126e+02,1.302159138716098612e+29
1.356997434343434463e+02,2.507118144423095926e+32
1.375432959595959801e+02,1.137470820912670063e+33
1.393868484848484854e+02,3.520916549850992669e+33
1.412304010101010192e+02,2.387590089545392929e-25
1.430739535353535530e+02,2.166492205010550334e-25
1.449175060606060583e+02,2.105685879037672425e-25
1.467610585858585921e+02,2.089654936077316321e-25
1.486046111111111259e+02,2.092610118703908635e-25
1.504481636363636312e+02,2.103709761620621404e-25
1.522917161616161650e+02,2.118114431679568671e-25
1.541352686868686988e+02,2.133854849920724714e-25
1.559788212121212041e+02,2.150441239145889246e-25
1.578223737373737663e+02,2.168069472588009986e-25
1.596659262626262716e+02,2.186705764637640000e-25
1.615094787878788054e+02,2.206237656258952882e-25
1.633530313131313392e+02,2.226558453205474595e-25
1.651965838383838445e+02,2.247578923797933984e-25
1.670401363636363783e+02,2.269225243728147037e-25
1.688836888888889121e+02,2.291435778868363211e-25
1.707272414141414174e+02,2.314148898802658331e-25
1.725707939393939512e+02,2.337129528520620646e-25
1.744143464646464849e+02,2.359989311727699220e-25
1.762578989898989903e+02,2.381348323167117692e-25
1.781014515151515241e+02,2.397838604524838608e-25
1.799450040404040578e+02,2.402407065498185475e-25
1.817885565656565632e+02,2.409878655296838899e-25
1.836321090909091254e+02,2.373568412672627637e-25
1.854756616161616307e+02,2.290799759785889336e-25
1.873192141414141361e+02,2.153667212891140515e-25
1.891627666666666983e+02,1.969578807199312529e-25
1.910063191919192036e+02,1.883799033049548733e-25
1.928498717171717374e+02,1.671911012452324752e-25
1.946934242424242711e+02,1.586007458345010000e-25
1.965369767676767765e+02,1.395649794902059829e-25
1.983805292929292818e+02,1.233478826338115279e-25
2.002240818181818440e+02,1.178325760874804035e-25
2.020676343434343494e+02,1.058278951309725182e-25
2.039111868686869116e+02,1.020878968478108806e-25
2.057547393939394169e+02,9.345197254158457691e-26
2.075982919191919223e+02,9.101349694386786708e-26
2.094418444444444845e+02,8.888918359574602329e-26
2.112853969696969898e+02,8.322830165298377977e-26
2.131289494949494951e+02,8.188789350577279829e-26
2.149725020202020573e+02,7.768693526436643278e-26
2.168160545454545627e+02,7.687456932987550861e-26
2.186596070707070680e+02,7.618620707641598316e-26
2.205031595959596302e+02,7.323315037346360212e-26
2.223467121212121356e+02,7.286916866118066396e-26
2.241902646464646409e+02,7.258267954532246060e-26
2.260338171717172031e+02,7.236627888448267816e-26
2.278773696969697085e+02,7.035666883510518514e-26
2.297209222222222706e+02,7.033271239656937652e-26
2.315644747474747760e+02,7.035622703634999981e-26
2.334080272727272813e+02,7.042353552050786148e-26
2.352515797979798435e+02,7.053139805491294542e-26
2.370951323232323489e+02,7.067695004502746764e-26
2.389386848484848542e+02,6.942385213226884605e-26
2.407822373737374164e+02,6.967780154572265492e-26
2.426257898989899218e+02,6.995993356348684973e-26
2.444693424242424271e+02,7.026866919514466254e-26
2.463128949494949893e+02,7.060258704136808126e-26
2.481564474747474947e+02,7.096038866052686782e-26
2.500000000000000000e+02,7.134091650279268927e-26
