# Columns: mx (MeV), <sigma v> limit (cm^3/s)
6.748829999999999529e+01,6.798207680742873721e-31
6.933185252525251485e+01,7.163085768778090322e-31
7.117540505050504862e+01,7.537343179729290188e-31
7.301895757575756818e+01,7.920979585520980611e-31
7.486251010101010195e+01,8.313968685581997183e-31
7.670606262626262151e+01,8.716495870105997069e-31
7.854961515151515528e+01,9.130250928954630000e-31
8.039316767676767483e+01,9.554021135794314793e-31
8.223672020202019439e+01,9.987346975192094910e-31
8.408027272727272816e+01,1.043047388028363608e-30
8.592382525252524772e+01,1.088360199340828651e-30
8.776737777777778149e+01,1.134693368235916373e-30
8.961093030303030105e+01,1.182066631121575064e-30
9.145448282828283482e+01,1.230495846942491709e-30
9.329803535353535437e+01,1.279992555709570457e-30
9.514158787878787393e+01,1.330565723860527168e-30
9.698514040404040770e+01,1.382220122987032686e-30
9.882869292929292726e+01,1.434956946774397351e-30
1.006722454545454468e+02,1.488749103865166986e-30
1.025157979797979806e+02,1.543413021501984553e-30
1.043593505050505144e+02,1.598876020755619253e-30
1.062029030303030339e+02,1.655129590241847742e-30
1.080464555555555535e+02,1.712335708248473515e-30
1.098900080808080872e+02,1.770571511348709574e-30
1.117335606060606068e+02,1.829834904739819308e-30
1.135771131313131264e+02,1.890122332727876265e-30
1.154206656565656601e+02,1.951429737255914858e-30
1.172642181818181939e+02,2.013755680823961899e-30
1.191077707070707135e+02,2.077094234667137791e-30
1.209513232323232330e+02,2.141437533824120217e-30
1.227948757575757668e+02,2.206782338976264536e-30
1.246384282828282863e+02,2.273121894652589943e-30
1.264819808080808059e+02,2.340445247571861585e-30
1.283255333333333397e+02,2.408748315979316592e-30
1.301690858585858734e+02,2.478020893055117769e-30
1.320126383838384072e+02,2.548248799409607019e-30
1.338561909090909126e+02,2.619315479058743404e-30
1.356997434343434463e+02,1.405504420964778492e-30
1.375432959595959801e+02,1.509150588847109153e-30
1.393868484848484854e+02,1.606578474050354640e-30
1.412304010101010192e+02,3.355464305535791203e-30
1.430739535353535530e+02,4.026317586594670293e-30
1.449175060606060583e+02,4.558150436739729308e-30
1.467610585858585921e+02,4.909701662541834819e-30
1.486046111111111259e+02,5.265043928900873090e-30
1.504481636363636312e+02,5.603599356593631587e-30
1.522917161616161650e+02,5.908967636267451684e-30
1.541352686868686988e+02,6.207962706224980454e-30
1.559788212121212041e+02,6.580045155039925687e-30
1.578223737373737663e+02,6.823259220737900294e-30
1.596659262626262716e+02,7.067913799794331995e-30
1.615094787878788054e+02,7.407435948651802338e-30
1.633530313131313392e+02,7.628980760863862479e-30
1.651965838383838445e+02,7.955892046722691353e-30
1.670401363636363783e+02,8.158988859427252936e-30
1.688836888888889121e+02,8.476427198976201576e-30
1.707272414141414174e+02,8.799830513058679865e-30
1.725707939393939512e+02,9.120333008467134935e-30
1.744143464646464849e+02,9.293889003391199195e-30
1.762578989898989903e+02,9.599484642157240191e-30
1.781014515151515241e+02,9.909050833001233294e-30
1.799450040404040578e+02,1.021644393171343412e-29
1.817885565656565632e+02,1.052173372822611375e-29
1.836321090909091254e+02,1.082494754148698061e-29
1.854756616161616307e+02,1.112608516093871830e-29
1.873192141414141361e+02,1.142511611146333694e-29
1.891627666666666983e+02,1.172198775845266591e-29
1.910063191919192036e+02,1.201662472573731304e-29
1.928498717171717374e+02,1.230892185162318763e-29
1.946934242424242711e+02,1.259879228024681374e-29
1.965369767676767765e+02,1.288668504067819600e-29
1.983805292929292818e+02,1.317280451416518142e-29
2.002240818181818440e+02,1.345709970472193799e-29
2.020676343434343494e+02,1.373951766211176451e-29
2.039111868686869116e+02,1.402000110221695261e-29
2.057547393939394169e+02,1.429848193110099729e-29
2.075982919191919223e+02,1.457575532490428403e-29
2.094418444444444845e+02,1.507157553268161412e-29
2.112853969696969898e+02,1.534738681533409173e-29
2.131289494949494951e+02,1.562091895664445461e-29
2.149725020202020573e+02,1.589208636806930398e-29
2.168160545454545627e+02,1.616128984596840514e-29
2.186596070707070680e+02,1.667209627583054231e-29
2.205031595959596302e+02,1.693934900777493861e-29
2.223467121212121356e+02,1.720349613685344388e-29
2.241902646464646409e+02,1.746437522255560091e-29
2.260338171717172031e+02,1.798807526250742224e-29
2.278773696969697085e+02,1.824655405209282824e-29
2.297209222222222706e+02,1.850137605134118147e-29
2.315644747474747760e+02,1.875257791040360802e-29
2.334080272727272813e+02,1.928747632082962059e-29
2.352515797979798435e+02,1.953517003507061736e-29
2.370951323232323489e+02,1.977872363879356311e-29
2.389386848484848542e+02,2.032352684695830176e-29
2.407822373737374164e+02,2.056283630411210399e-29
2.426257898989899218e+02,2.079724373141024515e-29
2.444693424242424271e+02,2.135146453413134869e-29
2.463128949494949893e+02,2.158092670393952303e-29
2.481564474747474947e+02,2.180656137973761496e-29
2.500000000000000000e+02,2.236937141283658367e-29
