# Columns: mx (MeV), <sigma v> limit (cm^3/s)
6.748829999999999529e+01,1.374111805049498449e+36
6.933185252525251485e+01,2.423983361289680904e+30
7.117540505050504862e+01,1.542055980020277351e+25
7.301895757575756818e+01,3.070535524016673260e+20
7.486251010101010195e+01,1.691515076439403800e+16
7.670606262626262151e+01,2.314433045669313965e+12
7.854961515151515528e+01,7.155817656074064970e+08
8.039316767676767483e+01,4.600669231121459161e+05
8.223672020202019439e+01,5.716177272539366641e+02
8.408027272727272816e+01,1.286420623270645214e+00
8.592382525252524772e+01,4.951357456312139964e-03
8.776737777777778149e+01,3.097305399668562526e-05
8.961093030303030105e+01,3.009142853498075527e-07
9.145448282828283482e+01,4.360153114743110379e-09
9.329803535353535437e+01,9.086995738084325955e-11
9.514158787878787393e+01,2.636882098032424058e-12
9.698514040404040770e+01,1.034767820525121133e-13
9.882869292929292726e+01,5.349044209861824576e-15
1.006722454545454468e+02,3.557236139201052127e-16
1.025157979797979806e+02,2.978997822035914276e-17
1.043593505050505144e+02,3.081420054937491292e-18
1.062029030303030339e+02,3.868516544206626614e-19
1.080464555555555535e+02,5.801531364010237796e-20
1.098900080808080872e+02,1.024388300494347294e-20
1.117335606060606068e+02,2.101797770699544338e-21
1.135771131313131264e+02,4.951142126507907664e-22
1.154206656565656601e+02,1.324474289031153038e-22
1.172642181818181939e+02,3.983335881469034966e-23
1.191077707070707135e+02,1.334512505518241588e-23
1.209513232323232330e+02,4.938636944175618201e-24
1.227948757575757668e+02,2.003243762441809922e-24
1.246384282828282863e+02,8.843099883165646633e-25
1.264819808080808059e+02,4.220496486196812689e-25
1.283255333333333397e+02,2.164583720122515200e-25
1.301690858585858734e+02,1.186312523509399283e-25
1.320126383838384072e+02,6.911615477092138707e-26
1.338561909090909126e+02,4.260107448137467447e-26
1.356997434343434463e+02,2.116838314170667238e-23
1.375432959595959801e+02,2.655731179449348863e-23
1.393868484848484854e+02,2.424336483863175219e-23
1.412304010101010192e+02,4.160137159346309696e-23
1.430739535353535530e+02,4.054730984353345767e-23
1.449175060606060583e+02,3.722397190552800644e-23
1.467610585858585921e+02,3.371127508283572979e-23
1.486046111111111259e+02,3.041564590161265600e-23
1.504481636363636312e+02,2.709490330991019787e-23
1.522917161616161650e+02,2.407664917042835158e-23
1.541352686868686988e+02,2.078392876801877408e-23
1.559788212121212041e+02,1.487310327941474087e-23
1.578223737373737663e+02,1.055494130146575264e-23
1.596659262626262716e+02,6.845676915309763128e-24
1.615094787878788054e+02,4.151191227825201436e-24
1.633530313131313392e+02,3.268826191057481892e-24
1.651965838383838445e+02,1.901979644296357437e-24
1.670401363636363783e+02,1.108541024039066155e-24
1.688836888888889121e+02,6.576596483406411375e-25
1.707272414141414174e+02,5.252689847630969754e-25
1.725707939393939512e+02,3.253119288485747440e-25
1.744143464646464849e+02,2.659245920539140549e-25
1.762578989898989903e+02,1.737175392050398956e-25
1.781014515151515241e+02,1.458516072030350082e-25
1.799450040404040578e+02,1.009414645240990306e-25
1.817885565656565632e+02,8.715770311325471545e-26
1.836321090909091254e+02,7.593359795634070487e-26
1.854756616161616307e+02,5.675050027893225235e-26
1.873192141414141361e+02,5.080203831724376473e-26
1.891627666666666983e+02,4.585462549916827271e-26
1.910063191919192036e+02,3.677053305173355348e-26
1.928498717171717374e+02,3.398274235976860895e-26
1.946934242424242711e+02,3.162017260370575374e-26
1.965369767676767765e+02,2.960914903021482557e-26
1.983805292929292818e+02,2.788977702944685673e-26
2.002240818181818440e+02,2.425154615830522492e-26
2.020676343434343494e+02,2.320020209104748231e-26
2.039111868686869116e+02,2.228464603297223481e-26
2.057547393939394169e+02,2.148354544504891471e-26
2.075982919191919223e+02,2.077924462867342878e-26
2.094418444444444845e+02,2.015711942647291001e-26
2.112853969696969898e+02,1.960504324365194383e-26
2.131289494949494951e+02,1.911294598169528256e-26
2.149725020202020573e+02,1.867245338805912938e-26
2.168160545454545627e+02,1.827658349409608594e-26
2.186596070707070680e+02,1.791949738347957407e-26
2.205031595959596302e+02,1.759629431695154383e-26
2.223467121212121356e+02,1.730284920108766474e-26
2.241902646464646409e+02,1.703566416871722344e-26
2.260338171717172031e+02,1.679176728759963673e-26
2.278773696969697085e+02,1.656862464301430867e-26
2.297209222222222706e+02,1.636406088771244597e-26
2.315644747474747760e+02,1.683952863748456252e-26
2.334080272727272813e+02,1.664059516688781259e-26
2.352515797979798435e+02,1.645749708929283858e-26
2.370951323232323489e+02,1.628879437035240139e-26
2.389386848484848542e+02,1.613326073556353444e-26
2.407822373737374164e+02,1.598986070552919367e-26
2.426257898989899218e+02,1.585773379345419305e-26
2.444693424242424271e+02,1.628295451855191299e-26
2.463128949494949893e+02,1.615364328487549257e-26
2.481564474747474947e+02,1.603483569586456189e-26
2.500000000000000000e+02,1.592614986054132810e-26
