# Columns: mx (MeV), <sigma v> limit (cm^3/s)
6.748829999999999529e+01,7.493846340519403109e-28
7.121302857142856624e+01,8.252678891524090208e-28
7.493775714285713718e+01,9.039505168303313905e-28
7.866248571428570813e+01,9.852620170419663468e-28
8.238721428571427907e+01,1.069114924406105350e-27
8.611194285714285002e+01,1.155496580158849218e-27
8.983667142857143517e+01,1.244436939310525051e-27
9.356139999999999191e+01,1.335870750846941275e-27
9.728612857142857706e+01,1.429731090999797342e-27
1.010108571428571338e+02,1.526013505672594337e-27
1.047355857142857190e+02,1.624665192880903255e-27
1.084603142857142757e+02,1.288601945233674383e-28
1.121850428571428608e+02,1.336453157024647694e-28
1.159097714285714318e+02,1.385747771035006073e-28
1.196345000000000027e+02,1.435689524565804598e-28
1.233592285714285737e+02,1.486046917330731753e-28
1.270839571428571446e+02,1.536429503160097267e-28
1.308086857142857298e+02,1.587611021822777424e-28
1.345334142857142865e+02,1.638894974090319831e-28
1.382581428571428432e+02,1.144905047753472471e-28
1.419828714285714284e+02,1.255976840790615073e-28
1.457076000000000136e+02,1.313063571940494851e-28
1.494323285714285703e+02,1.357944809155337449e-28
1.531570571428571270e+02,1.400770714357489053e-28
1.568817857142857406e+02,1.442684496403608172e-28
1.606065142857142973e+02,1.484666874008970119e-28
1.643312428571428541e+02,1.525606045470350480e-28
1.680559714285714392e+02,1.566874652305466427e-28
1.717807000000000244e+02,1.608108088338807028e-28
1.755054285714285811e+02,1.649366873994745096e-28
1.792301571428571378e+02,1.690740711277190651e-28
1.829548857142857230e+02,1.731913085223799741e-28
1.866796142857143082e+02,1.773516167627448325e-28
1.904043428571428649e+02,1.814688579251792958e-28
1.941290714285714216e+02,1.855671755507861734e-28
1.978538000000000352e+02,1.897402965552270648e-28
2.015785285714285919e+02,1.938463440389981153e-28
2.053032571428571487e+02,1.979843694772668696e-28
2.090279857142857054e+02,2.021301951860851911e-28
2.127527142857143190e+02,2.062893892433926762e-28
2.164774428571428757e+02,2.104416758393214649e-28
2.202021714285714324e+02,2.146231771179582972e-28
2.239268999999999892e+02,2.187762863540783746e-28
2.276516285714286028e+02,2.229561099036633336e-28
2.313763571428571595e+02,2.271600219776501764e-28
2.351010857142857162e+02,2.313120817288722988e-28
2.388258142857142730e+02,2.355115745172937206e-28
2.425505428571428865e+02,2.397206665546732044e-28
2.462752714285714433e+02,2.439312755095167838e-28
2.500000000000000000e+02,2.481815817631103768e-28
