# Columns: mx (MeV), <sigma v> limit (cm^3/s)
6.748829999999999529e+01,7.493846340480119220e-28
7.121302857142856624e+01,8.252678891489312895e-28
7.493775714285713718e+01,9.039505168257647269e-28
7.866248571428570813e+01,9.852620170369693838e-28
8.238721428571427907e+01,1.069114924402900614e-27
8.611194285714285002e+01,1.155496580154953743e-27
8.983667142857143517e+01,1.244436939302310976e-27
9.356139999999999191e+01,1.335870750843000420e-27
9.728612857142857706e+01,1.429731090995643580e-27
1.010108571428571338e+02,1.526013505668455462e-27
1.047355857142857190e+02,1.624665192877760759e-27
1.084603142857142757e+02,1.288601945231794177e-28
1.121850428571428608e+02,1.336453157023954219e-28
1.159097714285714318e+02,1.385747771034412819e-28
1.196345000000000027e+02,1.435689524565255737e-28
1.233592285714285737e+02,1.486046917330142311e-28
1.270839571428571446e+02,1.536429503159592127e-28
1.308086857142857298e+02,1.587611021822281925e-28
1.345334142857142865e+02,1.638894974089839803e-28
1.382581428571428432e+02,1.144905047733976485e-28
1.419828714285714284e+02,1.255976840796179686e-28
1.457076000000000136e+02,1.313063571927379145e-28
1.494323285714285703e+02,1.357944809109152446e-28
1.531570571428571270e+02,1.400770714258971717e-28
1.568817857142857406e+02,1.442684496234503061e-28
1.606065142857142973e+02,1.484666873752512770e-28
1.643312428571428541e+02,1.525606045112318274e-28
1.680559714285714392e+02,1.566874651832492770e-28
1.717807000000000244e+02,1.608108087740285998e-28
1.755054285714285811e+02,1.649366873259455093e-28
1.792301571428571378e+02,1.690740710396918946e-28
1.829548857142857230e+02,1.731913084190814530e-28
1.866796142857143082e+02,1.773516166434776297e-28
1.904043428571428649e+02,1.814688577892745773e-28
1.941290714285714216e+02,1.855671753979132102e-28
1.978538000000000352e+02,1.897402963856706681e-28
2.015785285714285919e+02,1.938463438505096382e-28
2.053032571428571487e+02,1.979843692703433807e-28
2.090279857142857054e+02,2.021301949603756932e-28
2.127527142857143190e+02,2.062893889988523278e-28
2.164774428571428757e+02,2.104416755753144127e-28
2.202021714285714324e+02,2.146231768344634210e-28
2.239268999999999892e+02,2.187762860505432712e-28
2.276516285714286028e+02,2.229561095804636406e-28
2.313763571428571595e+02,2.271600216339026500e-28
2.351010857142857162e+02,2.313120813649931133e-28
2.388258142857142730e+02,2.355115741328025781e-28
2.425505428571428865e+02,2.397206661496796528e-28
2.462752714285714433e+02,2.439312750838224442e-28
2.500000000000000000e+02,2.481815813165257039e-28
