# Columns: mx (MeV), <sigma v> limit (cm^3/s)
6.748829999999999529e+01,1.779645025093193945e-26
7.121302857142856624e+01,1.933068778143447948e-26
7.493775714285713718e+01,2.093166977421567702e-26
7.866248571428570813e+01,2.260027303448743220e-26
8.238721428571427907e+01,2.433740864635738366e-26
8.611194285714285002e+01,2.614405024569168166e-26
8.983667142857143517e+01,2.802119127322628385e-26
9.356139999999999191e+01,2.996986215342542499e-26
9.728612857142857706e+01,3.199115657495301678e-26
1.010108571428571338e+02,3.408621029304376863e-26
1.047355857142857190e+02,3.625620706131081358e-26
1.084603142857142757e+02,8.188089835863411171e-26
1.121850428571428608e+02,8.685280765352948231e-26
1.159097714285714318e+02,9.133958787658730421e-26
1.196345000000000027e+02,9.474005533548109401e-26
1.233592285714285737e+02,9.819954498694683238e-26
1.270839571428571446e+02,1.018887450870564553e-25
1.308086857142857298e+02,1.056139395501129563e-25
1.345334142857142865e+02,1.093650879215378486e-25
1.382581428571428432e+02,1.955973459518946001e-25
1.419828714285714284e+02,1.908466351391880510e-25
1.457076000000000136e+02,1.954051492379550594e-25
1.494323285714285703e+02,2.015090756953380563e-25
1.531570571428571270e+02,2.078967434661866467e-25
1.568817857142857406e+02,2.144099324528068166e-25
1.606065142857142973e+02,2.210269684245548763e-25
1.643312428571428541e+02,2.277517378309908939e-25
1.680559714285714392e+02,2.345916507441579984e-25
1.717807000000000244e+02,2.415548728243585405e-25
1.755054285714285811e+02,2.486471722763308692e-25
1.792301571428571378e+02,2.558750378948453893e-25
1.829548857142857230e+02,2.632418002162628991e-25
1.866796142857143082e+02,2.707508852277103327e-25
1.904043428571428649e+02,2.783946042693354544e-25
1.941290714285714216e+02,2.103735867400374922e-25
1.978538000000000352e+02,2.188903744689841013e-25
2.015785285714285919e+02,1.410309225068144965e-25
2.053032571428571487e+02,1.032554316346934253e-25
2.090279857142857054e+02,1.089042834513004680e-25
2.127527142857143190e+02,8.811987157636364062e-26
2.164774428571428757e+02,9.288138863661532257e-26
2.202021714285714324e+02,8.006480111792400076e-26
2.239268999999999892e+02,8.426010941967177953e-26
2.276516285714286028e+02,7.559782756305662908e-26
2.313763571428571595e+02,7.941352804788175995e-26
2.351010857142857162e+02,7.316938205758773894e-26
2.388258142857142730e+02,7.671911192189188188e-26
2.425505428571428865e+02,7.202013076015722925e-26
2.462752714285714433e+02,7.537763593188638494e-26
2.500000000000000000e+02,7.173895417253744826e-26
