# Columns: mx (MeV), <sigma v> limit (cm^3/s)
6.748829999999999529e+01,2.480312688990766957e-29
7.121302857142856624e+01,2.566692979480629162e-29
7.493775714285713718e+01,2.619693285627753560e-29
7.866248571428570813e+01,2.672421269300604200e-29
8.238721428571427907e+01,2.730119323334396317e-29
8.611194285714285002e+01,2.802022254316195526e-29
8.983667142857143517e+01,2.850293626846311306e-29
9.356139999999999191e+01,2.921413497376011784e-29
9.728612857142857706e+01,2.960517495163066497e-29
1.010108571428571338e+02,3.025170055334685178e-29
1.047355857142857190e+02,3.256569446559019709e-29
1.084603142857142757e+02,3.409068865252189281e-28
1.121850428571428608e+02,3.551933877183702787e-28
1.159097714285714318e+02,3.668924562039726944e-28
1.196345000000000027e+02,3.776850740579547856e-28
1.233592285714285737e+02,3.869619100073959356e-28
1.270839571428571446e+02,3.955985463042443689e-28
1.308086857142857298e+02,4.038407168883205842e-28
1.345334142857142865e+02,4.116416595810078458e-28
1.382581428571428432e+02,4.369615174631871110e-30
1.419828714285714284e+02,5.363117224850637490e-30
1.457076000000000136e+02,5.998512328427141678e-30
1.494323285714285703e+02,6.391894827339789237e-30
1.531570571428571270e+02,6.702677387984389656e-30
1.568817857142857406e+02,7.097206466172001326e-30
1.606065142857142973e+02,7.983810057468859022e-30
1.643312428571428541e+02,8.159039144029133029e-30
1.680559714285714392e+02,8.394020910647856908e-30
1.717807000000000244e+02,9.247609694082428798e-30
1.755054285714285811e+02,9.400745779876515384e-30
1.792301571428571378e+02,1.025832636104516408e-29
1.829548857142857230e+02,1.120975969158661171e-29
1.866796142857143082e+02,1.120807329306647350e-29
1.904043428571428649e+02,1.214929996198789834e-29
1.941290714285714216e+02,1.212888051262936844e-29
1.978538000000000352e+02,1.302090007920678349e-29
2.015785285714285919e+02,1.398414641850227470e-29
2.053032571428571487e+02,1.384292179933059060e-29
2.090279857142857054e+02,1.476323117787450945e-29
2.127527142857143190e+02,1.573886212970665414e-29
2.164774428571428757e+02,1.547789026077079999e-29
2.202021714285714324e+02,1.641496104828222630e-29
2.239268999999999892e+02,1.741148270172731290e-29
2.276516285714286028e+02,1.705278589382556682e-29
2.313763571428571595e+02,1.802577744430305115e-29
2.351010857142857162e+02,1.898014269939776698e-29
2.388258142857142730e+02,1.851782221271373857e-29
2.425505428571428865e+02,1.951661840855922462e-29
2.462752714285714433e+02,2.046737870237196626e-29
2.500000000000000000e+02,2.148013813100583262e-29
