# Columns: mx (MeV), <sigma v> limit (cm^3/s)
6.748829999999999529e+01,3.153493861730230490e-26
6.933185252525251485e+01,2.969889934807523667e-26
7.117540505050504862e+01,2.851711359156271364e-26
7.301895757575756818e+01,2.779359614763216805e-26
7.486251010101010195e+01,2.752444304572767387e-26
7.670606262626262151e+01,2.763126313168002595e-26
7.854961515151515528e+01,2.802478143123668196e-26
8.039316767676767483e+01,2.877222824662905482e-26
8.223672020202019439e+01,2.982896714815287204e-26
8.408027272727272816e+01,3.119025558856477315e-26
8.592382525252524772e+01,3.286020268144718560e-26
8.776737777777778149e+01,3.484832184897397696e-26
8.961093030303030105e+01,3.265133156468091438e-26
9.145448282828283482e+01,2.992205460411831146e-26
9.329803535353535437e+01,2.774825348242292681e-26
9.514158787878787393e+01,2.601177698558417174e-26
9.698514040404040770e+01,2.462646495434545128e-26
9.882869292929292726e+01,2.352900728848649895e-26
1.006722454545454468e+02,2.267398806430210204e-26
1.025157979797979806e+02,2.204203445553276199e-26
1.043593505050505144e+02,2.156161551769821624e-26
1.062029030303030339e+02,9.048797785348351540e-25
1.080464555555555535e+02,1.157829936808077581e-24
1.098900080808080872e+02,1.181298193824271646e-24
1.117335606060606068e+02,1.202016507769489851e-24
1.135771131313131264e+02,1.222107958679755203e-24
1.154206656565656601e+02,1.241844008173094950e-24
1.172642181818181939e+02,1.260794329213756577e-24
1.191077707070707135e+02,1.277961935777904477e-24
1.209513232323232330e+02,1.292268011003989613e-24
1.227948757575757668e+02,1.303239020220674054e-24
1.246384282828282863e+02,1.311481151040522186e-24
1.264819808080808059e+02,1.318086073943592625e-24
1.283255333333333397e+02,1.324004049104768319e-24
1.301690858585858734e+02,1.330071486325679367e-24
1.320126383838384072e+02,1.336734921996742794e-24
1.338561909090909126e+02,1.344261753239780420e-24
1.356997434343434463e+02,5.939495824034357996e-27
1.375432959595959801e+02,4.389055331728165224e-27
1.393868484848484854e+02,4.217776012477111234e-27
1.412304010101010192e+02,5.434734564549349373e-27
1.430739535353535530e+02,6.023885909197234115e-27
1.449175060606060583e+02,6.538684412659166545e-27
1.467610585858585921e+02,7.124753599992866430e-27
1.486046111111111259e+02,7.712619499362701862e-27
1.504481636363636312e+02,8.317311679032244057e-27
1.522917161616161650e+02,8.383069668858587944e-27
1.541352686868686988e+02,8.127706954785761711e-27
1.559788212121212041e+02,8.187529560477773741e-27
1.578223737373737663e+02,8.252836556947769757e-27
1.596659262626262716e+02,8.103489422631415556e-27
1.615094787878788054e+02,8.208322351092231613e-27
1.633530313131313392e+02,8.328353848335677788e-27
1.651965838383838445e+02,8.642446836280402118e-27
1.670401363636363783e+02,8.783585876378431956e-27
1.688836888888889121e+02,8.945313996391229715e-27
1.707272414141414174e+02,9.128713716185097558e-27
1.725707939393939512e+02,9.465049332518607156e-27
1.744143464646464849e+02,9.680760296773675758e-27
1.762578989898989903e+02,9.920838471639004174e-27
1.781014515151515241e+02,1.028549031887606327e-26
1.799450040404040578e+02,1.056280367903724990e-26
1.817885565656565632e+02,1.094886555050146296e-26
1.836321090909091254e+02,1.126543190545714234e-26
1.854756616161616307e+02,1.167499577728942370e-26
1.873192141414141361e+02,1.209472529595636855e-26
1.891627666666666983e+02,1.246608814629618267e-26
1.910063191919192036e+02,1.291115135503035455e-26
1.928498717171717374e+02,1.336706269523789459e-26
1.946934242424242711e+02,1.379306885428309006e-26
1.965369767676767765e+02,1.427474658886302429e-26
1.983805292929292818e+02,1.476744806623565720e-26
2.002240818181818440e+02,1.527120598214059415e-26
2.020676343434343494e+02,1.514215204020077570e-26
2.039111868686869116e+02,1.510536731466958679e-26
2.057547393939394169e+02,1.507331340841649408e-26
2.075982919191919223e+02,1.504602090549286303e-26
2.094418444444444845e+02,1.502347166436431253e-26
2.112853969696969898e+02,1.500568156970621238e-26
2.131289494949494951e+02,1.499257682599914775e-26
2.149725020202020573e+02,1.452976599053705694e-26
2.168160545454545627e+02,1.453731598269425058e-26
2.186596070707070680e+02,1.454903550441316446e-26
2.205031595959596302e+02,1.456495701309587174e-26
2.223467121212121356e+02,1.458505195951669031e-26
2.241902646464646409e+02,1.460928439104008777e-26
2.260338171717172031e+02,1.463768567261677429e-26
2.278773696969697085e+02,1.467026047543944268e-26
2.297209222222222706e+02,1.470702306176950891e-26
2.315644747474747760e+02,1.474800078555654235e-26
2.334080272727272813e+02,1.514965694851661743e-26
2.352515797979798435e+02,1.519082947213794799e-26
2.370951323232323489e+02,1.523654771670903583e-26
2.389386848484848542e+02,1.528686810917918179e-26
2.407822373737374164e+02,1.534185606431847310e-26
2.426257898989899218e+02,1.540159243331284371e-26
2.444693424242424271e+02,1.546617204207263618e-26
2.463128949494949893e+02,1.553570371712685384e-26
2.481564474747474947e+02,1.561029917244246656e-26
2.500000000000000000e+02,1.599057275264890294e-26
