# Columns: mx (MeV), <sigma v> limit (cm^3/s)
5.500000000000000444e-01,inf
6.555760336406564193e-01,inf
7.814180652436637509e-01,inf
9.314162833229031602e-01,inf
1.110207623071183036e+00,inf
1.323319109182958364e+00,inf
1.577338714252819241e+00,inf
1.880119014541301370e+00,inf
2.241019938773392894e+00,inf
2.671198114128523038e+00,inf
3.183951754052324556e+00,inf
3.795131749499697005e+00,inf
4.523631671783157060e+00,inf
5.391971834616097858e+00,inf
6.426995470617734796e+00,inf
7.660698543370979330e+00,inf
9.131218847236183933e+00,inf
1.088401497122891648e+01,inf
1.297327157258868446e+01,inf
1.546357440163776609e+01,inf
1.843190685842340670e+01,inf
2.197002980123495064e+01,inf
2.618731817465568668e+01,inf
3.121414214659391106e+01,inf
3.720589727629032950e+01,inf
4.434780829896748600e+01,inf
5.286065502780598280e+01,inf
6.300759737959281637e+01,inf
7.510231050789249707e+01,inf
8.951868152729664985e+01,3.494198659185334572e-16
1.067023675861932190e+02,5.463777304611474690e-18
1.271845725858615026e+02,1.023933224367003675e-18
1.515984684293115095e+02,3.292419180461016246e-22
1.806987684343385752e+02,5.272968303457422257e-26
2.153850579889731875e+02,1.308590366340871928e-26
2.567296036761339337e+02,1.085186974372293381e-26
3.060105005384322681e+02,1.377561095205047820e-26
3.647511821734130422e+02,1.788423909756699893e-26
4.347675150454306845e+02,1.775930260711409215e-26
5.182239328532501759e+02,5.632836027229506308e-26
6.177003462501744480e+02,6.197116678368108875e-26
7.362718963148165585e+02,6.506496759206545608e-26
8.776040172130028623e+02,8.537992551252893373e-26
1.046065746748377023e+03,7.465615421196357480e-26
1.246864787601184844e+03,9.861241814383456877e-26
1.486208494439609467e+03,1.025736789494899554e-25
1.771495763541399356e+03,1.103835863970319033e-25
2.111545756861269183e+03,1.608622793456725297e-25
2.516870531152485910e+03,1.439091856993455704e-25
3.000000000000001364e+03,1.732140084025803342e-25
