# Columns: mx (MeV), <sigma v> limit (cm^3/s)
6.748829999999999529e+01,inf
6.933185252525251485e+01,2.683206609852534572e-15
7.117540505050504862e+01,1.166283795930565763e-15
7.301895757575756818e+01,6.688397689026709922e-16
7.486251010101010195e+01,3.413677271190961732e-16
7.670606262626262151e+01,1.629217182444983549e-16
7.854961515151515528e+01,7.445706966288954005e-17
8.039316767676767483e+01,2.000198963716020709e-17
8.223672020202019439e+01,8.687641162743072399e-18
8.408027272727272816e+01,3.717359582479085865e-18
8.592382525252524772e+01,1.573968129466316881e-18
8.776737777777778149e+01,6.617954037370342768e-19
8.961093030303030105e+01,4.543510333998228062e-19
9.145448282828283482e+01,1.893993226368572423e-19
9.329803535353535437e+01,7.898008063322080202e-20
9.514158787878787393e+01,3.301981565936952040e-20
9.698514040404040770e+01,1.387002026659449415e-20
9.882869292929292726e+01,9.423829814157090782e-21
1.006722454545454468e+02,3.994502608178294874e-21
1.025157979797979806e+02,1.710319734296610186e-21
1.043593505050505144e+02,1.169467382787789907e-21
1.062029030303030339e+02,5.095858671950722902e-22
1.080464555555555535e+02,3.509688739759289921e-22
1.098900080808080872e+02,1.564294696865229289e-22
1.117335606060606068e+02,1.088421243304562578e-22
1.135771131313131264e+02,4.987299099763049227e-23
1.154206656565656601e+02,3.515736662646826900e-23
1.172642181818181939e+02,1.664591284195564399e-23
1.191077707070707135e+02,1.192200710317939924e-23
1.209513232323232330e+02,5.862319299807544749e-24
1.227948757575757668e+02,4.277540432839129214e-24
1.246384282828282863e+02,3.141005326927081730e-24
1.264819808080808059e+02,1.636390312696352468e-24
1.283255333333333397e+02,1.228544805401129601e-24
1.301690858585858734e+02,9.293337260430586823e-25
1.320126383838384072e+02,7.085280223389386141e-25
1.338561909090909126e+02,4.014440992770241194e-25
1.356997434343434463e+02,3.141686227343867124e-25
1.375432959595959801e+02,2.480455537617848693e-25
1.393868484848484854e+02,1.976165109544850880e-25
1.412304010101010192e+02,4.175125506742687134e-23
1.430739535353535530e+02,9.694236593388919387e-23
1.449175060606060583e+02,1.402088029482008258e-22
1.467610585858585921e+02,1.696690006996196894e-22
1.486046111111111259e+02,1.874720724279247009e-22
1.504481636363636312e+02,1.963586098586987595e-22
1.522917161616161650e+02,1.986497927634358258e-22
1.541352686868686988e+02,1.653023241412783982e-22
1.559788212121212041e+02,1.616656194983475599e-22
1.578223737373737663e+02,1.552083324155525027e-22
1.596659262626262716e+02,1.462620800011141123e-22
1.615094787878788054e+02,1.352797394104693061e-22
1.633530313131313392e+02,1.229589817902233354e-22
1.651965838383838445e+02,1.101807438009342720e-22
1.670401363636363783e+02,9.781169509469124771e-23
1.688836888888889121e+02,8.651128823228512271e-23
1.707272414141414174e+02,7.664810966491407215e-23
1.725707939393939512e+02,6.832951289633865830e-23
1.744143464646464849e+02,6.148333197774291578e-23
1.762578989898989903e+02,5.594826483627013146e-23
1.781014515151515241e+02,5.152709759683113850e-23
1.799450040404040578e+02,4.803223517287255239e-23
1.817885565656565632e+02,4.645744930135912486e-23
1.836321090909091254e+02,4.418140959357341642e-23
1.854756616161616307e+02,4.242723780523753854e-23
1.873192141414141361e+02,4.108761303976584194e-23
1.891627666666666983e+02,4.007349365949664968e-23
1.910063191919192036e+02,3.931073979192325734e-23
1.928498717171717374e+02,3.873651250707773582e-23
1.946934242424242711e+02,3.830868595762739471e-23
1.965369767676767765e+02,3.798480281689908098e-23
1.983805292929292818e+02,3.835597304321135795e-23
2.002240818181818440e+02,3.817478862602541332e-23
2.020676343434343494e+02,3.787734342274252774e-23
2.039111868686869116e+02,2.841424543570815676e-23
2.057547393939394169e+02,1.220610318723411776e-23
2.075982919191919223e+02,4.805559735663622960e-24
2.094418444444444845e+02,1.889203358409568487e-24
2.112853969696969898e+02,8.078294559849255113e-25
2.131289494949494951e+02,4.682478178980500133e-25
2.149725020202020573e+02,2.879033122305424405e-25
2.168160545454545627e+02,1.869017429959013226e-25
2.186596070707070680e+02,1.276269391487258967e-25
2.205031595959596302e+02,9.134683270408168755e-26
2.223467121212121356e+02,6.834102963208689077e-26
2.241902646464646409e+02,5.877943058324514461e-26
2.260338171717172031e+02,4.662164978686796122e-26
2.278773696969697085e+02,3.820043214411134346e-26
2.297209222222222706e+02,3.450008499537427810e-26
2.315644747474747760e+02,2.946218698198950803e-26
2.334080272727272813e+02,2.718581528474431069e-26
2.352515797979798435e+02,2.525917831330680609e-26
2.370951323232323489e+02,2.247640742578246654e-26
2.389386848484848542e+02,2.119597130200486420e-26
2.407822373737374164e+02,2.005344333108219691e-26
2.426257898989899218e+02,1.906554902429645358e-26
2.444693424242424271e+02,1.753762902883385163e-26
2.463128949494949893e+02,1.682452886752756035e-26
2.481564474747474947e+02,1.618541311072514615e-26
2.500000000000000000e+02,1.561053200877585286e-26
