# Columns: mx (MeV), <sigma v> limit (cm^3/s)
6.748829999999999529e+01,inf
6.933185252525251485e+01,6.972512102311763581e-31
7.117540505050504862e+01,8.375218170830716590e-31
7.301895757575756818e+01,8.361025759725941283e-31
7.486251010101010195e+01,8.563383388060122280e-31
7.670606262626262151e+01,8.863279305038217848e-31
7.854961515151515528e+01,1.194951198095517673e-30
8.039316767676767483e+01,1.032818096098228519e-30
8.223672020202019439e+01,1.068627525800816526e-30
8.408027272727272816e+01,1.136567634254617066e-30
8.592382525252524772e+01,1.138379324708313746e-30
8.776737777777778149e+01,1.134589528588582269e-30
8.961093030303030105e+01,1.140740974757103259e-30
9.145448282828283482e+01,1.143107308548540711e-30
9.329803535353535437e+01,1.155684511585189587e-30
9.514158787878787393e+01,1.185357093793759624e-30
9.698514040404040770e+01,1.191975089373962118e-30
9.882869292929292726e+01,1.229849321016413996e-30
1.006722454545454468e+02,1.256505576600530402e-30
1.025157979797979806e+02,1.294923766958255499e-30
1.043593505050505144e+02,1.343289870815893036e-30
1.062029030303030339e+02,1.394246933229163772e-30
1.080464555555555535e+02,1.434348706786400680e-30
1.098900080808080872e+02,1.486542715051752721e-30
1.117335606060606068e+02,1.544508866294877641e-30
1.135771131313131264e+02,1.604318016718069665e-30
1.154206656565656601e+02,1.665944961920953446e-30
1.172642181818181939e+02,1.714921918411077330e-30
1.191077707070707135e+02,1.779499280123568699e-30
1.209513232323232330e+02,1.844602393575239156e-30
1.227948757575757668e+02,1.912501842636452781e-30
1.246384282828282863e+02,1.981842738888355852e-30
1.264819808080808059e+02,2.052550852159648785e-30
1.283255333333333397e+02,2.124545076319072030e-30
1.301690858585858734e+02,2.197738475460044610e-30
1.320126383838384072e+02,2.272073129346360872e-30
1.338561909090909126e+02,2.347678349354910200e-30
1.356997434343434463e+02,2.424435478715699207e-30
1.375432959595959801e+02,2.502190499919704822e-30
1.393868484848484854e+02,2.580890547768743784e-30
1.412304010101010192e+02,5.685595329944012015e-28
1.430739535353535530e+02,7.312648575811216236e-28
1.449175060606060583e+02,7.864109600629891985e-28
1.467610585858585921e+02,8.162115572011707651e-28
1.486046111111111259e+02,8.363694112111235573e-28
1.504481636363636312e+02,8.516489361876888867e-28
1.522917161616161650e+02,8.644917939933358028e-28
1.541352686868686988e+02,8.752509433273297738e-28
1.559788212121212041e+02,8.848189487590915342e-28
1.578223737373737663e+02,8.935135366250390643e-28
1.596659262626262716e+02,9.015434594082005428e-28
1.615094787878788054e+02,9.090283933822461361e-28
1.633530313131313392e+02,9.160314069311782169e-28
1.651965838383838445e+02,9.228582877459545438e-28
1.670401363636363783e+02,9.292324929735885562e-28
1.688836888888889121e+02,9.353477727834539974e-28
1.707272414141414174e+02,9.406926851225852337e-28
1.725707939393939512e+02,9.459382417123628569e-28
1.744143464646464849e+02,9.511915300112200207e-28
1.762578989898989903e+02,9.561343007680890240e-28
1.781014515151515241e+02,9.610074162620597117e-28
1.799450040404040578e+02,9.658192943920163045e-28
1.817885565656565632e+02,9.706795314825871398e-28
1.836321090909091254e+02,9.753806526089015967e-28
1.854756616161616307e+02,9.800878544331477503e-28
1.873192141414141361e+02,9.848248959477308817e-28
1.891627666666666983e+02,9.894965465106737028e-28
1.910063191919192036e+02,9.941126077663680073e-28
1.928498717171717374e+02,9.987607106799751192e-28
1.946934242424242711e+02,1.003535475627093744e-27
1.965369767676767765e+02,1.008215829192286947e-27
1.983805292929292818e+02,1.012917207466905326e-27
2.002240818181818440e+02,1.017730967574832537e-27
2.020676343434343494e+02,1.022463233878896738e-27
2.039111868686869116e+02,1.027228105375961392e-27
2.057547393939394169e+02,1.032134995229375711e-27
2.075982919191919223e+02,1.037011206520529200e-27
2.094418444444444845e+02,1.041847302641525464e-27
2.112853969696969898e+02,1.046837003844095491e-27
2.131289494949494951e+02,1.051707862759637431e-27
2.149725020202020573e+02,1.056582962989295378e-27
2.168160545454545627e+02,1.061443631636665698e-27
2.186596070707070680e+02,1.066237655036697022e-27
2.205031595959596302e+02,1.071222333015202438e-27
2.223467121212121356e+02,1.076086235141931858e-27
2.241902646464646409e+02,1.081094155221627963e-27
2.260338171717172031e+02,1.086078078855808190e-27
2.278773696969697085e+02,1.091026288817529595e-27
2.297209222222222706e+02,1.096121579472093860e-27
2.315644747474747760e+02,1.101186915040171957e-27
2.334080272727272813e+02,1.106402279716902102e-27
2.352515797979798435e+02,1.111494507501786994e-27
2.370951323232323489e+02,1.116716984185259338e-27
2.389386848484848542e+02,1.121904310012419506e-27
2.407822373737374164e+02,1.127141028733130180e-27
2.426257898989899218e+02,1.132510264804350501e-27
2.444693424242424271e+02,1.137823246867264828e-27
2.463128949494949893e+02,1.143264818867044087e-27
2.481564474747474947e+02,1.148642160939707979e-27
2.500000000000000000e+02,1.154156279538556341e-27
